ID,DATA,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY_NUM,COUNTY_NAM,FIPS2,2012_preci,avg_income,race
878486.0,1603.0,121UC032,UC032,UC032,60,FULTON,121,747.0,40264.0,black
878520.0,1547.0,121SC211,SC211,SC211,60,FULTON,121,695.0,56727.0,black
853191.0,1548.0,121SC212,SC212,SC212,60,FULTON,121,696.0,40211.0,black
853309.0,1454.0,121FA01B,FA01B,FA01B,60,FULTON,121,608.0,40243.0,black
844264.0,1453.0,121FA01A,FA01A,FA01A,60,FULTON,121,607.0,66492.0,black
4976877.0,1457.0,121JC02,JC02,JC02,60,FULTON,121,611.0,117237.0,white
4977085.0,870.0,089FG,FG,FLAT ROCK ELEM,44,DEKALB,89,272.0,63003.0,black
4977119.0,835.0,089CF,CF,CANDLER-MURPHEY CANDLER ELEM,44,DEKALB,89,236.0,62992.0,black
836565.0,1491.0,121PA01,PA01,PA01,60,FULTON,121,645.0,40648.0,
1047777.0,479.0,063JB17,JB17,JONESBORO 17,31,CLAYTON,63,23.0,42415.0,black
1047839.0,464.0,063JB02,JB02,JONESBORO 2,31,CLAYTON,63,8.0,48911.0,black
1047888.0,510.0,063RD09,RD09,RIVERDALE 9,31,CLAYTON,63,54.0,52196.0,black
1047947.0,478.0,063JB16,JB16,JONESBORO 16,31,CLAYTON,63,22.0,44644.0,black
1048007.0,506.0,063RD05,RD05,RIVERDALE 5,31,CLAYTON,63,50.0,49601.0,black
1048062.0,465.0,063JB03,JB03,JONESBORO 3,31,CLAYTON,63,9.0,49749.0,black
1048163.0,472.0,063JB10,JB10,JONESBORO 10,31,CLAYTON,63,16.0,42891.0,black
1048228.0,471.0,063JB09,JB09,JONESBORO 9,31,CLAYTON,63,15.0,36321.0,
4752225.0,935.0,089OV,OV,OAK VIEW ELEM,44,DEKALB,89,337.0,51276.0,black
4752290.0,885.0,089HH,HH,HARRIS-NARVIE J. HARRIS ELEM,44,DEKALB,89,287.0,61401.0,black
4752358.0,872.0,089FK,FK,FLAKES MILL FIRE STATION,44,DEKALB,89,274.0,78747.0,black
4752408.0,869.0,089FE,FE,FLAT SHOALS PARKWAY,44,DEKALB,89,271.0,67909.0,black
4752472.0,836.0,089CG,CG,CHAPEL HILL ELEM,44,DEKALB,89,237.0,69569.0,black
4743397.0,470.0,063JB08,JB08,JONESBORO 8,31,CLAYTON,63,14.0,47459.0,black
4743462.0,494.0,063MO8,MO8,MORROW 8,31,CLAYTON,63,38.0,60025.0,black
4743511.0,491.0,063MO5,MO5,MORROW 5,31,CLAYTON,63,35.0,62479.0,black
4646566.0,508.0,063RD07,RD07,RIVERDALE 7,31,CLAYTON,63,52.0,41924.0,black
4646631.0,459.0,063FP3,FP3,FOREST PARK 3,31,CLAYTON,63,3.0,40214.0,black
4646732.0,507.0,063RD06,RD06,RIVERDALE 6,31,CLAYTON,63,51.0,38543.0,black
4646805.0,477.0,063JB15,JB15,JONESBORO 15,31,CLAYTON,63,21.0,41310.0,black
4646876.0,461.0,063FP5,FP5,FOREST PARK 5,31,CLAYTON,63,5.0,38031.0,
4646946.0,462.0,063FP6,FP6,FOREST PARK 6,31,CLAYTON,63,6.0,44360.0,
4640815.0,505.0,063RD04,RD04,RIVERDALE 4,31,CLAYTON,63,49.0,51116.0,black
4123627.0,509.0,063RD08,RD08,RIVERDALE 8,31,CLAYTON,63,53.0,65003.0,black
4123721.0,502.0,063RD01,RD01,RIVERDALE 1,31,CLAYTON,63,46.0,61449.0,black
4123781.0,504.0,063RD03,RD03,RIVERDALE 3,31,CLAYTON,63,48.0,50131.0,black
4123865.0,499.0,063OAK4,OAK4,OAK 4,31,CLAYTON,63,43.0,47995.0,black
4123921.0,497.0,063OAK2,OAK2,OAK 2,31,CLAYTON,63,41.0,47505.0,black
4123980.0,511.0,063RD10,RD10,RIVERDALE 10,31,CLAYTON,63,55.0,36016.0,black
4124027.0,498.0,063OAK3,OAK3,OAK 3,31,CLAYTON,63,42.0,38539.0,black
4124092.0,1427.0,121CP06,CP06,CP06,60,FULTON,121,584.0,57702.0,white
4118051.0,1371.0,12111J,11J,11J,60,FULTON,121,533.0,35689.0,black
4118101.0,1450.0,121EP10B,EP10B,EP10B,60,FULTON,121,604.0,53673.0,black
4118148.0,1550.0,121SC23A,SC23A,SC23A,60,FULTON,121,697.0,55638.0,black
4118217.0,512.0,063RD11,RD11,RIVERDALE 11,31,CLAYTON,63,56.0,67740.0,black
4118281.0,1552.0,121SC27,SC27,SC27,60,FULTON,121,699.0,41364.0,black
4118330.0,1432.0,121CP083,CP083,CP083,60,FULTON,121,588.0,42614.0,black
4102005.0,1553.0,121SC29A,SC29A,SC29A,60,FULTON,121,700.0,40339.0,black
4102052.0,1551.0,121SC23B,SC23B,SC23B,60,FULTON,121,698.0,57864.0,black
4102083.0,1532.0,121SC09B,SC09B,SC09B,60,FULTON,121,681.0,40395.0,black
4102134.0,1535.0,121SC11B,SC11B,SC11B,60,FULTON,121,684.0,54614.0,black
4102180.0,1534.0,121SC11A,SC11A,SC11A,60,FULTON,121,683.0,54551.0,black
4102272.0,1604.0,121UC033,UC033,UC033,60,FULTON,121,748.0,43303.0,black
4102305.0,1528.0,121SC08D,SC08D,SC08D,60,FULTON,121,677.0,40826.0,black
4102329.0,1596.0,121UC01B,UC01B,UC01B,60,FULTON,121,743.0,40409.0,black
4102402.0,1531.0,121SC09A,SC09A,SC09A,60,FULTON,121,680.0,41222.0,black
4102449.0,1533.0,121SC10,SC10,SC10,60,FULTON,121,682.0,42571.0,black
4102539.0,1430.0,121CP081,CP081,CP081,60,FULTON,121,587.0,42597.0,black
4095998.0,1595.0,121UC01A,UC01A,UC01A,60,FULTON,121,742.0,52129.0,black
4096061.0,1602.0,121UC031,UC031,UC031,60,FULTON,121,746.0,49883.0,black
4096147.0,1529.0,121SC08E,SC08E,SC08E,60,FULTON,121,678.0,52344.0,black
4096175.0,1554.0,121SC29B,SC29B,SC29B,60,FULTON,121,701.0,52104.0,black
4096338.0,1526.0,121SC08B,SC08B,SC08B,60,FULTON,121,675.0,44242.0,black
4061416.0,1523.0,121SC07A,SC07A,SC07A,60,FULTON,121,674.0,72219.0,black
3975344.0,1415.0,121CH03,CH03,CH03,60,FULTON,121,574.0,35022.0,white
3975483.0,1414.0,121CH02,CH02,CH02,60,FULTON,121,573.0,34988.0,white
3975541.0,1413.0,121CH01,CH01,CH01,60,FULTON,121,572.0,35067.0,white
3975586.0,1520.0,121SC04,SC04,SC04,60,FULTON,121,671.0,43601.0,white
1061171.0,480.0,063JB18,JB18,JONESBORO 18,31,CLAYTON,63,24.0,56380.0,black
1061250.0,473.0,063JB11,JB11,JONESBORO 11,31,CLAYTON,63,17.0,70799.0,black
1061344.0,469.0,063JB07,JB07,JONESBORO 7,31,CLAYTON,63,13.0,63803.0,black
1061410.0,468.0,063JB06,JB06,JONESBORO 6,31,CLAYTON,63,12.0,95494.0,white
785561.0,1418.0,121CH05,CH05,CH05,60,FULTON,121,576.0,35023.0,white
785734.0,1416.0,121CH04A,CH04A,CH04A,60,FULTON,121,575.0,35107.0,white
894105.0,503.0,063RD02,RD02,RIVERDALE 2,31,CLAYTON,63,47.0,45682.0,black
894162.0,474.0,063JB12,JB12,JONESBORO 12,31,CLAYTON,63,18.0,51060.0,black
894197.0,513.0,063RD12,RD12,RIVERDALE 12,31,CLAYTON,63,57.0,55731.0,black
886223.0,463.0,063JB01,JB01,JONESBORO 1,31,CLAYTON,63,7.0,54801.0,black
1040813.0,500.0,063PH1,PH1,PANHANDLE 1,31,CLAYTON,63,44.0,73155.0,black
1040851.0,475.0,063JB13,JB13,JONESBORO 13,31,CLAYTON,63,19.0,62975.0,black
1040904.0,485.0,063LJ4,LJ4,LOVEJOY 4,31,CLAYTON,63,29.0,57914.0,black
1040947.0,486.0,063LJ5,LJ5,LOVEJOY 5,31,CLAYTON,63,30.0,53662.0,black
1032511.0,501.0,063PH2,PH2,PANHANDLE 2,31,CLAYTON,63,45.0,73153.0,black
1055631.0,466.0,063JB04,JB04,JONESBORO 4,31,CLAYTON,63,10.0,37116.0,black
1055674.0,484.0,063LJ3,LJ3,LOVEJOY 3,31,CLAYTON,63,28.0,68385.0,black
1055777.0,482.0,063LJ1,LJ1,LOVEJOY 1,31,CLAYTON,63,26.0,54255.0,black
1055871.0,483.0,063LJ2,LJ2,LOVEJOY 2,31,CLAYTON,63,27.0,55644.0,black
1055939.0,467.0,063JB05,JB05,JONESBORO 5,31,CLAYTON,63,11.0,69130.0,black
1055987.0,476.0,063JB14,JB14,JONESBORO 14,31,CLAYTON,63,20.0,72645.0,black
5193620.0,1681.0,1353,3,003 DACULA,67,GWINNETT,135,828.0,84350.0,white
5193700.0,1830.0,135152,152,152 ROCKYCREEK C,67,GWINNETT,135,808.0,87631.0,white
5193744.0,1815.0,135137,137,137 ROCKYCREEK B,67,GWINNETT,135,791.0,75888.0,white
5193786.0,1832.0,135154,154,154 PUCKETTS D,67,GWINNETT,135,810.0,81967.0,white
5193851.0,1686.0,1358,8,008 DUNCANS A,67,GWINNETT,135,883.0,108937.0,white
5193921.0,1691.0,13513,13,013 DUNCANS C,67,GWINNETT,135,783.0,107643.0,white
5193961.0,1500.0,121RW09,RW09,RW09,60,FULTON,121,654.0,166018.0,white
5615331.0,1679.0,1351,1,001 HARBINS A,67,GWINNETT,135,749.0,75541.0,white
5615430.0,1829.0,135151,151,151 HARBINS C,67,GWINNETT,135,807.0,75551.0,white
5624401.0,1811.0,135133,133,133 HARBINS B,67,GWINNETT,135,787.0,79589.0,white
5624509.0,1706.0,13528,28,028 ROCKYCREEK A,67,GWINNETT,135,826.0,99931.0,white
5624569.0,1807.0,135129,129,129 DUNCANS B,67,GWINNETT,135,782.0,110362.0,white
5321570.0,1687.0,1359,9,009 PUCKETTS A,67,GWINNETT,135,894.0,86571.0,white
5321714.0,1813.0,135135,135,135 PUCKETTS C,67,GWINNETT,135,789.0,96220.0,white
5755581.0,1717.0,13539,39,039 DUNCANS D,67,GWINNETT,135,838.0,117338.0,white
5175736.0,1825.0,135147,147,147 BAYCREEK I,67,GWINNETT,135,802.0,86566.0,
5175796.0,1758.0,13580,80,080 BAYCREEK C,67,GWINNETT,135,884.0,84838.0,
5175857.0,1768.0,13590,90,090 LAWRENCEVILLE I,67,GWINNETT,135,895.0,59442.0,
5175919.0,1763.0,13585,85,085 LAWRENCEVILLE H,67,GWINNETT,135,889.0,87028.0,white
5175978.0,1810.0,135132,132,132 LAWRENCEVILLE K,67,GWINNETT,135,786.0,90438.0,white
5176021.0,1738.0,13560,60,060 LAWRENCEVILLE D,67,GWINNETT,135,862.0,59518.0,
5176115.0,1720.0,13542,42,042 LAWRENCEVILLE C,67,GWINNETT,135,842.0,87110.0,white
5166459.0,1786.0,135108,108,108 BAYCREEK E,67,GWINNETT,135,759.0,81303.0,white
5166532.0,1823.0,135145,145,145 BAYCREEK G,67,GWINNETT,135,800.0,78362.0,white
5166698.0,1824.0,135146,146,146 BAYCREEK H,67,GWINNETT,135,801.0,88016.0,white
5166781.0,1769.0,13591,91,091 BAYCREEK D,67,GWINNETT,135,896.0,94778.0,white
5082626.0,1730.0,13552,52,052 BERKSHIRE G,67,GWINNETT,135,853.0,93235.0,white
5082685.0,1796.0,135118,118,118 GARNERS F,67,GWINNETT,135,770.0,80776.0,white
5082742.0,1790.0,135112,112,112 BERKSHIRE N,67,GWINNETT,135,764.0,82753.0,white
4412449.0,642.0,067SF01,SF01,SHALLOWFORD FALLS 01,33,COBB,67,181.0,148135.0,white
4412509.0,663.0,067TT01,TT01,TRITT 01,33,COBB,67,202.0,144498.0,white
4412562.0,671.0,067WL01,WL01,WILLEO 01,33,COBB,67,210.0,142353.0,white
4867080.0,1589.0,121SS22,SS22,SS22,60,FULTON,121,736.0,50658.0,
4867167.0,1502.0,121RW11A,RW11A,RW11A,60,FULTON,121,656.0,97188.0,white
4867222.0,1580.0,121SS15A,SS15A,SS15A,60,FULTON,121,727.0,45791.0,black
4867265.0,1493.0,121RW02,RW02,RW02,60,FULTON,121,647.0,127282.0,white
4867332.0,1501.0,121RW10,RW10,RW10,60,FULTON,121,655.0,119088.0,white
4867387.0,1507.0,121RW15,RW15,RW15,60,FULTON,121,660.0,166797.0,white
4867450.0,1492.0,121RW01,RW01,RW01,60,FULTON,121,646.0,115974.0,white
4867525.0,1494.0,121RW03,RW03,RW03,60,FULTON,121,648.0,75499.0,
4859265.0,612.0,067MT03,MT03,MT BETHEL 03,33,COBB,67,151.0,156901.0,white
4859314.0,611.0,067MT01,MT01,MT BETHEL 01,33,COBB,67,150.0,152625.0,white
4859379.0,1585.0,121SS18B,SS18B,SS18B,60,FULTON,121,732.0,100689.0,white
4859405.0,662.0,067TR01,TR01,TIMBER RIDGE 01,33,COBB,67,201.0,153922.0,white
4859449.0,639.0,067RW01,RW01,ROSWELL 01,33,COBB,67,178.0,128827.0,white
4859499.0,1558.0,121SS02A,SS02A,SS02A,60,FULTON,121,705.0,100683.0,white
4859545.0,1587.0,121SS19B,SS19B,SS19B,60,FULTON,121,734.0,79361.0,white
4859588.0,1586.0,121SS19A,SS19A,SS19A,60,FULTON,121,733.0,62939.0,
4859633.0,1593.0,121SS29B,SS29B,SS29B,60,FULTON,121,740.0,103805.0,white
4859649.0,1591.0,121SS26,SS26,SS26,60,FULTON,121,738.0,56852.0,
4859698.0,1588.0,121SS20,SS20,SS20,60,FULTON,121,735.0,68820.0,
4811627.0,1335.0,12108M,08M,08M,60,FULTON,121,498.0,138528.0,white
4811700.0,1318.0,12107J,07J,07J,60,FULTON,121,482.0,116188.0,white
4811748.0,1317.0,12107H,07H,07H,60,FULTON,121,481.0,113285.0,white
4811796.0,1330.0,12108G,08G,08G,60,FULTON,121,493.0,120699.0,white
4811843.0,1325.0,12108C,08C,08C,60,FULTON,121,489.0,240648.0,white
4811921.0,2911.0,12108B,08B,08B,60,FULTON,121,488.0,210066.0,white
4874044.0,1499.0,121RW08,RW08,RW08,60,FULTON,121,653.0,110477.0,white
4874087.0,1510.0,121RW18,RW18,RW18,60,FULTON,121,663.0,137974.0,white
4874140.0,1508.0,121RW16,RW16,RW16,60,FULTON,121,661.0,105083.0,white
4874177.0,1504.0,121RW12A,RW12A,RW12A,60,FULTON,121,657.0,107076.0,white
4874234.0,1505.0,121RW12B,RW12B,RW12B,60,FULTON,121,658.0,101424.0,white
4874267.0,859.0,089DI,DI,DUNWOODY LIBRARY,44,DEKALB,89,261.0,165825.0,white
4874321.0,812.0,089AD,AD,AUSTIN,44,DEKALB,89,213.0,170720.0,white
4874376.0,919.0,089MQ,MQ,MT. VERNON EAST,44,DEKALB,89,322.0,160926.0,white
4874427.0,1581.0,121SS15B,SS15B,SS15B,60,FULTON,121,728.0,68215.0,white
4874461.0,1583.0,121SS17,SS17,SS17,60,FULTON,121,730.0,46682.0,white
4887679.0,1498.0,121RW07,RW07,RW07,60,FULTON,121,652.0,44898.0,hispanic
4887722.0,1399.0,121AP03,AP03,AP03,60,FULTON,121,559.0,60386.0,
4887752.0,2910.0,121RW12B,RW12B,RW12B,60,FULTON,121,658.0,101424.0,white
4887776.0,1496.0,121RW05,RW05,RW05,60,FULTON,121,650.0,61676.0,
4887860.0,1396.0,121AP021,AP021,AP021,60,FULTON,121,556.0,96833.0,white
4887924.0,1497.0,121RW06,RW06,RW06,60,FULTON,121,651.0,91284.0,white
4887977.0,1506.0,121RW13,RW13,RW13,60,FULTON,121,659.0,109743.0,white
4888077.0,1394.0,121AP01D,AP01D,AP01D,60,FULTON,121,555.0,88568.0,white
4888139.0,1398.0,121AP02B,AP02B,AP02B,60,FULTON,121,558.0,67794.0,white
4888181.0,1397.0,121AP022,AP022,AP022,60,FULTON,121,557.0,67786.0,white
4133893.0,1442.0,121EP071,EP071,EP071,60,FULTON,121,596.0,46343.0,black
4133957.0,496.0,063OAK1,OAK1,OAK 1,31,CLAYTON,63,40.0,39880.0,black
4134114.0,1422.0,121CP02,CP02,CP02,60,FULTON,121,580.0,70777.0,
4134213.0,1421.0,121CP01B,CP01B,CP01B,60,FULTON,121,579.0,71343.0,
4950918.0,1409.0,121AP12A,AP12A,AP12A,60,FULTON,121,569.0,89684.0,white
4950983.0,1411.0,121AP13,AP13,AP13,60,FULTON,121,570.0,129749.0,white
4951017.0,1472.0,121JC14,JC14,JC14,60,FULTON,121,626.0,253596.0,white
4951056.0,1412.0,121AP14,AP14,AP14,60,FULTON,121,571.0,127972.0,white
4951145.0,1473.0,121JC15,JC15,JC15,60,FULTON,121,627.0,137213.0,white
4951180.0,1467.0,121JC10,JC10,JC10,60,FULTON,121,621.0,119267.0,white
4951237.0,1406.0,121AP09A,AP09A,AP09A,60,FULTON,121,566.0,108953.0,white
4951296.0,1799.0,135121,121,121 PINCKNEYVILLE X,67,GWINNETT,135,774.0,117246.0,white
4964523.0,1734.0,13556,56,056 DULUTH C,67,GWINNETT,135,857.0,66304.0,white
4964589.0,1468.0,121JC11,JC11,JC11,60,FULTON,121,622.0,113186.0,white
4964646.0,1466.0,121JC09,JC09,JC09,60,FULTON,121,620.0,110320.0,white
4964697.0,1464.0,121JC07,JC07,JC07,60,FULTON,121,618.0,126300.0,white
4964759.0,1465.0,121JC08,JC08,JC08,60,FULTON,121,619.0,138461.0,white
4964821.0,1462.0,121JC05,JC05,JC05,60,FULTON,121,616.0,100992.0,white
4964864.0,1461.0,121JC04B,JC04B,JC04B,60,FULTON,121,615.0,121194.0,white
4964889.0,1458.0,121JC03A,JC03A,JC03A,60,FULTON,121,612.0,101116.0,white
4964919.0,1460.0,121JC04A,JC04A,JC04A,60,FULTON,121,614.0,164014.0,white
4964961.0,1459.0,121JC03B,JC03B,JC03B,60,FULTON,121,613.0,100880.0,white
4964990.0,1463.0,121JC06,JC06,JC06,60,FULTON,121,617.0,138446.0,white
4965032.0,1789.0,135111,111,111 DULUTH H,67,GWINNETT,135,763.0,78608.0,white
4348333.0,1327.0,12108E,08E,08E,60,FULTON,121,491.0,223069.0,white
4348397.0,668.0,067VG04,VG04,VININGS 04,33,COBB,67,207.0,138019.0,white
4348483.0,665.0,067VG01,VG01,VININGS 01,33,COBB,67,204.0,80903.0,white
4348561.0,1344.0,12109F,09F,09F,60,FULTON,121,507.0,91165.0,white
4348611.0,1337.0,12108N2,08N2,08N2,60,FULTON,121,500.0,208585.0,white
4348647.0,1336.0,12108N1,08N1,08N1,60,FULTON,121,499.0,208265.0,white
4348683.0,1328.0,12108F1,08F1,08F1,60,FULTON,121,492.0,210923.0,white
4348735.0,1323.0,12108A,08A,08A,60,FULTON,121,487.0,266714.0,white
4356189.0,1326.0,12108D,08D,08D,60,FULTON,121,490.0,264893.0,white
4356235.0,534.0,067CA01,CA01,CHATTAHOOCHEE 01,33,COBB,67,73.0,66735.0,
4356340.0,661.0,067TM01,TM01,TERRELL MILL 01,33,COBB,67,200.0,64916.0,
4356457.0,656.0,067SO02,SO02,SOPE CREEK 02,33,COBB,67,195.0,107920.0,white
4362150.0,1570.0,121SS09,SS09,SS09,60,FULTON,121,717.0,69614.0,
4362218.0,657.0,067SO03,SO03,SOPE CREEK 03,33,COBB,67,196.0,146647.0,white
4362270.0,1582.0,121SS16,SS16,SS16,60,FULTON,121,729.0,59461.0,
4362318.0,604.0,067MR5A,MR5A,MARIETTA 5A,33,COBB,67,143.0,51583.0,
5134143.0,1456.0,121JC01,JC01,JC01,60,FULTON,121,610.0,135059.0,white
5134205.0,1685.0,1357,7,007 DULUTH A,67,GWINNETT,135,872.0,95294.0,white
5134369.0,1833.0,135155,155,155 SUWANEE G,67,GWINNETT,135,811.0,117052.0,white
5134413.0,1818.0,135140,140,140 SUWANEE H,67,GWINNETT,135,795.0,141303.0,white
5134473.0,1695.0,13517,17,017 MARTINS A,67,GWINNETT,135,814.0,60507.0,
5147993.0,1784.0,135106,106,106 SUWANEE C,67,GWINNETT,135,757.0,98622.0,white
5148059.0,1809.0,135131,131,131 SUWANEE E,67,GWINNETT,135,785.0,141298.0,white
5148107.0,1682.0,1354,4,004 SUWANEE A,67,GWINNETT,135,839.0,101057.0,white
5148173.0,1776.0,13598,98,098 GOODWINS F,67,GWINNETT,135,903.0,81563.0,white
5148242.0,1820.0,135142,142,142 SUWANEE F,67,GWINNETT,135,797.0,113240.0,white
5148300.0,1778.0,135100,100,100 SUWANEE B,67,GWINNETT,135,751.0,113293.0,white
5148354.0,1708.0,13530,30,030 CATES C,67,GWINNETT,135,829.0,67276.0,
5184786.0,1748.0,13570,70,070 GOODWINS B,67,GWINNETT,135,873.0,98960.0,white
5184832.0,1704.0,13526,26,026 HOG MOUNTAIN A,67,GWINNETT,135,824.0,79532.0,white
5184887.0,1709.0,13531,31,031 HOG MOUNTAIN D,67,GWINNETT,135,830.0,84718.0,white
5184936.0,1814.0,135136,136,136 HOG MOUNTAIN C,67,GWINNETT,135,790.0,75888.0,white
5184992.0,1745.0,13567,67,067 PUCKETTS E,67,GWINNETT,135,869.0,86443.0,white
5185050.0,1749.0,13571,71,071 LAWRENCEVILLE F,67,GWINNETT,135,874.0,74203.0,
