President of the United States,,,,,,,,,,,,,,,,,
,,MITT ROMNEY (R),,,,,BARACK OBAMA (I)(D),,,,,GARY JOHNSON (L),,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Provisional,Total Votes,Total
001 Harbins A,3941,913,132,816,2,1863,571,35,498,4,1108,29,2,14,0,45,3016
002 Rockbridge A,2637,387,61,202,2,652,681,39,601,9,1330,16,0,3,0,19,2001
003 Dacula,3317,627,70,626,0,1323,506,34,617,4,1161,18,1,0,1,20,2504
004 Suwanee A,1166,349,33,146,1,529,229,19,108,0,356,14,1,2,0,17,902
005 Baycreek A,2325,772,110,331,0,1213,368,22,258,0,648,15,1,1,0,17,1878
006 Goodwins A,2968,789,76,261,4,1130,661,42,293,5,1001,39,1,3,0,43,2174
007 Duluth A,3596,1002,180,390,1,1573,619,74,368,7,1068,38,2,4,0,44,2685
008 Duncans A,3367,1085,183,840,1,2109,274,41,245,0,560,23,5,9,0,37,2706
009 Pucketts A,3437,1325,148,543,0,2016,416,33,186,1,636,27,1,3,0,31,2683
010 Cates A,2007,585,148,299,1,1033,264,27,180,1,472,13,1,2,1,17,1522
011 Berkshire A,1733,295,31,96,2,424,466,23,177,2,668,8,0,1,0,9,1101
012 Berkshire B,3511,345,99,316,0,760,805,48,779,4,1636,20,2,5,0,27,2423
013 Duncans C,2384,895,102,548,1,1546,212,19,154,1,386,13,1,2,0,16,1948
014 Garners A,2972,1058,160,401,1,1620,457,43,183,4,687,30,2,7,0,39,2346
015 Lawrenceville A,2743,473,118,341,3,935,466,99,318,2,885,14,1,1,0,16,1836
016 Lawrenceville B,3364,623,63,323,2,1011,714,60,669,1,1444,27,2,4,0,33,2488
017 Martins A,2074,249,17,89,3,358,687,28,364,6,1085,8,1,3,0,12,1455
018 Martins B,2212,436,34,127,0,597,622,28,302,5,957,12,5,5,0,22,1576
019 Martins C,1836,508,48,144,0,700,445,26,168,4,643,18,3,2,0,23,1366
020 Pinckneyville A,1695,176,15,37,0,228,568,18,290,6,882,18,0,4,0,22,1132
021 Pinckneyville B,2161,251,23,133,0,407,541,33,297,6,877,13,1,3,0,17,1301
022 Pinckneyville C,1442,536,70,119,0,725,316,22,105,0,443,16,4,0,0,20,1188
023 Pinckneyville D,1350,138,4,50,0,192,453,18,239,6,716,8,1,3,0,12,920
024 Sugar Hill A,2577,838,78,231,1,1148,377,26,169,2,574,29,2,0,0,31,1753
025 Sugar Hill B,3416,1164,82,367,2,1615,562,45,239,3,849,41,5,2,0,48,2512
026 Hog Mountain A,3056,783,75,256,2,1116,643,36,320,4,1003,33,4,4,0,41,2160
027 Hog Mountain B,3417,1008,113,655,3,1779,458,54,332,2,846,36,0,10,0,46,2671
028 Rockycreek A,3838,1062,117,787,0,1966,533,42,440,1,1016,16,2,5,0,23,3005
029 Cates B,1427,517,101,208,0,826,181,23,90,0,294,21,3,3,0,27,1147
030 Cates C,2071,456,71,225,0,752,498,33,308,0,839,6,1,1,0,8,1599
031 Hog Mountain D,2054,696,66,314,0,1076,262,18,163,1,444,27,2,0,0,29,1549
032 Berkshire D,2285,754,110,276,1,1141,383,38,167,1,589,30,3,2,0,35,1765
033 Berkshire E,1675,625,91,189,0,905,304,22,97,0,423,12,3,2,0,17,1345
034 Berkshire F,1521,316,51,83,0,450,370,32,110,2,514,14,3,1,0,18,982
035 Cates D,2539,852,94,283,4,1233,436,35,200,1,672,27,1,4,0,32,1937
036 Cates E,2251,790,123,314,0,1227,352,30,174,2,558,30,1,4,0,35,1820
037 Pinckneyville E,1245,171,14,30,1,216,491,12,203,9,715,11,0,0,0,11,942
038 Pinckneyville F,1343,225,11,56,1,293,391,11,118,3,523,5,0,0,0,5,821
039 Duncans D,4059,1604,175,707,2,2488,397,30,190,2,619,34,2,3,0,39,3146
040 Pinckneyville H,3003,837,158,307,4,1306,673,69,253,9,1004,21,1,6,0,28,2338
041 Baycreek B,3882,849,104,317,2,1272,883,55,701,6,1645,12,1,2,0,15,2932
042 Lawrenceville C,2188,660,95,419,2,1176,247,24,174,1,446,27,3,6,0,36,1658
043 Martins D,1440,146,19,38,0,203,512,22,231,4,769,9,0,2,0,11,983
044 Rockbridge B,2885,439,53,231,0,723,813,48,572,6,1439,24,4,4,0,32,2194
045 Garners B,2488,417,119,320,1,857,551,40,472,13,1076,11,1,5,0,17,1950
046 Cates F,1531,614,92,204,0,910,203,33,75,0,311,17,2,2,0,21,1242
047 Cates G,2400,900,126,456,0,1482,248,33,124,0,405,15,3,3,0,21,1908
048 Duluth B,2646,738,115,289,0,1142,430,46,206,6,688,33,3,1,0,37,1867
049 Garners C,1539,419,50,135,1,605,339,28,131,4,502,21,1,3,0,25,1132
050 Pinckneyville I,1781,217,33,103,1,354,581,18,307,6,912,22,1,2,0,25,1291
051 Pinckneyville J,1527,134,17,42,0,193,457,18,265,5,745,8,0,1,0,9,947
052 Berkshire G,1729,635,97,201,0,933,311,22,101,0,434,20,1,4,0,25,1392
053 Cates H,2565,458,71,212,4,745,644,30,464,10,1148,14,2,2,0,18,1911
054 Sugar Hill C,3182,1338,85,305,3,1731,438,31,194,0,663,24,2,3,0,29,2423
055 Sugar Hill D,2648,916,83,198,4,1201,537,28,138,4,707,24,2,0,0,26,1934
056 Duluth C,1821,526,93,154,2,775,360,41,189,2,592,30,1,1,0,32,1399
057 Duluth D,3368,701,94,242,5,1042,741,46,379,9,1175,48,2,4,0,54,2271
058 Pinckneyville K,2379,275,17,82,1,375,746,29,411,10,1196,20,0,5,0,25,1596
059 Pinckneyville N,2253,217,20,81,0,318,938,31,427,8,1404,13,0,5,0,18,1740
060 Lawrenceville D,3206,327,39,169,0,535,910,35,659,15,1619,9,4,1,0,14,2168
061 Lawrenceville E,1850,502,98,295,0,895,282,33,189,0,504,15,2,1,0,18,1417
062 Pinckneyville L,2013,925,143,187,0,1255,331,38,67,0,436,24,3,0,0,27,1718
063 Pinckneyville M,2172,958,181,195,1,1335,310,49,68,0,427,20,2,1,0,23,1785
064 Garners D,2522,344,80,181,1,606,723,45,524,3,1295,19,1,2,0,22,1923
065 Berkshire H,1271,237,41,89,0,367,320,21,154,3,498,9,1,0,0,10,875
066 Pinckneyville O,2340,254,32,96,0,382,667,26,433,8,1134,16,1,2,0,19,1535
067 Pucketts E,3238,981,92,325,2,1400,587,34,339,3,963,26,1,3,0,30,2393
068 Cates I,2842,899,128,316,1,1344,474,41,247,0,762,35,1,2,0,38,2144
069 Cates J,2497,755,88,234,1,1078,546,30,268,0,844,30,1,1,0,32,1954
070 Goodwins B,3254,983,158,485,2,1628,425,46,242,0,713,34,7,5,0,46,2387
071 Lawrenceville F,2903,438,36,182,1,657,708,40,719,5,1472,14,0,2,1,17,2146
072 Martins E,3453,206,25,64,3,298,1321,49,790,11,2171,23,0,4,1,28,2497
073 Pinckneyville P,1567,492,98,115,1,706,424,37,118,5,584,18,0,1,0,19,1309
074 Pinckneyville Q,1184,91,1,17,0,109,499,15,192,3,709,3,0,0,0,3,821
075 Rockbridge C,3536,422,64,212,2,700,957,64,995,3,2019,23,0,3,0,26,2745
076 Rockbridge D,2794,476,70,228,0,774,711,41,629,8,1389,14,1,0,0,15,2178
077 Goodwins C,3560,758,85,341,4,1188,754,43,497,1,1295,28,2,1,0,31,2514
078 Baycreek K,2527,715,112,394,0,1221,380,34,350,2,766,11,0,2,0,13,2000
079 Cates K,2154,839,82,240,0,1161,319,17,113,0,449,34,1,4,0,39,1649
080 Baycreek C,4276,984,127,545,2,1658,816,44,750,6,1616,23,4,2,0,29,3303
081 Cates L,3139,785,103,359,1,1248,622,43,443,2,1110,23,2,2,0,27,2385
082 Duluth E,3438,589,67,164,3,823,961,51,415,5,1432,25,3,4,0,32,2287
083 Goodwins D,3338,952,79,344,4,1379,627,29,313,0,969,38,2,6,0,46,2394
084 Lawrenceville G,2035,336,17,140,4,497,570,23,381,5,979,12,1,4,0,17,1493
085 Lawrenceville H,3153,967,102,457,3,1529,481,21,311,2,815,32,3,7,0,42,2386
086 Martins F,1787,240,15,85,0,340,581,27,272,5,885,16,0,2,0,18,1243
087 Pinckneyville S,2129,476,82,161,2,721,532,31,215,2,780,25,6,1,0,32,1533
088 Rockbridge E,3194,479,49,186,1,715,809,39,732,12,1592,21,1,3,0,25,2332
089 Sugar Hill E,2231,805,62,278,1,1146,297,14,149,0,460,27,0,6,0,33,1639
090 Lawrenceville I,2577,596,101,231,0,928,554,40,300,4,898,26,2,8,0,36,1862
091 Baycreek D,3363,1098,130,474,0,1702,527,41,408,1,977,25,3,4,0,32,2711
092 Berkshire J,2285,816,125,285,2,1228,356,29,181,1,567,35,3,7,0,45,1840
093 Cates M,3465,1180,191,546,3,1920,464,47,238,3,752,39,2,2,0,43,2715
094 Cates N,2151,754,161,421,3,1339,233,21,110,0,364,13,2,1,0,16,1719
095 Duluth F,3156,350,41,149,3,543,895,51,559,10,1515,14,1,3,0,18,2076
096 Duluth G,2244,725,87,275,0,1087,379,29,171,3,582,20,2,3,0,25,1694
097 Goodwins E,3926,1092,143,464,1,1700,642,46,436,3,1127,28,3,5,1,37,2864
098 Goodwins F,2398,677,79,225,0,981,431,50,223,3,707,24,2,2,0,28,1716
099 Pinckneyville T,2136,552,66,128,2,748,532,34,164,4,734,28,0,1,0,29,1511
100 Suwanee B,3116,780,105,634,4,1523,362,33,361,3,759,29,4,6,0,39,2321
101 Pinckneyville U,1497,453,40,81,0,574,470,19,157,6,652,17,0,1,0,18,1244
102 Pucketts B,2310,878,96,301,2,1277,366,22,137,1,526,20,1,1,0,22,1825
103 Berkshire L,2101,328,36,94,0,458,669,26,310,4,1009,23,0,4,0,27,1494
104 Rockbridge F,4123,478,92,320,0,890,1119,79,1149,5,2352,19,1,1,0,21,3263
105 Sugar Hill F,3015,1047,90,343,1,1481,456,20,181,1,658,31,1,4,0,36,2175
106 Suwanee C,3318,928,162,556,2,1648,441,73,276,0,790,45,2,4,0,51,2489
107 Cates O,1121,390,30,137,0,557,196,14,79,0,289,8,0,3,0,11,857
108 Baycreek E,2320,649,74,247,2,972,406,32,294,1,733,26,0,4,0,30,1735
109 Berkshire M,1343,493,72,151,1,717,244,19,79,2,344,21,1,2,0,24,1085
110 Martins G,1647,293,22,95,1,411,450,10,238,4,702,17,0,4,1,22,1135
111 Duluth H,1961,539,129,228,0,896,359,35,158,3,555,15,0,3,0,18,1469
112 Berkshire N,2567,866,153,398,0,1417,366,61,184,0,611,23,3,7,0,33,2061
113 Pinckneyville V,1233,201,23,106,3,333,318,18,170,2,508,14,0,3,0,17,858
114 Pinckneyville W,2665,603,83,200,0,886,728,34,260,7,1029,22,3,4,0,29,1944
115 Martins H,3255,629,73,258,0,960,841,44,469,3,1357,34,0,4,0,38,2355
116 Martins I,2500,343,53,102,2,500,782,37,342,5,1166,12,1,0,0,13,1679
117 Martins J,2640,256,15,97,0,368,923,24,458,10,1415,13,2,1,0,16,1799
118 Garners F,1305,469,60,134,1,664,264,13,73,0,350,13,1,0,0,14,1028
119 Berkshire O,2197,794,110,269,0,1173,325,47,142,1,515,23,5,0,0,28,1716
120 Berkshire P,1030,275,19,86,2,382,243,17,111,3,374,8,0,0,0,8,764
121 Pinckneyville X,2514,797,136,221,1,1155,529,67,193,1,790,42,0,1,0,43,1988
122 Rockbridge G,3890,405,80,252,1,738,1008,85,1049,10,2152,27,2,4,0,33,2923
123 Pinckneyville Y,2061,210,15,59,0,284,748,14,345,7,1114,8,1,0,0,9,1407
124 Goodwins G,1724,339,33,103,1,476,535,27,229,2,793,9,3,3,0,15,1284
125 Pinckneyville Z,1647,795,130,135,1,1061,217,28,46,0,291,27,6,0,0,33,1385
126 Pinckneyville A1,2414,974,178,249,1,1402,387,41,82,0,510,23,4,3,0,30,1942
127 Lawrenceville J,1515,346,26,95,1,468,376,31,218,2,627,24,0,0,0,24,1119
128 Goodwins H,2148,596,73,209,0,878,409,15,203,1,628,23,1,3,0,27,1533
129 Duncans B,3187,1260,120,549,1,1930,326,30,169,2,527,30,4,3,0,37,2494
130 Suwanee D,3323,1300,165,517,3,1985,379,38,239,2,658,31,0,5,0,36,2679
131 Suwanee E,3031,1027,159,559,0,1745,365,44,222,0,631,32,4,3,0,39,2415
132 Lawrenceville K,2612,790,61,313,2,1166,490,33,205,1,729,21,4,7,0,32,1927
133 Harbins B,2886,708,65,881,3,1657,223,15,230,0,468,22,3,15,0,40,2165
134 Baycreek F,2785,703,71,289,2,1065,592,53,481,2,1128,9,1,2,1,13,2206
135 Pucketts C,2213,833,65,308,6,1212,313,21,128,1,463,26,0,3,0,29,1704
136 Hog Mountain C,3085,954,73,464,2,1493,447,24,244,1,716,37,1,8,0,46,2255
137 Rockycreek B,3733,1087,112,688,1,1888,507,56,347,1,911,38,0,7,0,45,2844
138 Duluth I,3268,1012,186,450,0,1648,424,40,193,0,657,15,4,1,0,20,2325
139 Martins K,3467,484,48,109,2,643,1084,56,612,3,1755,27,1,3,1,32,2430
140 Suwanee H,2755,930,172,611,0,1713,271,30,187,1,489,18,1,1,0,20,2222
141 Sugar Hill G,2134,823,66,286,1,1176,243,25,157,3,428,22,1,3,0,26,1630
142 Suwanee F,2771,866,82,343,0,1291,516,33,259,3,811,27,1,2,0,30,2132
143 Lawrenceville L,3587,886,143,390,0,1419,717,52,482,8,1259,27,4,4,0,35,2713
144 Lawrenceville M,3644,450,39,229,2,720,946,59,824,8,1837,21,1,5,0,27,2584
145 Baycreek G,3121,940,103,348,0,1391,540,31,414,0,985,20,1,1,0,22,2398
146 Baycreek H,4021,1546,167,544,1,2258,494,52,358,0,904,19,4,3,0,26,3188
147 Baycreek I,3811,822,80,488,1,1391,744,36,634,4,1418,24,1,4,0,29,2838
148 Berkshire Q,1399,487,70,114,0,671,262,20,81,1,364,20,3,0,0,23,1058
149 Goodwins I,2035,721,92,243,0,1056,371,26,139,1,537,18,3,5,0,26,1619
150 Duluth K,1627,178,13,37,3,231,515,19,235,6,775,12,0,2,0,14,1020
151 Harbins C,1686,696,52,279,0,1027,188,16,101,1,306,12,0,3,0,15,1348
152 Rockycreek C,3275,838,110,795,1,1744,381,36,431,0,848,32,0,9,0,41,2633
153 Lawrenceville N,1713,424,53,174,3,654,337,16,208,3,564,20,0,4,0,24,1242
154 Pucketts D,2306,866,91,400,3,1360,282,20,131,0,433,16,3,1,0,20,1813
155 Suwanee G,2567,882,73,290,1,1246,474,36,212,2,724,35,0,4,0,39,2009
156 Baycreek J,3144,719,92,324,2,1137,671,36,575,5,1287,23,0,7,0,30,2454
Totals:,395934,102555,13149,43959,192,159855,79227,5396,47388,498,132509,3391,257,476,8,4132,296496