0,1,2,3
APPLING,http://results.enr.clarityelections.com/GA/Appling/42279/112237,5233,1758
ATKINSON,http://results.enr.clarityelections.com/GA/Atkinson/42280/112238,1938,930
BACON,http://results.enr.clarityelections.com/GA/Bacon/42281/112215,3093,791
BAKER,http://results.enr.clarityelections.com/GA/Baker/42282/112216,785,794
BALDWIN,http://results.enr.clarityelections.com/GA/Baldwin/42283/112217,7589,8483
BANKS,http://results.enr.clarityelections.com/GA/Banks/42284/112218,5354,780
BARROW,http://results.enr.clarityelections.com/GA/Barrow/42285/112219,18725,6028
BARTOW,http://results.enr.clarityelections.com/GA/Bartow/42286/112220,26876,8396
BEN HILL,http://results.enr.clarityelections.com/GA/Ben_Hill/42287/112221,3396,2512
BERRIEN,http://results.enr.clarityelections.com/GA/Berrien/42288/112222,4843,1273
BIBB,http://results.enr.clarityelections.com/GA/Bibb/42289/112223,25623,38585
BLECKLEY,http://results.enr.clarityelections.com/GA/Bleckley/42290/112225,3587,1269
BRANTLEY,http://results.enr.clarityelections.com/GA/Brantley/42291/112227,4964,939
BROOKS,http://results.enr.clarityelections.com/GA/Brooks/42292/112229,3554,3138
BRYAN,http://results.enr.clarityelections.com/GA/Bryan/42293/112231,9560,3707
BULLOCH,http://results.enr.clarityelections.com/GA/Bulloch/42294/112233,14174,9593
BURKE,http://results.enr.clarityelections.com/GA/Burke/42295/112257,4301,5405
BUTTS,http://results.enr.clarityelections.com/GA/Butts/42296/112235,6306,2968
CALHOUN,http://results.enr.clarityelections.com/GA/42277/113204,883,1298
CAMDEN,http://results.enr.clarityelections.com/GA/Camden/42298/112256,11343,6377
CANDLER,http://results.enr.clarityelections.com/GA/Candler/42299/112259,2344,1157
CARROLL,http://results.enr.clarityelections.com/GA/Carroll/42300/112261,28280,12688
CATOOSA,http://results.enr.clarityelections.com/GA/Catoosa/42301/112262,17858,5365
CHARLTON,http://results.enr.clarityelections.com/GA/Charlton/42302/112265,2527,1197
CHATHAM,http://results.enr.clarityelections.com/GA/Chatham/42303/112266,47204,60246
CHATTAHOOCHEE,http://results.enr.clarityelections.com/GA/Chattahoochee/42304/112267,735,729
CHATTOOGA,http://results.enr.clarityelections.com/GA/Chattooga/42305/112273,5452,2232
CHEROKEE,http://results.enr.clarityelections.com/GA/Cherokee/42306/112275,76514,19841
CLARKE,http://results.enr.clarityelections.com/GA/Clarke/42307/112276,13815,25431
CLAY,http://results.enr.clarityelections.com/GA/Clay/42308/112277,537,862
CLAYTON,http://results.enr.clarityelections.com/GA/Clayton/42309/112279,14164,81479
CLINCH,http://results.enr.clarityelections.com/GA/Clinch/42310/112281,1598,852
COBB,http://results.enr.clarityelections.com/GA/Cobb/42311/112282,171722,133124
COFFEE,http://results.enr.clarityelections.com/GA/Coffee/42312/112284,9248,5057
COLQUITT,http://results.enr.clarityelections.com/GA/Colquitt/42313/112285,9243,3973
COLUMBIA,http://results.enr.clarityelections.com/GA/Columbia/42314/112286,41765,16451
COOK,http://results.enr.clarityelections.com/GA/Cook/42315/112288,3935,2042
COWETA,http://results.enr.clarityelections.com/GA/Coweta/42316/112289,39653,15168
CRAWFORD,http://results.enr.clarityelections.com/GA/Crawford/42317/112290,3368,1706
CRISP,http://results.enr.clarityelections.com/GA/Crisp/42318/112291,4182,3167
DADE,http://results.enr.clarityelections.com/GA/Dade/42319/112343,4471,1411
DAWSON,http://results.enr.clarityelections.com/GA/Dawson/42320/112344,8847,1241
DECATUR,http://results.enr.clarityelections.com/GA/Decatur/42321/112345,5824,4591
DEKALB,http://results.enr.clarityelections.com/GA/DeKalb/42322/112346,64392,238224
DODGE,http://results.enr.clarityelections.com/GA/Dodge/42323/112347,5214,2442
DOOLY,http://results.enr.clarityelections.com/GA/Dooly/42324/112348,1985,2285
DOUGHERTY,http://results.enr.clarityelections.com/GA/Dougherty/42325/112349,11449,26295
DOUGLAS,http://results.enr.clarityelections.com/GA/Douglas/42326/112350,26241,28441
EARLY,http://results.enr.clarityelections.com/GA/Early/42327/112351,2557,2765
ECHOLS,http://results.enr.clarityelections.com/GA/Echols/42328/112352,917,173
EFFINGHAM,http://results.enr.clarityelections.com/GA/Effingham/42329/112353,15596,4947
ELBERT,http://results.enr.clarityelections.com/GA/Elbert/42330/112354,4859,3181
EMANUEL,http://results.enr.clarityelections.com/GA/Emanuel/42331/112355,5100,2927
EVANS,http://results.enr.clarityelections.com/GA/Evans/42332/112356,2268,1268
FANNIN,http://results.enr.clarityelections.com/GA/Fannin/42333/112359,7857,2028
FAYETTE,http://results.enr.clarityelections.com/GA/Fayette/42334/112360,38075,19736
FLOYD,http://results.enr.clarityelections.com/GA/Floyd/42335/112361,22733,9640
FORSYTH,http://results.enr.clarityelections.com/GA/Forsyth/42336/112362,65908,14571
FRANKLIN,http://results.enr.clarityelections.com/GA/Franklin/42337/112363,6114,1499
FULTON,http://results.enr.clarityelections.com/GA/Fulton/42338/112364,137124,255470
GILMER,http://results.enr.clarityelections.com/GA/Gilmer/42339/112366,8926,1958
GLASCOCK,http://results.enr.clarityelections.com/GA/Glascock/42340/112367,1135,176
GLYNN,http://results.enr.clarityelections.com/GA/Glynn/42341/112368,20893,11950
GORDON,http://results.enr.clarityelections.com/GA/Gordon/42342/112369,13197,3440
GRADY,http://results.enr.clarityelections.com/GA/Grady/42343/112370,5924,3419
GREENE,http://results.enr.clarityelections.com/GA/Greene/42344/112371,5071,3201
GWINNETT,http://results.enr.clarityelections.com/GA/Gwinnett/42345/112372,159855,132509
HABERSHAM,http://results.enr.clarityelections.com/GA/Habersham/42346/112373,12166,2301
HALL,http://results.enr.clarityelections.com/GA/Hall/42347/112374,47481,12999
HANCOCK,http://results.enr.clarityelections.com/GA/Hancock/42348/112375,769,3308
HARALSON,http://results.enr.clarityelections.com/GA/Haralson/42349/112376,8446,1789
HARRIS,http://results.enr.clarityelections.com/GA/Harris/42350/112378,11197,4145
HART,http://results.enr.clarityelections.com/GA/Hart/42351/112379,6517,2870
HEARD,http://results.enr.clarityelections.com/GA/Heard/42352/112377,3160,948
HENRY,http://results.enr.clarityelections.com/GA/Henry/42353/112380,46774,43761
HOUSTON,http://results.enr.clarityelections.com/GA/Houston/42354/112381,34662,22702
IRWIN,http://results.enr.clarityelections.com/GA/Irwin/42355/112387,2538,1141
JACKSON,http://results.enr.clarityelections.com/GA/Jackson/42356/112388,19135,4238
JASPER,http://results.enr.clarityelections.com/GA/Jasper/42357/112389,4136,1845
JEFF DAVIS,http://results.enr.clarityelections.com/GA/Jeff_Davis/42358/112390,3996,1275
JEFFERSON,http://results.enr.clarityelections.com/GA/Jefferson/42359/112391,2999,4261
JENKINS,http://results.enr.clarityelections.com/GA/Jenkins/42360/112392,1887,1488
JOHNSON,http://results.enr.clarityelections.com/GA/Johnson/42361/112393,2440,1305
JONES,http://results.enr.clarityelections.com/GA/Jones/42362/112395,7744,4274
LAMAR,http://results.enr.clarityelections.com/GA/Lamar/42363/112396,4899,2602
LANIER,http://results.enr.clarityelections.com/GA/Lanier/42364/112397,1820,1114
LAURENS,http://results.enr.clarityelections.com/GA/Laurens/42365/112398,11950,7513
LEE,http://results.enr.clarityelections.com/GA/Lee/42366/112399,10314,3196
LIBERTY,http://results.enr.clarityelections.com/GA/Liberty/42367/112400,5565,10457
LINCOLN,http://results.enr.clarityelections.com/GA/Lincoln/42368/112402,2807,1586
LONG,http://results.enr.clarityelections.com/GA/Long/42369/112403,2306,1442
LOWNDES,http://results.enr.clarityelections.com/GA/Lowndes/42370/112404,21327,17470
LUMPKIN,http://results.enr.clarityelections.com/GA/Lumpkin/42371/112405,8647,2055
MACON,http://results.enr.clarityelections.com/GA/Macon/42372/112406,1545,3211
MADISON,http://results.enr.clarityelections.com/GA/Madison/42373/112407,8443,2494
MARION,http://results.enr.clarityelections.com/GA/Marion/42374/112409,1733,1412
MCDUFFIE,http://results.enr.clarityelections.com/GA/McDuffie/42375/112410,5475,4044
MCINTOSH,http://results.enr.clarityelections.com/GA/McIntosh/42376/112411,3409,2864
MERIWETHER,http://results.enr.clarityelections.com/GA/Meriwether/42377/112412,4856,4331
MILLER,http://results.enr.clarityelections.com/GA/Miller/42378/112413,1905,852
MITCHELL,http://results.enr.clarityelections.com/GA/Mitchell/42379/112414,4155,4081
MONROE,http://results.enr.clarityelections.com/GA/Monroe/42380/112415,8361,3785
MONTGOMERY,http://results.enr.clarityelections.com/GA/Montgomery/42381/112416,2662,1135
MORGAN,http://results.enr.clarityelections.com/GA/Morgan/42382/112417,6186,2753
MURRAY,http://results.enr.clarityelections.com/GA/Murray/42383/112418,8443,2542
MUSCOGEE,http://results.enr.clarityelections.com/GA/Muscogee/42384/112419,27510,42573
NEWTON,http://results.enr.clarityelections.com/GA/Newton/42385/112335,20982,21851
OCONEE,http://results.enr.clarityelections.com/GA/Oconee/42386/112334,13098,4421
OGLETHORPE,http://results.enr.clarityelections.com/GA/Oglethorpe/42387/112332,4251,1914
PAULDING,http://results.enr.clarityelections.com/GA/Paulding/42388/112330,40846,15825
PEACH,http://results.enr.clarityelections.com/GA/Peach/42389/112329,5287,6148
PICKENS,http://results.enr.clarityelections.com/GA/Pickens/42390/112326,10547,1975
PIERCE,http://results.enr.clarityelections.com/GA/Pierce/42391/112325,5667,1124
PIKE,http://results.enr.clarityelections.com/GA/Pike/42392/112323,6668,1356
POLK,http://results.enr.clarityelections.com/GA/Polk/42393/112322,9811,3615
PULASKI,http://results.enr.clarityelections.com/GA/Pulaski/42394/112321,2444,1219
PUTNAM,http://results.enr.clarityelections.com/GA/Putnam/42395/112314,6215,2926
QUITMAN,http://results.enr.clarityelections.com/GA/Quitman/42396/112312,510,612
RABUN,http://results.enr.clarityelections.com/GA/Rabun/42397/112309,5754,1559
RANDOLPH,http://results.enr.clarityelections.com/GA/Randolph/42398/112311,1271,1770
RICHMOND,http://results.enr.clarityelections.com/GA/Richmond/42399/112304,25845,52560
ROCKDALE,http://results.enr.clarityelections.com/GA/Rockdale/42400/112303,15716,22023
SCHLEY,http://results.enr.clarityelections.com/GA/Schley/42401/112300,1286,448
SCREVEN,http://results.enr.clarityelections.com/GA/Screven/42402/112299,3287,2774
SEMINOLE,http://results.enr.clarityelections.com/GA/Seminole/42403/112297,2245,1478
SPALDING,http://results.enr.clarityelections.com/GA/Spalding/42404/112294,14911,9898
STEPHENS,http://results.enr.clarityelections.com/GA/Stephens/42405/112292,7221,2131
STEWART,http://results.enr.clarityelections.com/GA/Stewart/42406/112287,745,1323
SUMTER,http://results.enr.clarityelections.com/GA/Sumter/42407/112283,5378,6375
TALBOT,http://results.enr.clarityelections.com/GA/Talbot/42408/112280,1202,2265
TALIAFERRO,http://results.enr.clarityelections.com/GA/Taliaferro/42409/112274,323,636
TATTNALL,http://results.enr.clarityelections.com/GA/Tattnall/42410/112272,4706,1897
TAYLOR,http://results.enr.clarityelections.com/GA/Taylor/42411/112271,1948,1572
TELFAIR,http://results.enr.clarityelections.com/GA/Telfair/42412/112270,2480,1805
TERRELL,http://results.enr.clarityelections.com/GA/Terrell/42413/112268,1834,2544
THOMAS,http://results.enr.clarityelections.com/GA/Thomas/42414/112260,11156,7653
TIFT,http://results.enr.clarityelections.com/GA/Tift/42415/112258,9185,4660
TOOMBS,http://results.enr.clarityelections.com/GA/Toombs/42416/112255,6524,2746
TOWNS,http://results.enr.clarityelections.com/GA/Towns/42417/112253,4876,1273
TREUTLEN,http://results.enr.clarityelections.com/GA/Treutlen/42418/112252,1652,1074
TROUP,http://results.enr.clarityelections.com/GA/Troup/42419/112251,15179,10547
TURNER,http://results.enr.clarityelections.com/GA/Turner/42420/112250,2028,1510
TWIGGS,http://results.enr.clarityelections.com/GA/Twiggs/42421/112249,1907,2270
UNION,http://results.enr.clarityelections.com/GA/Union/42422/112247,8773,2139
UPSON,http://results.enr.clarityelections.com/GA/Upson/42423/112246,7230,3959
WALKER,http://results.enr.clarityelections.com/GA/Walker/42424/112423,16247,5274
WALTON,http://results.enr.clarityelections.com/GA/Walton/42425/112241,29036,8148
WARE,http://results.enr.clarityelections.com/GA/Ware/42426/112239,7941,3900
WARREN,http://results.enr.clarityelections.com/GA/Warren/42427/112234,990,1529
WASHINGTON,http://results.enr.clarityelections.com/GA/Washington/42428/112232,4035,4714
WAYNE,http://results.enr.clarityelections.com/GA/Wayne/42429/112228,7557,2596
WEBSTER,http://results.enr.clarityelections.com/GA/Webster/42430/112226,601,582
WHEELER,http://results.enr.clarityelections.com/GA/Wheeler/42431/112224,1366,772
WHITE,http://results.enr.clarityelections.com/GA/White/42432/112213,8651,1671
WHITFIELD,http://results.enr.clarityelections.com/GA/Whitfield/42433/112210,19305,7210
WILCOX,http://results.enr.clarityelections.com/GA/Wilcox/42434/112209,2053,1060
WILKES,http://results.enr.clarityelections.com/GA/Wilkes/42435/112208,2635,2087
WILKINSON,http://results.enr.clarityelections.com/GA/Wilkinson/42436/112207,2246,2181
WORTH,http://results.enr.clarityelections.com/GA/Worth/42437/112204,5869,2487
