PRECINCT_N,ajc_precinct
UC034,UC034
RIVERDALE 2,RIVERDALE 2
JONESBORO 12,JONESBORO 12
RIVERDALE 12,RIVERDALE 12
SC212,SC212
FA01B,FA01B
FA01A,FA01A
ROCKBRIDGE A,ROCKBRIDGE A
ROCKBRIDGE C,ROCKBRIDGE C
PA01,PA01
CH04B,CH04B
JONESBORO 17,JONESBORO 17
JONESBORO 2,JONESBORO 2
RIVERDALE 9,RIVERDALE 9
JONESBORO 16,JONESBORO 16
RIVERDALE 5,RIVERDALE 5
JONESBORO 3,JONESBORO 3
JONESBORO 10,JONESBORO 10
JONESBORO 9,JONESBORO 9
FLAT ROCK ELEM,FLAT ROCK ELEM
CANDLER-MURPHEY CAND,CANDLER-MURPHEY CAND
JC08,JC08
JC05,JC05
JC04B,JC04B
JC03A,JC03A
JC04A,JC04A
JC03B,JC03B
JC06,JC06
DULUTH H,DULUTH H
JC02,JC02
FLAT SHOALS PARKWAY,FLAT SHOALS PARKWAY
CHAPEL HILL ELEM,CHAPEL HILL ELEM
KING-ML KING JR HIGH,KING-ML KING JR HIGH
BROWNS MILL ELEM,BROWNS MILL ELEM
OAK VIEW ELEM,OAK VIEW ELEM
NARVIE J HARRIS ELEM,HARRIS-NARVIE J. HAR
FLAKES MILL FIRE STA,FLAKES MILL FIRE STA
SCOTT,SCOTT
MEDLOCK,MEDLOCK ELEM
CLAIRMONT ROAD,CLAIRMONT ROAD
JONESBORO 8,JONESBORO 8
MORROW 8,MORROW 8
MORROW 5,MORROW 5
RIVERDALE 7,RIVERDALE 7
FOREST PARK 3,FOREST PARK 3
RIVERDALE 6,RIVERDALE 6
JONESBORO 15,JONESBORO 15
FOREST PARK 5,FOREST PARK 5
FOREST PARK 6,FOREST PARK 6
RIVERDALE 4,RIVERDALE 4
11J,11J
SC23A,SC23A
RIVERDALE 11,RIVERDALE 11
SC27,SC27
CP083,CP083
CP08A,CP08A
RIVERDALE 8,RIVERDALE 8
SC08B,SC08B
SC29A,SC29A
SC23B,SC23B
SC09B,SC09B
SC11B,SC11B
SC11A,SC11A
SC08D,SC08D
UC01B,UC01B
SC09A,SC09A
UC01A,UC01A
UC031,UC031
SC08E,SC08E
UC035,UC035
UC01D,UC01D
SC17B,SC17B
SC07A,SC07A
CH03,CH03
CH02,CH02
CH01,CH01
SC04,SC04
CH05,CH05
CH04A,CH04A
JONESBORO 18,JONESBORO 18
JONESBORO 11,JONESBORO 11
JONESBORO 7,JONESBORO 7
JONESBORO 6,JONESBORO 6
UC032,UC032
SC211,SC211
JONESBORO 1,JONESBORO 1
PANHANDLE 1,PANHANDLE 1
JONESBORO 13,JONESBORO 13
LOVEJOY 4,LOVEJOY 4
LOVEJOY 5,LOVEJOY 5
PANHANDLE 2,PANHANDLE 2
JONESBORO 4,JONESBORO 4
LOVEJOY 3,LOVEJOY 3
LOVEJOY 1,LOVEJOY 1
LOVEJOY 2,LOVEJOY 2
JONESBORO 5,JONESBORO 5
JONESBORO 14,JONESBORO 14
BAYCREEK I,BAYCREEK I
BAYCREEK C,BAYCREEK C
LAWRENCEVILLE I,LAWRENCEVILLE I
LAWRENCEVILLE H,LAWRENCEVILLE H
LAWRENCEVILLE K,LAWRENCEVILLE K
LAWRENCEVILLE D,LAWRENCEVILLE D
LAWRENCEVILLE C,LAWRENCEVILLE C
PUCKETTS A,PUCKETTS A
PUCKETTS C,PUCKETTS C
DACULA,DACULA
ROCKYCREEK C,ROCKYCREEK C
ROCKYCREEK B,ROCKYCREEK B
PUCKETTS D,PUCKETTS D
DUNCANS A,DUNCANS A
DUNCANS C,DUNCANS C
RW09,RW09
BAYCREEK E,BAYCREEK E
BAYCREEK G,BAYCREEK G
BAYCREEK H,BAYCREEK H
BAYCREEK D,BAYCREEK D
HARBINS B,HARBINS B
ROCKYCREEK A,ROCKYCREEK A
DUNCANS B,DUNCANS B
DUNCANS D,DUNCANS D
ROCKBRIDGE F,ROCKBRIDGE F
ROCKBRIDGE D,ROCKBRIDGE D
BERKSHIRE G,BERKSHIRE G
HARBINS A,HARBINS A
HARBINS C,HARBINS C
WILLEO 01,WILEO 01
RW07B,RW07B
AP03,AP03
RW05,RW05
AP021,AP021
RW06,RW06
RW13,RW13
AP01D,AP01D
AP02B,AP02B
AP022,AP022
AP01B,AP01B
RIVERDALE 1,RIVERDALE 1
RIVERDALE 3,RIVERDALE 3
OAK 4,OAK 4
OAK 2,OAK 2
RIVERDALE 10,RIVERDALE 10
OAK 3,OAK 3
CP06,CP06
CP05B,CP05B
CP07D,CP07D
RW08,RW08
RW18,RW18
RW16,RW16
RW12,RW12
DUNWOODY LIBRARY (DU,DUNWOODY LIBRARY
AUSTIN,AUSTIN
MOUNT VERNON EAST (D,MT. VERNON EAST
SS15B,SS15B
SS17,SS17
OAK 1,OAK 1
CP02,CP02
CP01B,CP01B
VININGS 01,VININGS 01
09F,09F
08N2,08N2
08N1,08N1
08F1,08F1
08A,08A
08D,08D
CHATTAHOOCHEE 01,CHATTAHOOCHEE 01
TERRELL MILL 01,TERRELL MILL 01
SOPE CREEK 02,SOPE CREEK 02
SS09A,SS09A
SOPE CREEK 03,SOPE CREEK 03
SS16,SS16
AP09A,AP09A
PINCKNEYVILLE X,PINCKNEYVILLE X
PINCKNEYVILLE H,PINCKNEYVILLE H
JC12,JC12
PINCKNEYVILLE T,PINCKNEYVILLE T
SS15A,SS15A
ROSWELL 01,ROSWELL 01
RW02,RW02
RW10,RW10
RW15,RW15
RW01,RW01
RW03,RW03
SUWANEE G,SUWANEE G
SUWANEE H,SUWANEE H
MARTINS A,MARTINS A
GOODWINS C,GOODWINS C
GOODWINS E,GOODWINS E
LOST MOUNTAIN 02,LOST MOUNTAIN 02
FORD 01,FORD 01
DURHAM 01,DURHAM 01
KEMP 03,KEMP 03
FREY 01,FREY 01
LOST MOUNTAIN 04,LOST MOUNTAIN 04
MARS HILL 01,MARS HILL 01
LEWIS 01,LEWIS 01
SUWANEE E,SUWANEE E
SUWANEE A,SUWANEE A
GOODWINS F,GOODWINS F
SUWANEE F,SUWANEE F
SUWANEE B,SUWANEE B
CATES C,CATES C
GOODWINS B,GOODWINS B
HOG MOUNTAIN A,HOG MOUNTAIN A
HOG MOUNTAIN D,HOG MOUNTAIN D
HOG MOUNTAIN C,HOG MOUNTAIN C
PUCKETTS E,PUCKETTS E
LAWRENCEVILLE F,LAWRENCEVILLE F
LAWRENCEVILLE M,LAWRENCEVILLE M
HOG MOUNTAIN B,HOG MOUNTAIN B
FULLERS PARK 01,FULLERS PARK 01
SEWELL MILL 01,SEWELL MILL 01
MURDOCK 01,MURDOCK 01
MT BETHEL 04,MOUNT BETHEL 04
EASTSIDE 01,EASTSIDE 01
DODGEN 01,DODGEN 01
CHESTNUT RIDGE 01,CHESTNUT RIDGE 01
ROSWELL 02,ROSWELL 02
WADE GREEN 02,WADE GREEN 02
BIG SHANTY 02,BIG SHANTY 02
PITNER 01,PITNER 01
CHALKER 01,CHALKER 01
PALMER 01,PALMER 01
BELLS FERRY 03,BELLS FERRY 03
03E,03E
04J,04J
03L,03L
03M,03M
03N,03N
09G1,09G
09G2,09G
09H,09H
08M,08M
07J,07J
07H,07H
08G,08G
08C,08C
08B,08B
06I,06I
MT BETHEL 01,MOUNT BETHEL 01
SS18B,SS18B
TIMBER RIDGE 01,TIMBER RIDGE 01
SS02A,SS02A
SS19B,SS19B
SS19A,SS19A
SS29B,SS29B
SS26,SS26
SS20,SS20
SS22,SS22
RW11A,RW11A
RW19,RW19
ML012,ML012
ML01B,ML01B
AP04A,AP04A
ML011,ML011
AP04B,AP04B
05A2,05A2
03G,03G
03T,03T
03P2,03P2
04F,04F
03P1A,03P1A
03I,03I
AP06,AP06
AP07B,AP07B
ML023,ML023
ML022,ML022
AP10,AP10
ML04A,ML04A
AP07A,AP07A
ML024,ML024
ML04B,ML04B
ML021,ML021
ML03,ML03
ML07A,ML07A
ML05B,ML05B
12B,12B
12S,12S
01J,01J
01C1,01C
12A,12A
12K,12K
12N,12N
04B,04B
SUGAR HILL D,SUGAR HILL D
PUCKETTS B,PUCKETTS B
SUGAR HILL A,SUGAR HILL A
10K,10K
10G,10G
11H,11H
10J,10J
12L,12L
12G,12G
12D,12D
SUGAR HILL G,SUGAR HILL G
SUGAR HILL B,SUGAR HILL B
SUGAR HILL E,SUGAR HILL E
SUGAR HILL C,SUGAR HILL C
MP01,MP01
SUWANEE D,SUWANEE D
DICKERSON 01,DICKERSON 01
SANDY PLAINS 01,SANDY PLAINS 01
POPE 01,POPE 01
MABRY 01,MABRY 01
DAVIS 01,DAVIS 01
GARRISON MILL 01,GARRISON MILL 01
POST OAK 01,POST OAK 01
HIGHTOWER 01,HIGHTOWER 01
SHALLOWFORD FALLS 01,SHALLOWFORD FALL 01
ML05A,ML05A
ML06A,ML06A
AP12B,AP12B
ML05C,ML05C
ML04C,ML04C
ML071,ML071
ML06B,ML06B
SS09B,SS09B
SS13B,SS13B
SS11D,SS11D
SS11B,SS11B
SS06,SS06
SS05,SS05
SS18A,SS18A
SS31,SS31
SS03,SS03
SS13A,SS13A
SS11A,SS11A
SS11C,SS11C
SS14,SS14
08J,08J
FOREST PARK 4,FOREST PARK 4
FOREST PARK 1,FOREST PARK 1
HP01,HP01
12E1,12E1
AP05,AP05
ML072,ML072
AP09B,AP09B
CHAMBLEE (CHA),CHAMBLEE
HUNTLEY HILLS ELEM (,HUNTLEY HILLS ELEM
PEACHTREE MIDDLE (DU,PEACHTREE MIDDLE
DUNWOODY ELEM (DUN),DUNWOODY HIGH
CHESNUT ELEM (DUN),CHESNUT ELEM
TILLY MILL ROAD (DUN,TILLY MILL ROAD
MT BETHEL 03,MOUNT BETHEL 03
PEBBLEBROOK 01,PEBBLEBROOK 01
MABLETON 02,MABLETON 02
BRYANT 02,BRYANT 02
RIVERSIDE 01,RIVERSIDE 01
AUSTELL 1A,AUSTELL 1A
SC05D,SC05D
UC02B,UC02B
SC05B,SC05B
SC08C,SC08C
SC18B,SC18B
CLARKDALE 01,CLARKDALE 01
POWDER SPRINGS 2A,POWDER SPRINGS 2A
COOPER 01,COOPER 01
OREGON 02,OREGON 02
SC13B,SC13B
SC05A,SC05A
SC13A,SC13A
09K,09K
09M,09M
09E,09E
09A,09A
04C,04C
03A,03A
03D,03D
03B,03B
09I,09I
ACWORTH 1B,ACWORTH 1B
MACLAND 01,MACLAND 01
OREGON 05,OREGON 05
KEMP 02,KEMP 02
OREGON 04,OREGON 04
DOWELL 01,DOWELL 01
CHEATHAM HILL 03,CHEATHAM HILL 03
MABLETON 01,MABLETON 01
SWEETWATER 02,SWEETWATER 02
BIRNEY 02,BIRNEY 02
BIRNEY 01,BIRNEY 01
MABLETON 03,MABLETON 03
MABLETON 04,MABLETON 04
ACWORTH 1A,ACWORTH 1A
MCEACHERN 01,MCEACHERN 01
LOST MOUNTAIN 01,LOST MOUNTAIN 01
OREGON 01,OREGON 01
VAUGHAN 01,VAUGHN 01
POWDER SPRINGS 1A,POWDER SPRINGS 1A
POWDER SPRINGS 3A,POWDER SPRINGS 3A
LOST MOUNTAIN 03,LOST MOUNTAIN 03
SWEETWATER 01,SWEETWATER 01
CLARKDALE 02,CLARKDALE 02
MARIETTA 3A,MARIETTA 3A
HARRISON 01,HARRISON 01
KEMP 01,KEMP 01
MCCLURE 01,MCCLURE 01
NORTH COBB 01,NORTH COBB 01
SMYRNA 7B,SMYRNA 7B
SC14,SC14
HARMONY-LELAND 01,HARMONY LELAND 01
LINDLEY 01,LINDLEY 01
CP04,CP04
CP012,CP012
EP03,EP03
CP011,CP011
EP01,EP01
SC19B,SC19B
EP04,EP04
CP051,CP051
CP07A,CP07A
11P,11P
SC10,SC10
CP081,CP081
UC01E,UC01E
SC17A,SC17A
SC17C,SC17C
SC19A,SC19A
SC18A,SC18A
11E3,11E3
11E1,11E1
11E2,11E2
UC02A,UC02A
SC08F,SC08F
SC01B,SC01B
SC02,SC02
SC16,SC16
BRYANT 01,BRYANT 01
11C,11C
SC30A,SC30A
10A,10A
10C,10C
11N,11N
11M,11M
SC30B,SC30B
10L,10L
10R,10R
10B,10B
10I,10I
10H,10H
EP02,EP02
11B,11B
10D,10D
10E,10E
10P,10P
09C,09C
09B,09B
09L,09L
11R,11R
11K,11K
11G,11G
12I,12I
12C,12C
04S,04S
04X1,04X1
04M,04M
04T,04T
10M,10M
04X2,04X2
04L,04L
04D,04D
04G,04G
04A,04A
04K,04K
04W,04W
10F,10F
03S,03S
09D,09D
03C,03C
03H,03H
OREGON 03,OREGON 03
MARIETTA 2A,MARIETTA 2A
NORTON PARK 01,NORTON PARK 01
FAIR OAKS 01,FAIR OAKS 01
LASSITER 01,LASSSITER 01
KELL 01,KELL 01
ROCKY MOUNT 01,ROCKY MOUNTAIN 01
EASTSIDE 02,EASTSIDE 02
SOPE CREEK 01,SOPE CREEK 01
FAIR OAKS 02,FAIR OAKS 02
FAIR OAKS 04,FAIR OAKS 04
MARIETTA 2B,MARIETTA 2B
BELLS FERRY 02,BELLS FERRY 02
BLACKWELL 01,BLACKWELL 01
GRITTERS 01,GRITTERS 01
MCCLESKEY 01,MCCLESKEY 01
NICHOLSON 01,NICHOLSON 01
ADDISON 01,ADDISON 01
SIMPSON 01,SIMPSON 01
MARIETTA 6A,MARIETTA 6A
MARIETTA 5B,MARIETTA 5B
HAYES 01,HAYES 01
PINE MOUNTAIN 02,PINE MOUNTAIN 02
CHEATHAM HILL 02,CHEATHAM HILL 02
POWERS FERRY 01,POWERS FERRY 01
08E,08E
VININGS 04,VININGS 04
MARIETTA 7A,MARIETTA 7A
FAIR OAKS 05,FAIR OAKS 05
MARIETTA 1A,MARIETTA 1A
DOBBINS 01,DOBBINS 01
SMYRNA 5A,SMYRNA 5A
SMYRNA 3A,SMYRNA 3A
MARIETTA 4C,MARIETTA 4C
KENNESAW 3A,KENNESAW 3A
MARIETTA 4A,MARIETTA 4A
MARIETTA 5A,MARIETTA 5A
SMYRNA 7A,SMYRNA 7A
SMYRNA 4A,SMYRNA 4A
EAST PIEDMONT 01,EAST PIEDMONT 01
KENNESAW 1A,KENNESAW 1A
