,PRECINCT_N,XCOORD,YCOORD,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
180,RW15,-84.399448,34.069489,4764210,2.27,1485,121RW15,121RW15,RW15,60,FULTON,121,white,166033,RW15
181,RW01,-84.39219,34.048882,4764273,4.01,1470,121RW01,121RW01,RW01,60,FULTON,121,white,108603,RW01
182,RW03,-84.345525,34.019241,4764348,3.03,1472,121RW03,121RW03,RW03,60,FULTON,121,,71633,RW03
183,SUWANEE G,-84.100103,34.039223,5034183,1.9,1812,135155,135155,155,67,GWINNETT,135,white,120739,SUWANEE G
184,SUWANEE H,-84.096244,34.072325,5034227,3.29,1797,135140,135140,140,67,GWINNETT,135,white,145658,SUWANEE H
185,MARTINS A,-84.069189,33.953299,5034287,1.72,1674,13517,13517,17,67,GWINNETT,135,,59083,MARTINS A
186,GOODWINS C,-84.057523,33.974932,5034337,3.72,1734,13577,13577,77,67,GWINNETT,135,,67035,GOODWINS C
187,GOODWINS E,-84.057196,34.004603,5034415,2.8,1754,13597,13597,97,67,GWINNETT,135,,83664,GOODWINS E
188,LOST MOUNTAIN 02,-84.709,33.979067,3958663,2.52,567,067LM02,067LM02,LM02,33,COBB,67,white,132393,LOST MOUNTAIN 02
189,FORD 01,-84.729969,33.997522,3958718,2.33,547,067FR01,067FR01,FR01,33,COBB,67,white,140268,FORD 01
190,DURHAM 01,-84.71637,34.009995,3958775,3.18,532,067DU01,067DU01,DU01,33,COBB,67,white,122343,DURHAM 01
191,KEMP 03,-84.690827,33.960121,3958825,5.54,563,067KP03,067KP03,KP03,33,COBB,67,white,123383,KEMP 03
192,FREY 01,-84.691036,34.011281,3958891,2.45,548,067FY01,067FY01,FY01,33,COBB,67,white,121066,FREY 01
193,LOST MOUNTAIN 04,-84.680409,33.992351,3958944,2.02,569,067LM04,067LM04,LM04,33,COBB,67,white,130492,LOST MOUNTAIN 04
194,MARS HILL 01,-84.717024,34.050692,3958991,9.31,593,067MS01,067MS01,MS01,33,COBB,67,white,105760,MARS HILL 01
195,LEWIS 01,-84.67707,34.022724,3959109,1.48,570,067LW01,067LW01,LW01,33,COBB,67,white,99747,LEWIS 01
196,SUWANEE E,-84.078209,34.069911,5047868,2.27,1788,135131,135131,131,67,GWINNETT,135,white,145658,SUWANEE E
197,SUWANEE A,-84.067873,34.062538,5047916,2.21,1661,1354,1354,4,67,GWINNETT,135,white,100037,SUWANEE A
198,GOODWINS F,-84.030806,34.02297,5047982,2.17,1755,13598,13598,98,67,GWINNETT,135,white,86616,GOODWINS F
199,SUWANEE F,-84.03603,34.051166,5048051,2.76,1799,135142,135142,142,67,GWINNETT,135,,108954,SUWANEE F
200,SUWANEE B,-84.045245,34.065038,5048109,2.84,1757,135100,135100,100,67,GWINNETT,135,,108992,SUWANEE B
201,CATES C,-83.99964,33.835527,5048163,2.38,1687,13530,13530,30,67,GWINNETT,135,,70953,CATES C
202,GOODWINS B,-84.007983,34.026836,5084595,2.13,1727,13570,13570,70,67,GWINNETT,135,white,102252,GOODWINS B
203,HOG MOUNTAIN A,-84.010818,34.043409,5084641,2.75,1683,13526,13526,26,67,GWINNETT,135,,82901,HOG MOUNTAIN A
204,HOG MOUNTAIN D,-83.97442,34.026829,5084696,2.16,1688,13531,13531,31,67,GWINNETT,135,white,89986,HOG MOUNTAIN D
205,HOG MOUNTAIN C,-83.965332,34.048441,5084745,4.43,1793,135136,135136,136,67,GWINNETT,135,white,80519,HOG MOUNTAIN C
206,PUCKETTS E,-83.963805,34.07324,5084801,4.87,1724,13567,13567,67,67,GWINNETT,135,white,80968,PUCKETTS E
207,LAWRENCEVILLE F,-83.940836,33.947792,5084859,2.41,1728,13571,13571,71,67,GWINNETT,135,,80776,LAWRENCEVILLE F
208,LAWRENCEVILLE M,-83.950761,33.968097,5084911,4.5,1801,135144,135144,144,67,GWINNETT,135,,70796,LAWRENCEVILLE M
209,HOG MOUNTAIN B,-83.94491,34.006311,5084980,5.63,1684,13527,13527,27,67,GWINNETT,135,white,86588,HOG MOUNTAIN B
210,FULLERS PARK 01,-84.458508,33.97283,4302647,1.83,546,067FP01,067FP01,FP01,33,COBB,67,white,130850,FULLERS PARK 01
211,SEWELL MILL 01,-84.473507,33.984565,4302716,1.87,626,067SM01,067SM01,SM01,33,COBB,67,white,125454,SEWELL MILL 01
212,MURDOCK 01,-84.459981,33.999092,4302796,1.94,577,067MD01,067MD01,MD01,33,COBB,67,white,126857,MURDOCK 01
213,MT BETHEL 04,-84.431381,33.950979,4302856,1.99,597,067MT04,067MT04,MT04,33,COBB,67,white,209538,MOUNT BETHEL 04
214,EASTSIDE 01,-84.44201,33.967311,4302911,1.67,534,067EA01,067EA01,EA01,33,COBB,67,white,122972,EASTSIDE 01
215,DODGEN 01,-84.441494,33.987296,4302972,1.19,531,067DO01,067DO01,DO01,33,COBB,67,white,135135,DODGEN 01
216,CHESTNUT RIDGE 01,-84.438354,34.00919,4303023,1.43,527,067CR01,067CR01,CR01,33,COBB,67,white,126045,CHESTNUT RIDGE 01
217,ROSWELL 02,-84.427386,33.997122,4303089,1.67,622,067RW02,067RW02,RW02,33,COBB,67,white,153556,ROSWELL 02
218,WADE GREEN 02,-84.602921,34.069793,4189043,1.96,648,067WG02,067WG02,WG02,33,COBB,67,white,84696,WADE GREEN 02
219,BIG SHANTY 02,-84.575688,34.060179,4189087,1.11,513,067BG02,067BG02,BG02,33,COBB,67,white,101215,BIG SHANTY 02
220,PITNER 01,-84.58174,34.067419,4189152,1.03,618,067PT01,067PT01,PT01,33,COBB,67,white,111668,PITNER 01
221,CHALKER 01,-84.564126,34.03207,4189207,3.75,523,067CK01,067CK01,CK01,33,COBB,67,white,57427,CHALKER 01
222,PALMER 01,-84.554521,34.050555,4189282,1.55,614,067PR01,067PR01,PR01,33,COBB,67,white,87389,PALMER 01
223,BELLS FERRY 03,-84.542925,34.065707,4189336,3.58,511,067BF03,067BF03,BF03,33,COBB,67,white,77375,BELLS FERRY 03
224,03E,-84.418239,33.75904,4088718,0.37,1237,12103E,12103E,03E,60,FULTON,121,black,19653,03E
225,04J,-84.412182,33.752113,4088790,0.22,1256,12104J,12104J,04J,60,FULTON,121,black,25242,04J
226,03L,-84.421584,33.767943,4088850,0.27,1242,12103L,12103L,03L,60,FULTON,121,black,60667,03L
227,03M,-84.423386,33.780201,4088903,0.71,1243,12103M,12103M,03M,60,FULTON,121,white,57334,03M
228,03N,-84.411942,33.770675,4088960,0.69,1244,12103N,12103N,03N,60,FULTON,121,black,29787,03N
229,09G1,-84.430944,33.801497,4089035,0.57,1320,12109G1,12109G1,09G1,60,FULTON,121,white,67895,09G
230,09G2,-84.4208,33.797636,4089071,1.26,1321,12109G2,12109G2,09G2,60,FULTON,121,white,67895,09G
231,09H,-84.411375,33.796656,4089133,0.44,1322,12109H,12109H,09H,60,FULTON,121,white,67895,09H
232,08M,-84.394108,33.839419,4709230,1.06,1310,12108M,12108M,08M,60,FULTON,121,white,135365,08M
233,07J,-84.382552,33.81739,4709303,0.58,1295,12107J,12107J,07J,60,FULTON,121,white,125829,07J
234,07H,-84.378635,33.825608,4709350,0.45,1294,12107H,12107H,07H,60,FULTON,121,white,129059,07H
235,08G,-84.388631,33.835623,4709398,0.57,1305,12108G,12108G,08G,60,FULTON,121,white,118764,08G
236,08C,-84.401736,33.85729,4709445,2.09,1300,12108C,12108C,08C,60,FULTON,121,white,256389,08C
237,08B,-84.394352,33.871859,4709523,2.0,1299,12108B,12108B,08B,60,FULTON,121,white,245507,08B
238,06I,-84.364924,33.821998,4709617,0.53,1280,12106I,12106I,06I,60,FULTON,121,,69900,06I
239,MT BETHEL 01,-84.395725,33.97583,4756800,3.24,595,067MT01,067MT01,MT01,33,COBB,67,white,157721,MOUNT BETHEL 01
240,SS18B,-84.393249,33.951927,4756865,0.25,1565,121SS18B,121SS18B,SS18B,60,FULTON,121,white,90477,SS18B
241,TIMBER RIDGE 01,-84.395725,33.992232,4756891,1.22,642,067TR01,067TR01,TR01,33,COBB,67,white,157506,TIMBER RIDGE 01
242,SS02A,-84.376187,33.952069,4756935,0.51,1537,121SS02A,121SS02A,SS02A,60,FULTON,121,white,90477,SS02A
243,SS19B,-84.374428,33.962241,4756981,1.08,1567,121SS19B,121SS19B,SS19B,60,FULTON,121,white,77423,SS19B
244,SS19A,-84.365838,33.974792,4757024,1.02,1566,121SS19A,121SS19A,SS19A,60,FULTON,121,,66247,SS19A
245,SS29B,-84.348017,33.96059,4757069,0.0,1573,121SS29B,121SS29B,SS29B,60,FULTON,121,,103129,SS29B
246,SS26,-84.357644,33.964765,4757085,0.76,1571,121SS26,121SS26,SS26,60,FULTON,121,,57995,SS26
247,SS20,-84.347043,33.974123,4757134,0.94,1568,121SS20,121SS20,SS20,60,FULTON,121,,68393,SS20
248,SS22,-84.365395,33.990901,4757210,2.37,1569,121SS22,121SS22,SS22,60,FULTON,121,,52899,SS22
249,RW11A,-84.373684,34.00573,4757297,1.34,1481,121RW11A,121RW11A,RW11A,60,FULTON,121,white,92566,RW11A
250,RW19,-84.367485,34.08442,5102293,1.11,1489,121RW19,121RW19,RW19,60,FULTON,121,white,187821,RW19
251,ML012,-84.372264,34.106976,5102342,1.35,1450,121ML012,121ML012,ML012,60,FULTON,121,white,177525,ML012
252,ML01B,-84.382109,34.094615,5102394,1.22,1451,121ML01B,121ML01B,ML01B,60,FULTON,121,white,178143,ML01B
253,AP04A,-84.345066,34.08037,5102464,0.89,1381,121AP04A,121AP04A,AP04A,60,FULTON,121,white,138431,AP04A
254,ML011,-84.347562,34.100939,5102527,3.24,1449,121ML011,121ML011,ML011,60,FULTON,121,white,177524,ML011
255,AP04B,-84.333793,34.08048,5102671,0.34,1382,121AP04B,121AP04B,AP04B,60,FULTON,121,white,177524,AP04B
256,05A2,-84.353678,33.748659,4587698,0.61,1267,12105A2,12105A2,05A2,60,FULTON,121,white,74509,05A2
257,03G,-84.410247,33.759052,4587787,0.17,1239,12103G,12103G,03G,60,FULTON,121,black,15389,03G
258,03T,-84.402884,33.756784,4587836,0.5,1248,12103T,12103T,03T,60,FULTON,121,black,44311,03T
259,03P2,-84.401394,33.766841,4587898,0.16,1246,12103P2,12103P2,03P2,60,FULTON,121,black,21209,03P2
260,04F,-84.394276,33.76589,4587937,0.36,1253,12104F,12104F,04F,60,FULTON,121,white,49896,04F
261,03P1A,-84.406157,33.783645,4587984,0.62,1245,12103P1A,12103P1A,03P1A,60,FULTON,121,white,53680,03P1A
262,03I,-84.39805,33.777881,4588058,0.83,1241,12103I,12103I,03I,60,FULTON,121,,66113,03I
263,AP06,-84.321023,34.08888,5109990,0.92,1384,121AP06,121AP06,AP06,60,FULTON,121,white,111870,AP06
264,AP07B,-84.29905,34.09922,5110054,1.46,1386,121AP07B,121AP07B,AP07B,60,FULTON,121,white,138287,AP07B
265,ML023,-84.334549,34.117182,5110147,2.68,1454,121ML023,121ML023,ML023,60,FULTON,121,white,177681,ML023
266,ML022,-84.337451,34.135967,5110196,0.52,1453,121ML022,121ML022,ML022,60,FULTON,121,white,190427,ML022
267,AP10,-84.301656,34.090183,5110217,0.49,1389,121AP10,121AP10,AP10,60,FULTON,121,white,169333,AP10
268,ML04A,-84.300007,34.105971,5110267,2.57,1457,121ML04A,121ML04A,ML04A,60,FULTON,121,white,163189,ML04A
269,AP07A,-84.281571,34.084175,5110337,1.99,1385,121AP07A,121AP07A,AP07A,60,FULTON,121,white,90764,AP07A
270,ML024,-84.310935,34.120405,5110420,0.38,1455,121ML024,121ML024,ML024,60,FULTON,121,white,190426,ML024
271,ML04B,-84.293299,34.128102,5110447,2.47,1458,121ML04B,121ML04B,ML04B,60,FULTON,121,white,177112,ML04B
272,ML021,-84.341939,34.156331,5123124,6.61,1452,121ML021,121ML021,ML021,60,FULTON,121,white,187591,ML021
273,ML03,-84.310187,34.149948,5123250,7.55,1456,121ML03,121ML03,ML03,60,FULTON,121,white,190427,ML03
274,ML07A,-84.299411,34.174482,5123328,2.07,1467,121ML07A,121ML07A,ML07A,60,FULTON,121,white,190427,ML07A
275,ML05B,-84.279867,34.146,5123375,0.73,1461,121ML05B,121ML05B,ML05B,60,FULTON,121,white,190427,ML05B
276,12B,-84.410269,33.711331,4572674,0.89,1356,12112B,12112B,12B,60,FULTON,121,black,48162,12B
277,12S,-84.397299,33.711078,4572745,0.4,1370,12112S,12112S,12S,60,FULTON,121,black,37724,12S
278,01J,-84.386071,33.713954,4572780,0.91,1214,12101J,12101J,01J,60,FULTON,121,black,30444,01J
279,01C1,-84.378539,33.707748,4572853,0.89,1206,12101C1,12101C1,01C1,60,FULTON,121,black,38173,01C
280,12A,-84.409794,33.720577,4572959,0.38,1355,12112A,12112A,12A,60,FULTON,121,black,48162,12A
281,12K,-84.407193,33.729878,4573012,0.97,1366,12112K,12112K,12K,60,FULTON,121,black,29682,12K
282,12N,-84.396434,33.724458,4573078,0.3,1369,12112N,12112N,12N,60,FULTON,121,black,28004,12N
283,04B,-84.408462,33.746221,4573125,0.3,1250,12104B,12104B,04B,60,FULTON,121,black,43957,04B
284,SUGAR HILL D,-83.994067,34.127357,5212434,7.22,1712,13555,13555,55,67,GWINNETT,135,white,64396,SUGAR HILL D
285,PUCKETTS B,-83.975293,34.092423,5212593,2.46,1759,135102,135102,102,67,GWINNETT,135,white,79498,PUCKETTS B
286,SUGAR HILL A,-84.004072,34.085777,5207290,7.72,1681,13524,13524,24,67,GWINNETT,135,,73604,SUGAR HILL A
287,10K,-84.461741,33.731909,4070117,0.86,1337,12110K,12110K,10K,60,FULTON,121,black,40334,10K
288,10G,-84.472453,33.739592,4070173,0.96,1333,12110G,12110G,10G,60,FULTON,121,black,38163,10G
289,11H,-84.4544,33.727563,4070229,0.72,1348,12111H,12111H,11H,60,FULTON,121,black,44749,11H
290,10J,-84.455447,33.745965,4070283,1.18,1336,12110J,12110J,10J,60,FULTON,121,black,27505,10J
291,12L,-84.436306,33.708018,4070328,0.96,1367,12112L,12112L,12L,60,FULTON,121,black,24448,12L
292,12G,-84.412527,33.693179,4070388,0.2,1362,12112G,12112G,12G,60,FULTON,121,black,23800,12G
293,12D,-84.414225,33.700408,4070426,0.61,1358,12112D,12112D,12D,60,FULTON,121,black,23984,12D
294,SUGAR HILL G,-84.065435,34.107623,5189844,1.68,1798,135141,135141,141,67,GWINNETT,135,white,111178,SUGAR HILL G
295,SUGAR HILL B,-84.050458,34.124547,5189918,5.86,1682,13525,13525,25,67,GWINNETT,135,white,80193,SUGAR HILL B
296,SUGAR HILL E,-84.029024,34.088917,5190056,2.68,1746,13589,13589,89,67,GWINNETT,135,white,88062,SUGAR HILL E
297,SUGAR HILL C,-84.056681,34.147271,5190127,6.69,1711,13554,13554,54,67,GWINNETT,135,white,83876,SUGAR HILL C
298,MP01,-84.412741,34.082708,4466510,0.49,1468,121MP01,121MP01,MP01,60,FULTON,121,white,175478,MP01
299,SUWANEE D,-84.094819,34.100833,5176207,4.02,1787,135130,135130,130,67,GWINNETT,135,white,111176,SUWANEE D
300,DICKERSON 01,-84.419275,33.97891,4309882,1.64,528,067DC01,067DC01,DC01,33,COBB,67,white,132366,DICKERSON 01
301,SANDY PLAINS 01,-84.472938,34.018931,4309943,1.45,623,067SA01,067SA01,SA01,33,COBB,67,white,126620,SANDY PLAINS 01
302,POPE 01,-84.454683,34.0286,4310004,1.5,613,067PP01,067PP01,PP01,33,COBB,67,white,133844,POPE 01
303,MABRY 01,-84.464111,34.054137,4310058,0.81,575,067MB01,067MB01,MB01,33,COBB,67,white,151583,MABRY 01
304,DAVIS 01,-84.473852,34.068223,4310099,1.07,533,067DV01,067DV01,DV01,33,COBB,67,white,107699,DAVIS 01
305,GARRISON MILL 01,-84.445684,34.046329,4310135,1.44,549,067GM01,067GM01,GM01,33,COBB,67,white,106741,GARRISON MILL 01
306,POST OAK 01,-84.443693,34.06545,4310182,2.77,612,067PO01,067PO01,PO01,33,COBB,67,white,138681,POST OAK 01
307,HIGHTOWER 01,-84.434188,34.020762,4310243,2.12,553,067HT01,067HT01,HT01,33,COBB,67,white,145838,HIGHTOWER 01
308,SHALLOWFORD FALLS 01,-84.427314,34.037244,4310313,1.73,624,067SF01,067SF01,SF01,33,COBB,67,white,137689,SHALLOWFORD FALL 01
309,ML05A,-84.279138,34.100141,5133692,0.02,1460,121ML05A,121ML05A,ML05A,60,FULTON,121,white,169334,ML05A
310,ML06A,-84.263121,34.096625,5133717,0.97,1463,121ML06A,121ML06A,ML06A,60,FULTON,121,white,89105,ML06A
311,AP12B,-84.249914,34.086896,5133795,2.54,1391,121AP12B,121AP12B,AP12B,60,FULTON,121,white,163711,AP12B
312,ML05C,-84.270109,34.121746,5133844,2.47,1462,121ML05C,121ML05C,ML05C,60,FULTON,121,white,131507,ML05C
313,ML04C,-84.279346,34.132764,5133912,0.22,1459,121ML04C,121ML04C,ML04C,60,FULTON,121,white,184433,ML04C
314,ML071,-84.268444,34.144168,5133935,0.12,1465,121ML071,121ML071,ML071,60,FULTON,121,white,190427,ML071
315,ML06B,-84.262491,34.114306,5133960,0.88,1464,121ML06B,121ML06B,ML06B,60,FULTON,121,white,87754,ML06B
316,SS09B,-84.399409,33.8999,4721384,2.94,1551,121SS09B,121SS09B,SS09B,60,FULTON,121,white,107793,SS09B
317,SS13B,-84.383597,33.885008,4721461,0.39,1558,121SS13B,121SS13B,SS13B,60,FULTON,121,white,170781,SS13B
318,SS11D,-84.383955,33.894409,4721504,0.12,1555,121SS11D,121SS11D,SS11D,60,FULTON,121,,92761,SS11D
319,SS11B,-84.383281,33.904991,4721528,0.47,1553,121SS11B,121SS11B,SS11B,60,FULTON,121,,92760,SS11B
320,SS06,-84.395445,33.924376,4721564,1.13,1542,121SS06,121SS06,SS06,60,FULTON,121,white,69192,SS06
321,SS05,-84.3996,33.935374,4721614,1.06,1541,121SS05,121SS05,SS05,60,FULTON,121,,58602,SS05
322,SS18A,-84.394036,33.946726,4721657,0.5,1564,121SS18A,121SS18A,SS18A,60,FULTON,121,,71783,SS18A
323,SS31,-84.386823,33.917186,4721692,0.62,1574,121SS31,121SS31,SS31,60,FULTON,121,white,69229,SS31
324,SS03,-84.382813,33.936423,4721728,0.68,1539,121SS03,121SS03,SS03,60,FULTON,121,white,69193,SS03
325,SS13A,-84.374886,33.887882,4721768,0.53,1557,121SS13A,121SS13A,SS13A,60,FULTON,121,white,94140,SS13A
326,SS11A,-84.372715,33.902129,4721812,0.91,1552,121SS11A,121SS11A,SS11A,60,FULTON,121,white,98018,SS11A
327,SS11C,-84.375632,33.911516,4721860,0.09,1554,121SS11C,121SS11C,SS11C,60,FULTON,121,,101716,SS11C
328,SS14,-84.36115,33.882644,4721892,0.75,1559,121SS14,121SS14,SS14,60,FULTON,121,white,162671,SS14
329,08J,-84.414291,33.814655,4090002,0.85,1307,12108J,12108J,08J,60,FULTON,121,white,138801,08J
330,FOREST PARK 4,-84.352714,33.603331,4549249,1.41,446,063FP4,063FP4,FP4,31,CLAYTON,63,,48873,FOREST PARK 4
331,FOREST PARK 1,-84.378898,33.633242,4549326,4.55,443,063FP1,063FP1,FP1,31,CLAYTON,63,black,37380,FOREST PARK 1
332,HP01,-84.409322,33.660872,4549411,2.41,1425,121HP01,121HP01,HP01,60,FULTON,121,,52696,HP01
333,12E1,-84.408787,33.684043,4549506,1.04,1359,12112E1,12112E1,12E1,60,FULTON,121,black,22402,12E1
334,AP05,-84.225598,34.085251,5144364,2.81,1383,121AP05,121AP05,AP05,60,FULTON,121,white,158709,AP05
335,ML072,-84.268418,34.167069,5144483,3.1,1466,121ML072,121ML072,ML072,60,FULTON,121,white,190427,ML072
336,AP09B,-84.203962,34.080154,5144618,0.27,1388,121AP09B,121AP09B,AP09B,60,FULTON,121,white,115719,AP09B
337,CHAMBLEE (CHA),-84.302634,33.891483,4749370,3.86,811,089CE,089CE,CE,44,DEKALB,89,,73394,CHAMBLEE
338,HUNTLEY HILLS ELEM (,-84.302372,33.914675,4749471,0.99,860,089HF,089HF,HF,44,DEKALB,89,,65928,HUNTLEY HILLS ELEM
339,PEACHTREE MIDDLE (DU,-84.305223,33.928326,4749522,0.85,914,089PB,089PB,PB,44,DEKALB,89,,59632,PEACHTREE MIDDLE
340,DUNWOODY ELEM (DUN),-84.309234,33.942006,4749572,1.18,834,089DG,089DG,DG,44,DEKALB,89,white,145869,DUNWOODY HIGH
341,CHESNUT ELEM (DUN),-84.292381,33.924025,4749626,0.67,814,089CH,089CH,CH,44,DEKALB,89,white,72004,CHESNUT ELEM
342,TILLY MILL ROAD (DUN,-84.2918,33.937376,4749683,0.74,961,089TG,089TG,TG,44,DEKALB,89,white,102101,TILLY MILL ROAD
343,MT BETHEL 03,-84.404395,33.958754,4749740,1.54,596,067MT03,067MT03,MT03,33,COBB,67,white,168311,MOUNT BETHEL 03
344,PEBBLEBROOK 01,-84.593152,33.797597,4003178,3.6,608,067PE01,067PE01,PE01,33,COBB,67,black,54717,PEBBLEBROOK 01
345,MABLETON 02,-84.594935,33.813625,4003261,2.97,572,067MA02,067MA02,MA02,33,COBB,67,,59046,MABLETON 02
346,BRYANT 02,-84.571926,33.769279,4003418,5.63,518,067BT02,067BT02,BT02,33,COBB,67,black,40853,BRYANT 02
347,RIVERSIDE 01,-84.552888,33.784762,4003495,1.5,620,067RS01,067RS01,RS01,33,COBB,67,black,46848,RIVERSIDE 01
348,AUSTELL 1A,-84.645381,33.820792,4095535,5.82,509,067AU1A,067AU1A,AU1A,33,COBB,67,black,59962,AUSTELL 1A
349,SC05D,-84.603187,33.640199,3991842,4.35,1500,121SC05D,121SC05D,SC05D,60,FULTON,121,black,87960,SC05D
350,UC02B,-84.569934,33.625834,3991934,0.95,1581,121UC02B,121UC02B,UC02B,60,FULTON,121,black,99633,UC02B
351,SC05B,-84.564705,33.637733,3991990,2.61,1499,121SC05B,121SC05B,SC05B,60,FULTON,121,black,101950,SC05B
352,SC08C,-84.546736,33.625496,3992064,0.02,1505,121SC08C,121SC08C,SC08C,60,FULTON,121,black,48657,SC08C
353,SC18B,-84.560095,33.656621,3992084,7.09,1523,121SC18B,121SC18B,SC18B,60,FULTON,121,black,101953,SC18B
354,CLARKDALE 01,-84.655703,33.842009,4101823,2.27,524,067CL01,067CL01,CL01,33,COBB,67,black,60280,CLARKDALE 01
355,POWDER SPRINGS 2A,-84.659795,33.865272,4101935,1.91,616,067PS2A,067PS2A,PS2A,33,COBB,67,black,66352,POWDER SPRINGS 2A
356,COOPER 01,-84.630909,33.852109,4102050,4.78,526,067CO01,067CO01,CO01,33,COBB,67,black,64283,COOPER 01
357,OREGON 02,-84.607514,33.876032,4102159,2.9,604,067OR02,067OR02,OR02,33,COBB,67,,89559,OREGON 02
358,SC13B,-84.641508,33.633276,3978694,7.41,1516,121SC13B,121SC13B,SC13B,60,FULTON,121,white,56422,SC13B
359,SC05A,-84.610267,33.622521,3978805,0.44,1498,121SC05A,121SC05A,SC05A,60,FULTON,121,white,58258,SC05A
360,SC13A,-84.62111,33.671418,3978839,7.58,1515,121SC13A,121SC13A,SC13A,60,FULTON,121,white,56422,SC13A
361,09K,-84.466068,33.791642,4084183,1.68,1324,12109K,12109K,09K,60,FULTON,121,black,31091,09K
362,09M,-84.471278,33.814167,4084259,1.67,1326,12109M,12109M,09M,60,FULTON,121,white,118699,09M
363,09E,-84.446352,33.786151,4084293,2.16,1318,12109E,12109E,09E,60,FULTON,121,black,42531,09E
364,09A,-84.446105,33.809213,4084366,2.57,1314,12109A,12109A,09A,60,FULTON,121,,100512,09A
