Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county
ELLENWOOD,4329,171,2284,2485,0,0,CLAYTON
FOREST PARK 1,2148,170,595,794,0,0,CLAYTON
FOREST PARK 2,1815,155,629,798,0,0,CLAYTON
FOREST PARK 3,1628,149,540,699,0,0,CLAYTON
FOREST PARK 4,1276,213,375,613,0,0,CLAYTON
FOREST PARK 5,2507,217,705,940,0,0,CLAYTON
FOREST PARK 6,1011,163,317,485,0,0,CLAYTON
JONESBORO 1,3515,165,1423,1614,0,0,CLAYTON
JONESBORO 2,3076,85,1392,1487,0,0,CLAYTON
JONESBORO 3,2850,289,1216,1526,0,0,CLAYTON
JONESBORO 4,1566,113,520,644,0,0,CLAYTON
JONESBORO 5,1532,223,537,768,0,0,CLAYTON
JONESBORO 6,2009,693,551,1264,0,0,CLAYTON
JONESBORO 7,2340,296,930,1242,0,0,CLAYTON
JONESBORO 8,2620,60,907,975,0,0,CLAYTON
JONESBORO 9,1049,95,321,428,0,0,CLAYTON
JONESBORO 10,2241,115,786,920,0,0,CLAYTON
JONESBORO 11,2840,439,1145,1611,0,0,CLAYTON
JONESBORO 12,2062,83,864,957,0,0,CLAYTON
JONESBORO 13,1336,154,645,813,0,0,CLAYTON
JONESBORO 14,3390,684,1290,2007,0,0,CLAYTON
JONESBORO 15,1955,114,621,749,0,0,CLAYTON
JONESBORO 16,1572,78,570,667,0,0,CLAYTON
JONESBORO 17,3337,120,1453,1591,0,0,CLAYTON
JONESBORO 18,2263,174,882,1076,0,0,CLAYTON
LAKE CITY,2027,126,654,799,0,0,CLAYTON
LOVEJOY 1,2716,269,1239,1531,0,0,CLAYTON
LOVEJOY 2,2257,141,936,1088,0,0,CLAYTON
LOVEJOY 3,4240,405,1553,1982,0,0,CLAYTON
LOVEJOY 4,2983,159,1368,1544,0,0,CLAYTON
LOVEJOY 5,2207,108,951,1074,0,0,CLAYTON
MORROW 1,2104,112,877,1003,0,0,CLAYTON
MORROW 2,1475,274,418,706,0,0,CLAYTON
MORROW 3,3265,238,1208,1470,0,0,CLAYTON
MORROW 4,1464,161,480,656,0,0,CLAYTON
MORROW 5,3588,325,1684,2037,0,0,CLAYTON
MORROW 6,1994,193,797,1004,0,0,CLAYTON
MORROW 7,1452,137,487,635,0,0,CLAYTON
MORROW 8,2143,87,1098,1193,0,0,CLAYTON
MORROW 9,1030,89,431,532,0,0,CLAYTON
OAK 1,1608,27,607,640,0,0,CLAYTON
OAK 2,1039,33,377,416,0,0,CLAYTON
OAK 3,2856,62,962,1032,0,0,CLAYTON
OAK 4,2394,54,1036,1099,0,0,CLAYTON
PANHANDLE 1,2293,171,1144,1325,0,0,CLAYTON
PANHANDLE 2,2043,367,785,1164,0,0,CLAYTON
RIVERDALE 1,1764,88,946,1041,0,0,CLAYTON
RIVERDALE 2,2329,62,1021,1093,0,0,CLAYTON
RIVERDALE 3,2580,75,1159,1248,0,0,CLAYTON
RIVERDALE 4,3183,138,1184,1334,0,0,CLAYTON
RIVERDALE 5,2175,106,932,1051,0,0,CLAYTON
RIVERDALE 6,2371,148,705,867,0,0,CLAYTON
RIVERDALE 7,1766,96,524,636,0,0,CLAYTON
RIVERDALE 8,2115,137,1135,1289,0,0,CLAYTON
RIVERDALE 9,2022,105,839,956,0,0,CLAYTON
RIVERDALE 10,1942,25,655,686,0,0,CLAYTON
RIVERDALE 11,1394,69,745,825,0,0,CLAYTON
RIVERDALE 12,2214,92,1075,1178,0,0,CLAYTON
TOTALS:,129300,9897,51510,62287,0,0,CLAYTON
ACWORTH 1A,3876,1105,797,1955,0,0,COBB
ACWORTH 1B,3644,1048,606,1712,0,0,COBB
ACWORTH 1C,3568,670,798,1522,0,0,COBB
ADDISON 01,1919,731,379,1145,0,0,COBB
AUSTELL 1A,3232,360,1223,1626,0,0,COBB
BELLS FERRY 02,2438,795,468,1314,0,0,COBB
BELLS FERRY 03,4664,1517,735,2343,0,0,COBB
BIG SHANTY 01,2134,628,300,966,0,0,COBB
BIG SHANTY 02,2557,868,433,1339,0,0,COBB
BAKER 01,3456,818,691,1554,0,0,COBB
BIRNEY 01,1928,452,492,961,0,0,COBB
BIRNEY 02,2942,725,834,1605,0,0,COBB
BRYANT 01,1605,61,853,925,0,0,COBB
BRYANT 02,4031,77,1416,1515,0,0,COBB
BLACKWELL 01,2061,661,405,1110,0,0,COBB
CHATTAHOOCHEE 01,4192,434,972,1461,0,0,COBB
CHEATHAM HILL 02,2487,1013,394,1455,0,0,COBB
CHEATHAM HILL 03,3233,1221,698,1972,0,0,COBB
CHALKER 01,3332,743,586,1384,0,0,COBB
CLARKDALE 01,1365,293,347,657,0,0,COBB
CLARKDALE 02,3894,667,1283,1993,0,0,COBB
COOPER 01,3622,472,1216,1719,0,0,COBB
CHESTNUT RIDGE 01,2781,1291,447,1788,0,0,COBB
DICKERSON 01,2446,1093,461,1584,0,0,COBB
DOBBINS 01,3008,206,652,885,0,0,COBB
DOWELL 01,2615,902,613,1569,0,0,COBB
DODGEN 01,1799,831,293,1155,0,0,COBB
DURHAM 01,3444,1556,384,1988,0,0,COBB
DAVIS 01,1697,609,309,938,0,0,COBB
EASTSIDE 01,2528,1134,477,1671,0,0,COBB
EASTSIDE 02,3489,1560,688,2328,0,0,COBB
ELIZABETH 01,2772,455,527,1010,0,0,COBB
ELIZABETH 02,1852,688,341,1065,0,0,COBB
ELIZABETH 03,2389,989,431,1480,0,0,COBB
ELIZABETH 04,2135,513,483,1034,0,0,COBB
ELIZABETH 05,2487,852,521,1431,0,0,COBB
EAST PIEDMONT 01,1904,493,404,925,0,0,COBB
FAIR OAKS 01,2864,438,934,1406,0,0,COBB
FAIR OAKS 02,3196,449,804,1292,0,0,COBB
FAIR OAKS 04,1714,321,345,687,0,0,COBB
FAIR OAKS 05,1373,190,235,440,0,0,COBB
FULLERS PARK 01,2922,1185,577,1797,0,0,COBB
FORD 01,2620,1114,291,1438,0,0,COBB
FREY 01,1985,786,293,1118,0,0,COBB
GARRISON MILL 01,2387,944,416,1418,0,0,COBB
GRITTERS 01,3289,1123,588,1779,0,0,COBB
HARMONY LELAND 01,4198,460,1631,2134,0,0,COBB
HARRISON 01,2321,1049,286,1376,0,0,COBB
HIGHTOWER 01,3632,1496,666,2230,0,0,COBB
HAYES 01,3296,1387,461,1892,0,0,COBB
KENNESAW 1A,1800,466,303,795,0,0,COBB
KENNESAW 2A,2922,848,519,1432,0,0,COBB
KENNESAW 3A,4130,692,906,1660,0,0,COBB
KENNESAW 4A,2832,746,551,1361,0,0,COBB
KENNESAW 5A,4459,1306,942,2313,0,0,COBB
KELL 01,1666,626,275,947,0,0,COBB
KEMP 01,1682,795,243,1069,0,0,COBB
KEMP 02,3186,1193,623,1871,0,0,COBB
KEMP 03,3221,1515,404,1963,0,0,COBB
LASSSITER 01,3046,1249,439,1740,0,0,COBB
LINDLEY 01,3633,651,1261,1958,0,0,COBB
LOST MOUNTAIN 01,2697,1164,462,1654,0,0,COBB
LOST MOUNTAIN 02,3525,1621,359,2034,0,0,COBB
LOST MOUNTAIN 03,4109,1672,630,2362,0,0,COBB
LOST MOUNTAIN 04,2201,942,295,1272,0,0,COBB
LEWIS 01,1224,483,224,728,0,0,COBB
MABLETON 01,3642,757,1184,1988,0,0,COBB
MABLETON 02,2017,354,558,929,0,0,COBB
MABLETON 03,2278,653,563,1252,0,0,COBB
MABLETON 04,1286,480,294,802,0,0,COBB
MABRY 01,1511,727,224,977,0,0,COBB
MACLAND 01,2854,509,970,1507,0,0,COBB
MURDOCK 01,3387,1428,609,2109,0,0,COBB
MCEACHERN 01,2333,686,678,1397,0,0,COBB
MCCLESKEY 01,1520,626,283,940,0,0,COBB
MCCLURE 01,1320,597,196,820,0,0,COBB
MARIETTA 1A,2609,299,522,853,0,0,COBB
MARIETTA 2A,1840,822,350,1198,0,0,COBB
MARIETTA 2B,3404,939,790,1775,0,0,COBB
MARIETTA 3A,4732,1116,1189,2383,0,0,COBB
MARIETTA 4A,1620,892,251,1163,0,0,COBB
MARIETTA 4B,1516,445,304,772,0,0,COBB
MARIETTA 4C,2283,984,444,1454,0,0,COBB
MARIETTA 5A,1814,194,560,770,0,0,COBB
MARIETTA 5B,1919,172,447,636,0,0,COBB
MARIETTA 6A,1852,200,422,644,0,0,COBB
MARIETTA 6B,2236,748,492,1268,0,0,COBB
MARIETTA 7A,2775,180,553,760,0,0,COBB
MARS HILL 01,2594,1062,265,1373,0,0,COBB
MARS HILL 02,2192,684,367,1090,0,0,COBB
MOUNT BETHEL 01,3626,1638,593,2297,0,0,COBB
MOUNT BETHEL 03,2507,1004,440,1489,0,0,COBB
MOUNT BETHEL 04,2647,1164,497,1703,0,0,COBB
NORTH COBB 01,1783,586,340,955,0,0,COBB
NICKAJACK 01,3515,497,946,1480,0,0,COBB
NORTON PARK 01,3287,806,710,1577,0,0,COBB
NICHOLSON 01,2075,709,356,1106,0,0,COBB
OAKDALE 01,3000,869,723,1629,0,0,COBB
OREGON 01,1396,595,244,857,0,0,COBB
OREGON 02,2801,504,1024,1560,0,0,COBB
OREGON 03,2528,408,633,1074,0,0,COBB
OREGON 04,4368,704,1469,2221,0,0,COBB
OREGON 05,3026,941,836,1812,0,0,COBB
PEBBLEBROOK 01,3643,358,1493,1882,0,0,COBB
POWERS FERRY 01,2812,892,543,1502,0,0,COBB
PINE MOUNTAIN 01,2632,1172,321,1519,0,0,COBB
PINE MOUNTAIN 02,2392,1272,232,1523,0,0,COBB
POST OAK 01,3162,1357,448,1871,0,0,COBB
POPE 01,2668,1094,461,1614,0,0,COBB
PALMER 01,2128,761,333,1148,0,0,COBB
POWDER SPRINGS 1A,3042,700,974,1722,0,0,COBB
POWDER SPRINGS 2A,2507,315,908,1243,0,0,COBB
POWDER SPRINGS 3A,2629,448,901,1388,0,0,COBB
PITNER 01,2295,811,383,1247,0,0,COBB
ROCKY MOUNTAIN 01,2805,1096,483,1627,0,0,COBB
RIVERSIDE 01,1418,69,542,619,0,0,COBB
ROSWELL 01,4758,2007,851,2950,0,0,COBB
ROSWELL 02,3236,1416,513,1972,0,0,COBB
SANDY PLAINS 01,2271,772,444,1269,0,0,COBB
SHALLOWFORD FALL 01,2817,1229,546,1828,0,0,COBB
SIMPSON 01,1629,652,272,938,0,0,COBB
SEWELL MILL 01,2806,1133,487,1675,0,0,COBB
SEWELL MILL 03,3646,889,772,1716,0,0,COBB
SMYRNA 1A,2931,363,814,1214,0,0,COBB
SMYRNA 2A,3663,507,1041,1587,0,0,COBB
SMYRNA 3A,2948,577,772,1395,0,0,COBB
SMYRNA 4A,3587,950,917,1911,0,0,COBB
SMYRNA 5A,2782,467,729,1245,0,0,COBB
SMYRNA 6A,4267,1182,1105,2351,0,0,COBB
SMYRNA 7A,3533,1217,884,2167,0,0,COBB
SMYRNA 7B,4621,1066,1413,2545,0,0,COBB
SOPE CREEK 01,1952,910,386,1337,0,0,COBB
SOPE CREEK 02,3732,1348,685,2088,0,0,COBB
SOPE CREEK 03,2451,1054,359,1457,0,0,COBB
SWEETWATER 01,2385,641,687,1354,0,0,COBB
SWEETWATER 02,2224,253,636,917,0,0,COBB
TERRELL MILL 01,4160,721,964,1740,0,0,COBB
TIMBER RIDGE 01,2223,967,403,1428,0,0,COBB
VAUGHN 01,2690,1137,357,1534,0,0,COBB
VININGS 01,1760,457,394,881,0,0,COBB
VININGS 02,4691,864,1064,1973,0,0,COBB
VININGS 03,3423,815,846,1703,0,0,COBB
VININGS 04,2850,1172,525,1727,0,0,COBB
WADE GREEN 02,3563,1016,781,1863,0,0,COBB
WILEO 01,2539,1065,434,1535,0,0,COBB
TOTALS:,402020,118613,88349,213075,0,0,COBB
ALLGOOD ELEM,2163,136,1064,1216,0,0,DEKALB
ASHFORD DUNWOODY RD,2437,832,630,1496,0,0,DEKALB
ASHFORD PARK ELEM,2042,734,445,1224,0,0,DEKALB
ASHFORD PARKSIDE,2526,743,544,1318,0,0,DEKALB
AUSTIN,2235,1052,391,1474,0,0,DEKALB
AUSTIN DRIVE,1860,41,748,801,0,0,DEKALB
AVONDALE,2218,525,1018,1580,0,0,DEKALB
AVONDALE HIGH,2640,220,1243,1494,0,0,DEKALB
BETHUNE MIDDLE,3394,54,1642,1703,0,0,DEKALB
BOULDERCREST RD,1539,38,823,869,0,0,DEKALB
BOULEVARD,3572,189,1712,1948,0,0,DEKALB
BRIAR VISTA ELEM,2355,326,765,1124,0,0,DEKALB
BRIARCLIFF,2402,558,704,1286,0,0,DEKALB
BRIARLAKE ELEM,1484,475,461,962,0,0,DEKALB
BRIARWOOD,1845,367,419,811,0,0,DEKALB
BROCKETT,2027,479,605,1112,0,0,DEKALB
BROCKETT ELEM,2133,449,667,1155,0,0,DEKALB
BROOKHAVEN,2552,671,544,1261,0,0,DEKALB
BROWNS MILL ELEM,3026,80,1748,1843,0,0,DEKALB
BURGESS ELEM,2333,98,1092,1212,0,0,DEKALB
CANBY LANE ELEM,1531,30,805,843,0,0,DEKALB
CANDLER,2530,43,885,946,0,0,DEKALB
CANDLER-MURPHEY CAND,2267,114,1108,1229,0,0,DEKALB
CEDAR GROVE ELEM,3189,58,1718,1786,0,0,DEKALB
CEDAR GROVE MIDDLE,1377,19,577,600,0,0,DEKALB
CEDAR GROVE SOUTH,2920,78,1631,1720,0,0,DEKALB
CHAMBLEE,3408,725,829,1636,0,0,DEKALB
CHAPEL HILL ELEM,2585,53,1454,1517,0,0,DEKALB
CHESNUT ELEM,1914,333,466,833,0,0,DEKALB
CLAIREMONT EAST,2536,363,1296,1703,0,0,DEKALB
CLAIREMONT WEST,2786,375,1415,1837,0,0,DEKALB
CLAIRMONT ROAD,2676,378,965,1374,0,0,DEKALB
CLARKSTON,2332,158,807,986,0,0,DEKALB
CLIFTON ELEM,1267,38,682,723,0,0,DEKALB
COAN MIDDLE,2853,112,1153,1293,0,0,DEKALB
COLUMBIA DRIVE,1862,40,831,873,0,0,DEKALB
COLUMBIA ELEM,1213,9,489,506,0,0,DEKALB
COLUMBIA MIDDLE,1621,19,611,638,0,0,DEKALB
CORALWOOD,2693,646,1034,1719,0,0,DEKALB
COVINGTON,1907,86,579,684,0,0,DEKALB
COVINGTON HWY LIBRAR,870,8,158,167,0,0,DEKALB
CROSS KEYS HIGH,1726,335,375,728,0,0,DEKALB
CROSSROADS,2285,62,1189,1258,0,0,DEKALB
DORAVILLE NORTH,2067,282,512,817,0,0,DEKALB
DORAVILLE SOUTH,950,165,284,473,0,0,DEKALB
DRESDEN ELEM,2586,331,716,1085,0,0,DEKALB
DRUID HILLS HIGH,2042,291,809,1120,0,0,DEKALB
DUNAIRE ELEM,1572,114,674,800,0,0,DEKALB
DUNWOODY,2627,555,487,1072,0,0,DEKALB
DUNWOODY ELEM,1654,732,344,1105,0,0,DEKALB
DUNWOODY LIBRARY,2205,1070,361,1457,0,0,DEKALB
EAST LAKE ELEM,3096,134,1316,1474,0,0,DEKALB
EMBRY HILLS,1633,437,508,982,0,0,DEKALB
EMORY ROAD,875,94,282,381,0,0,DEKALB
EMORY SOUTH,2939,420,1006,1451,0,0,DEKALB
EPWORTH,3353,443,2569,3066,0,0,DEKALB
EVANSDALE ELEM,2329,525,699,1260,0,0,DEKALB
FAIRINGTON ELEM,3536,48,1440,1498,0,0,DEKALB
FERNBANK ELEM,2029,354,1067,1443,0,0,DEKALB
FLAKES MILL FIRE STA,1534,33,800,839,0,0,DEKALB
FLAT ROCK ELEM,2357,51,1257,1317,0,0,DEKALB
FLAT SHOALS,1666,26,764,799,0,0,DEKALB
FLAT SHOALS ELEM,1743,28,804,843,0,0,DEKALB
FLAT SHOALS LIBRARY,1956,19,838,866,0,0,DEKALB
FLAT SHOALS PARKWAY,2766,58,1547,1619,0,0,DEKALB
FREEDOM MIDDLE,2282,135,993,1138,0,0,DEKALB
GEORGETOWN SQUARE,3434,653,616,1310,0,0,DEKALB
GLENHAVEN,1275,80,559,646,0,0,DEKALB
GLENNWOOD,1706,151,816,986,0,0,DEKALB
GLENWOOD ROAD,1528,46,603,660,0,0,DEKALB
GRESHAM ROAD,2426,63,1124,1206,0,0,DEKALB
HAMBRICK ELEM,2536,167,1003,1193,0,0,DEKALB
HARRIS-MARGARET HARR,1924,215,579,815,0,0,DEKALB
HARRIS-NARVIE J. HAR,2978,41,1590,1645,0,0,DEKALB
HAWTHORNE ELEM,3335,591,1019,1646,0,0,DEKALB
HENDERSON MILL ELEM,2456,656,754,1440,0,0,DEKALB
HUGH HOWELL,1482,513,492,1024,0,0,DEKALB
HUNTLEY HILLS ELEM,2550,420,670,1138,0,0,DEKALB
IDLEWOOD ELEM,1836,211,642,865,0,0,DEKALB
INDIAN CREEK ELEM,1583,78,515,606,0,0,DEKALB
JOHNSON ESTATES,1018,203,450,664,0,0,DEKALB
JOLLY ELEM,2175,82,682,774,0,0,DEKALB
KELLEY CHAPEL ROAD,1087,28,670,700,0,0,DEKALB
KELLEY LAKE ELEM,2307,45,1046,1099,0,0,DEKALB
KING-ML KING JR HIGH,3355,54,2002,2065,0,0,DEKALB
KINGSLEY ELEM,2139,972,434,1446,0,0,DEKALB
KNOLLWOOD ELEM,1875,55,844,916,0,0,DEKALB
KITTREDGE ELEM,1874,642,484,1171,0,0,DEKALB
LAKESIDE HIGH,2669,824,887,1750,0,0,DEKALB
LAVISTA,2108,351,574,954,0,0,DEKALB
LAVISTA ROAD,1752,353,612,995,0,0,DEKALB
LIN-MARY LIN ELEM,2567,68,271,349,0,0,DEKALB
LITHONIA,1018,37,380,424,0,0,DEKALB
LITHONIA HIGH,2379,27,1088,1127,0,0,DEKALB
LIVSEY ELEM,1235,424,373,822,0,0,DEKALB
MARBUT ELEM,3243,27,1461,1502,0,0,DEKALB
MATHIS-BOB MATHIS EL,2343,81,1381,1476,0,0,DEKALB
MCLENDON,1857,167,674,867,0,0,DEKALB
MCNAIR ACADEMY,1545,35,755,800,0,0,DEKALB
MCNAIR HIGH,2893,84,1300,1400,0,0,DEKALB
MCNAIR MIDDLE,1886,29,824,867,0,0,DEKALB
MCWILLIAMS,1702,35,943,986,0,0,DEKALB
MEADOWVIEW ELEM,2695,56,1287,1356,0,0,DEKALB
MEDLOCK ELEM,1848,294,780,1106,0,0,DEKALB
MEMORIAL NORTH,2360,144,780,944,0,0,DEKALB
MEMORIAL SOUTH,1454,54,463,528,0,0,DEKALB
METROPOLITAN,2289,79,1038,1150,0,0,DEKALB
MIDVALE ELEM,1725,675,474,1179,0,0,DEKALB
MIDVALE ROAD,2372,533,754,1320,0,0,DEKALB
MIDWAY ELEM,2247,70,838,929,0,0,DEKALB
MILLER-ELDRIDGE L. M,2526,88,1196,1295,0,0,DEKALB
MILLER GROVE HIGH,2300,35,1272,1322,0,0,DEKALB
MILLER GROVE MIDDLE,3006,31,1199,1239,0,0,DEKALB
MILLER GROVE ROAD,1797,46,1054,1103,0,0,DEKALB
MONTCLAIR ELEM,1399,76,410,497,0,0,DEKALB
MONTGOMERY ELEM,2041,703,468,1211,0,0,DEKALB
MONTREAL,1344,252,445,715,0,0,DEKALB
MT. VERNON EAST,2216,1025,385,1438,0,0,DEKALB
MT. VERNON WEST,1930,727,423,1175,0,0,DEKALB
NORTH DECATUR,1342,119,471,607,0,0,DEKALB
NORTH HAIRSTON,1663,106,668,787,0,0,DEKALB
NORTH PEACHTREE,1469,295,369,681,0,0,DEKALB
NORTHLAKE,1244,335,435,793,0,0,DEKALB
OAK GROVE ELEM,1874,531,599,1159,0,0,DEKALB
OAK VIEW ELEM,3621,51,1825,1887,0,0,DEKALB
OAKCLIFF ELEM,1301,197,319,538,0,0,DEKALB
OAKHURST,2499,178,1370,1572,0,0,DEKALB
PANOLA,1165,45,649,698,0,0,DEKALB
PANOLA ROAD,1561,9,370,380,0,0,DEKALB
PANOLA WAY ELEM,1542,25,592,624,0,0,DEKALB
PEACHCREST ELEM,1647,76,624,717,0,0,DEKALB
PEACHTREE MIDDLE,2629,381,686,1092,0,0,DEKALB
PINE LAKE,478,42,261,305,0,0,DEKALB
PINEY GROVE,1378,22,507,541,0,0,DEKALB
PLEASANTDALE ELEM,3011,222,769,1018,0,0,DEKALB
PONCE DE LEON,1988,189,936,1149,0,0,DEKALB
PRINCETON ELEM,1709,43,856,909,0,0,DEKALB
RAINBOW ELEM,2974,75,1624,1709,0,0,DEKALB
REDAN ELEM,2306,44,1199,1251,0,0,DEKALB
REDAN MIDDLE,1932,65,964,1037,0,0,DEKALB
REDAN ROAD,2131,44,1020,1076,0,0,DEKALB
REDAN-TROTTI LIBRARY,2928,52,1418,1478,0,0,DEKALB
REHOBOTH,1754,367,626,1027,0,0,DEKALB
RENFROE MIDDLE,1354,104,784,908,0,0,DEKALB
ROCK CHAPEL ELEM,2090,40,1025,1072,0,0,DEKALB
ROCK CHAPEL ROAD,2606,125,1317,1446,0,0,DEKALB
ROCKBRIDGE ELEM,2604,102,914,1029,0,0,DEKALB
ROCKBRIDGE ROAD,2783,87,1605,1700,0,0,DEKALB
ROWLAND ELEM,2686,84,1003,1100,0,0,DEKALB
ROWLAND ROAD,1567,99,754,857,0,0,DEKALB
SAGAMORE HILLS ELEM,2535,752,946,1734,0,0,DEKALB
SALEM MIDDLE,2738,53,1590,1649,0,0,DEKALB
SCOTT,2045,267,878,1170,0,0,DEKALB
SHADOW ROCK ELEM,3272,97,1803,1919,0,0,DEKALB
SHAMROCK,1352,311,502,833,0,0,DEKALB
SHAW-ROBERT SHAW ELE,2794,182,1061,1274,0,0,DEKALB
SILVER LAKE,3464,1009,674,1726,0,0,DEKALB
SKYLAND,1642,457,394,886,0,0,DEKALB
SMOKE RISE ELEM,1801,650,603,1269,0,0,DEKALB
SNAPFINGER ELEM,1535,28,907,941,0,0,DEKALB
SNAPFINGER ROAD NORT,1895,57,843,913,0,0,DEKALB
SNAPFINGER ROAD SOUT,1596,44,915,970,0,0,DEKALB
SOUTH DESHON,2643,51,1307,1366,0,0,DEKALB
SOUTH HAIRSTON,2764,74,1277,1367,0,0,DEKALB
STEPHENSON HIGH,2677,81,1347,1439,0,0,DEKALB
STEPHENSON MIDDLE,2797,102,1433,1547,0,0,DEKALB
STONE MILL ELEM,2442,51,631,691,0,0,DEKALB
STONE MOUNTAIN CHAMP,2165,125,836,976,0,0,DEKALB
STONE MOUNTAIN ELEM,1857,345,714,1081,0,0,DEKALB
STONE MOUNTAIN LIBRA,1119,109,377,495,0,0,DEKALB
STONE MOUNTAIN MIDDL,2254,78,544,630,0,0,DEKALB
STONEVIEW ELEM,1317,25,494,523,0,0,DEKALB
TERRY MILL ELEM,2038,38,954,1003,0,0,DEKALB
TILLY MILL ROAD,1310,551,281,861,0,0,DEKALB
TONEY ELEM,1343,19,687,710,0,0,DEKALB
TUCKER,2462,773,709,1544,0,0,DEKALB
TUCKER LIBRARY,2078,499,639,1151,0,0,DEKALB
VALLEY BROOK,717,115,276,411,0,0,DEKALB
WADSWORTH ELEM,2397,39,1108,1159,0,0,DEKALB
WARREN TECH,1728,370,462,861,0,0,DEKALB
WESLEY CHAPEL LIBRAR,2485,46,1491,1542,0,0,DEKALB
WHITE OAK,2143,27,829,867,0,0,DEKALB
WINNONA PARK ELEM,1735,152,1013,1180,0,0,DEKALB
WINTERS CHAPEL,1220,449,303,782,0,0,DEKALB
WOODRIDGE ELEM,2684,84,1284,1388,0,0,DEKALB
WOODROW ROAD,4622,113,1957,2083,0,0,DEKALB
WOODWARD ELEM,1858,263,491,775,0,0,DEKALB
WYNBROOKE ELEM,2688,110,1503,1629,0,0,DEKALB
YOUNG ROAD,1493,36,870,913,0,0,DEKALB
TOTALS:,404094,44676,162274,210639,0,0,DEKALB
01A,2625,119,1235,1381,0,0,FULTON
01B,3124,217,1494,1753,0,0,FULTON
01C1,812,10,276,288,0,0,FULTON
01D,825,27,378,407,0,0,FULTON
01E,2288,206,1098,1332,0,0,FULTON
01F,960,5,255,264,0,0,FULTON
01G,1578,35,605,652,0,0,FULTON
01H,626,4,216,220,0,0,FULTON
01J,1925,21,744,773,0,0,FULTON
01P,977,7,421,431,0,0,FULTON
01R,1129,4,348,354,0,0,FULTON
01S,1360,10,545,558,0,0,FULTON
01T,1145,43,386,442,0,0,FULTON
02A,3102,310,974,1309,0,0,FULTON
02B,2871,98,648,756,0,0,FULTON
02C,1573,55,577,645,0,0,FULTON
02D,2986,116,1085,1219,0,0,FULTON
02E,1657,102,847,973,0,0,FULTON
02F1,2350,163,891,1077,0,0,FULTON
02F2,552,17,177,201,0,0,FULTON
02G,2584,139,980,1140,0,0,FULTON
02J,1885,132,712,864,0,0,FULTON
02K,1206,83,441,541,0,0,FULTON
02L1,4462,308,1338,1689,0,0,FULTON
02L2,861,90,251,347,0,0,FULTON
