,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct,Precinct,County,rep_votes,dem_votes,total,rep_p,dem_p,_merge
0,0.0,884305.0,0.27,1585.0,121UC034,121UC034,UC034,UC034,60.0,FULTON,121.0,black,49669.0000975,UC034,,,,,,,,left_only
4,4.0,865539.0,2.71,1527.0,121SC212,121SC212,SC212,SC212,60.0,FULTON,121.0,black,49669.0,SC212,,,,,,,,left_only
10,10.0,849089.0,0.02,1400.0,121CH04B,121CH04B,CH04B,CH04B,60.0,FULTON,121.0,white,41282.0,CH04B,,,,,,,,left_only
35,35.0,4647062.0,3.26,862.0,089HH,089HH,HH,NARVIE J HARRIS ELEM,44.0,DEKALB,89.0,black,59598.6970728,NARVIE J HARRIS ELEM,,,,,,,,left_only
38,38.0,4638066.0,0.87,887.0,089MG,089MG,MG,MEDLOCK,44.0,DEKALB,89.0,white,69707.7390984,MEDLOCK,,,,,,,,left_only
54,54.0,4030651.0,0.38,1416.0,121CP083,121CP083,CP083,CP083,60.0,FULTON,121.0,black,41166.0,CP083,,,,,,,,left_only
67,67.0,4008004.0,2.28,1582.0,121UC031,121UC031,UC031,UC031,60.0,FULTON,121.0,black,51926.3173636,UC031,,,,,,,,left_only
69,69.0,4008147.0,0.27,1586.0,121UC035,121UC035,UC035,UC035,60.0,FULTON,121.0,black,50266.6137287,UC035,,,,,,,,left_only
70,70.0,4008245.0,0.85,1578.0,121UC01D,121UC01D,UC01D,UC01D,60.0,FULTON,121.0,black,48657.0,UC01D,,,,,,,,left_only
71,71.0,4008306.0,0.15,1520.0,121SC17B,121SC17B,SC17B,SC17B,60.0,FULTON,121.0,black,48657.0,SC17B,,,,,,,,left_only
83,83.0,890832.0,0.14,1583.0,121UC032,121UC032,UC032,UC032,60.0,FULTON,121.0,black,49669.0000862,UC032,,,,,,,,left_only
84,84.0,890867.0,1.76,1526.0,121SC211,121SC211,SC211,SC211,60.0,FULTON,121.0,black,54300.2067363,SC211,,,,,,,,left_only
126,126.0,4313752.0,1.3,649.0,067WL01,067WL01,WL01,WILLEO 01,33.0,COBB,67.0,white,136873.844336,WILLEO 01,,,,,,,,left_only
130,130.0,4785367.0,1.4,1377.0,121AP021,121AP021,AP021,AP021,60.0,FULTON,121.0,white,110781.941078,AP021,,,,,,,,left_only
135,135.0,4785688.0,1.73,1378.0,121AP022,121AP022,AP022,AP022,60.0,FULTON,121.0,,61655.0002753,AP022,,,,,,,,left_only
143,143.0,4036644.0,0.76,1410.0,121CP06,121CP06,CP06,CP06,60.0,FULTON,121.0,white,57248.9999336,CP06,,,,,,,,left_only
145,145.0,4036726.0,0.08,1413.0,121CP07D,121CP07D,CP07D,CP07D,60.0,FULTON,121.0,black,35016.0,CP07D,,,,,,,,left_only
147,147.0,4770800.0,1.38,1488.0,121RW18,121RW18,RW18,RW18,60.0,FULTON,121.0,white,152029.727253,RW18,,,,,,,,left_only
150,150.0,4770952.0,1.08,836.0,089DI,089DI,DI,DUNWOODY LIBRARY (DU,44.0,DEKALB,89.0,white,159717.823872,DUNWOODY LIBRARY U,,,,,,,,left_only
152,152.0,4771060.0,1.09,897.0,089MQ,089MQ,MQ,MOUNT VERNON EAST (D,44.0,DEKALB,89.0,white,146753.47041,MOUNT VERNON EAST,,,,,,,,left_only
180,180.0,4764210.0,2.27,1485.0,121RW15,121RW15,RW15,RW15,60.0,FULTON,121.0,white,166033.558256,RW15,,,,,,,,left_only
213,213.0,4302856.0,1.99,597.0,067MT04,067MT04,MT04,MT BETHEL 04,33.0,COBB,67.0,white,209538.999635,MT BETHEL 04,,,,,,,,left_only
229,229.0,4089035.0,0.57,1320.0,12109G1,12109G1,09G1,09G1,60.0,FULTON,121.0,white,67895.0182723,09G1,,,,,,,,left_only
230,230.0,4089071.0,1.26,1321.0,12109G2,12109G2,09G2,09G2,60.0,FULTON,121.0,white,67895.0000883,09G2,,,,,,,,left_only
239,239.0,4756800.0,3.24,595.0,067MT01,067MT01,MT01,MT BETHEL 01,33.0,COBB,67.0,white,157721.753009,MT BETHEL 01,,,,,,,,left_only
245,245.0,4757069.0,0.0,1573.0,121SS29B,121SS29B,SS29B,SS29B,60.0,FULTON,121.0,,103129.0,SS29B,,,,,,,,left_only
251,251.0,5102342.0,1.35,1450.0,121ML012,121ML012,ML012,ML012,60.0,FULTON,121.0,white,177525.000024,ML012,,,,,,,,left_only
254,254.0,5102527.0,3.24,1449.0,121ML011,121ML011,ML011,ML011,60.0,FULTON,121.0,white,177524.999989,ML011,,,,,,,,left_only
265,265.0,5110147.0,2.68,1454.0,121ML023,121ML023,ML023,ML023,60.0,FULTON,121.0,white,177681.167199,ML023,,,,,,,,left_only
266,266.0,5110196.0,0.52,1453.0,121ML022,121ML022,ML022,ML022,60.0,FULTON,121.0,white,190427.0,ML022,,,,,,,,left_only
270,270.0,5110420.0,0.38,1455.0,121ML024,121ML024,ML024,ML024,60.0,FULTON,121.0,white,190426.999955,ML024,,,,,,,,left_only
272,272.0,5123124.0,6.61,1452.0,121ML021,121ML021,ML021,ML021,60.0,FULTON,121.0,white,187591.470592,ML021,,,,,,,,left_only
276,276.0,4572674.0,0.89,1356.0,12112B,12112B,12B,12B,60.0,FULTON,121.0,black,48162.9999502,12B,,,,,,,,left_only
279,279.0,4572853.0,0.89,1206.0,12101C1,12101C1,01C1,01C1,60.0,FULTON,121.0,black,38173.0765435,01C1,,,,,,,,left_only
308,308.0,4310313.0,1.73,624.0,067SF01,067SF01,SF01,SHALLOWFORD FALLS 01,33.0,COBB,67.0,white,137689.69657,SHALLOWFORD FALLS 01,,,,,,,,left_only
314,314.0,5133935.0,0.12,1465.0,121ML071,121ML071,ML071,ML071,60.0,FULTON,121.0,white,190427.0,ML071,,,,,,,,left_only
335,335.0,5144483.0,3.1,1466.0,121ML072,121ML072,ML072,ML072,60.0,FULTON,121.0,white,190427.0,ML072,,,,,,,,left_only
337,337.0,4749370.0,3.86,811.0,089CE,089CE,CE,CHAMBLEE (CHA),44.0,DEKALB,89.0,,73394.4072516,CHAMBLEE HA),,,,,,,,left_only
339,339.0,4749522.0,0.85,914.0,089PB,089PB,PB,PEACHTREE MIDDLE (DU,44.0,DEKALB,89.0,,59632.0001897,PEACHTREE MIDDLE U,,,,,,,,left_only
340,340.0,4749572.0,1.18,834.0,089DG,089DG,DG,DUNWOODY ELEM (DUN),44.0,DEKALB,89.0,white,145869.000002,DUNWOODY ELEM UN),,,,,,,,left_only
341,341.0,4749626.0,0.67,814.0,089CH,089CH,CH,CHESNUT ELEM (DUN),44.0,DEKALB,89.0,white,72004.6906385,CHESNUT ELEM UN),,,,,,,,left_only
342,342.0,4749683.0,0.74,961.0,089TG,089TG,TG,TILLY MILL ROAD (DUN,44.0,DEKALB,89.0,white,102101.255157,TILLY MILL ROAD UN,,,,,,,,left_only
343,343.0,4749740.0,1.54,596.0,067MT03,067MT03,MT03,MT BETHEL 03,33.0,COBB,67.0,white,168311.623111,MT BETHEL 03,,,,,,,,left_only
387,387.0,3950938.0,1.6,643.0,067VA01,067VA01,VA01,VAUGHAN 01,33.0,COBB,67.0,white,133633.008538,VAUGHAN 01,,,,,,,,left_only
398,398.0,4193708.0,3.28,635.0,067SN7B,067SN7B,SN7B,SMYRNA 7B,33.0,COBB,67.0,,114849.058097,SMYRNA 7B,,,,,,,,left_only
400,400.0,4060753.0,4.58,551.0,067HL01,067HL01,HL01,HARMONY-LELAND 01,33.0,COBB,67.0,,80364.0067912,HARMONY-LELAND 01,,,,,,,,left_only
403,403.0,4040285.0,0.86,1403.0,121CP012,121CP012,CP012,CP012,60.0,FULTON,121.0,,39986.8709058,CP012,,,,,,,,left_only
405,405.0,4040447.0,0.42,1402.0,121CP011,121CP011,CP011,CP011,60.0,FULTON,121.0,,40399.8685842,CP011,,,,,,,,left_only
408,408.0,4024666.0,5.35,1422.0,121EP04,121EP04,EP04,EP04,60.0,FULTON,121.0,black,44235.3064161,EP04,,,,,,,,left_only
409,409.0,4024863.0,0.94,1407.0,121CP051,121CP051,CP051,CP051,60.0,FULTON,121.0,black,51275.8443223,CP051,,,,,,,,left_only
413,413.0,4019681.0,0.2,1414.0,121CP081,121CP081,CP081,CP081,60.0,FULTON,121.0,black,41166.0001052,CP081,,,,,,,,left_only
435,435.0,4055149.0,1.85,1338.0,12110L,12110L,10L,10L,60.0,FULTON,121.0,black,72578.9996085,10L,,,,,,,,left_only
439,439.0,4055314.0,0.99,1334.0,12110H,12110H,10H,10H,60.0,FULTON,121.0,black,31296.7654716,10H,,,,,,,,left_only
447,447.0,4065829.0,1.78,1325.0,12109L,12109L,09L,09L,60.0,FULTON,121.0,black,40094.0606534,09L,,,,,,,,left_only
452,452.0,4074331.0,0.75,1357.0,12112C,12112C,12C,12C,60.0,FULTON,121.0,black,41225.9998394,12C,,,,,,,,left_only
474,474.0,4295661.0,1.89,564.0,067LA01,067LA01,LA01,LASSITER 01,33.0,COBB,67.0,white,135333.297273,LASSITER 01,,,,,,,,left_only
476,476.0,4295798.0,1.7,619.0,067RM01,067RM01,RM01,ROCKY MOUNT 01,33.0,COBB,67.0,white,107844.870771,ROCKY MOUNT 01,,,,,,,,left_only
541,541.0,4661698.0,1.03,964.0,089WA,089WA,WA,WADSWORTH ELEM,44.0,DEKALB,89.0,black,39815.870019,WADSWORTH ELEM,,,,,,,,left_only
558,558.0,4683453.0,1.39,893.0,089MM,089MM,MM,MEMORIAL NORTH,44.0,DEKALB,89.0,black,43097.1164635,MEMORIAL NORTH,,,,,,,,left_only
560,560.0,4683587.0,1.3,954.0,089SS,089SS,SS,SNAPFINGER ROAD S,44.0,DEKALB,89.0,black,60566.2389816,SNAPFINGER ROAD S,,,,,,,,left_only
562,562.0,4683697.0,2.57,889.0,089MI,089MI,MI,MIDDLE GROVE MIDDLE,44.0,DEKALB,89.0,black,47983.0366455,MIDDLE GROVE MIDDLE,,,,,,,,left_only
571,571.0,4678058.0,0.34,826.0,089CT,089CT,CT,COVINGTON HWY,44.0,DEKALB,89.0,black,27600.0000297,COVINGTON HWY,,,,,,,,left_only
576,576.0,4678332.0,1.08,817.0,089CK,089CK,CK,CLARKSTON (CLA),44.0,DEKALB,89.0,black,37306.7694379,CLARKSTON LA),,,,,,,,left_only
614,614.0,4891022.0,0.9,877.0,089LD,089LD,LD,LITHONIA (LIT),44.0,DEKALB,89.0,black,48247.0,LITHONIA IT),,,,,,,,left_only
628,628.0,4592246.0,0.07,1213.0,12101I,12101I,01I,01I,60.0,FULTON,121.0,black,34378.0001593,01I,,,,,,,,left_only
652,652.0,4696390.0,0.26,916.0,089PE,089PE,PE,PINE LAKE (PIN),44.0,DEKALB,89.0,black,42070.0496019,PINE LAKE IN),,,,,,,,left_only
656,656.0,4696648.0,1.08,881.0,089MA,089MA,MA,MILLER-ELDRIDGE L MI,44.0,DEKALB,89.0,black,61031.4152713,MILLER-ELDRIDGE L MI,,,,,,,,left_only
672,672.0,4627411.0,0.36,866.0,089JA,089JA,JA,JOHNSON ESTATES (ATL,44.0,DEKALB,89.0,white,36435.5899204,JOHNSON ESTATES TL,,,,,,,,left_only
677,677.0,4817585.0,1.83,944.0,089SI,089SI,SI,STN MTN MIDDLE,44.0,DEKALB,89.0,black,44447.773362,STN MTN MIDDLE,,,,,,,,left_only
680,680.0,4817787.0,2.57,943.0,089SH,089SH,SH,SMOKE RISE,44.0,DEKALB,89.0,white,117152.875737,SMOKE RISE,,,,,,,,left_only
686,686.0,4702799.0,0.74,951.0,089SP,089SP,SP,STONE MTN CHAMPION (,44.0,DEKALB,89.0,black,43995.228424,STONE MTN CHAMPION,,,,,,,,left_only
687,687.0,4702875.0,0.89,952.0,089SQ,089SQ,SQ,STONE MTN LIBRARY (S,44.0,DEKALB,89.0,black,64377.0594466,STONE MTN LIBRARY,,,,,,,,left_only
695,695.0,4790699.0,0.56,1392.0,121AP12C,121AP12C,AP12C,AP12D,60.0,FULTON,121.0,,85109.9573477,AP12D,,,,,,,,left_only
706,706.0,4829298.0,0.83,972.0,089WL,089WL,WL,WINTERS CHAPEL (DUN),44.0,DEKALB,89.0,white,126049.575239,WINTERS CHAPEL UN),,,,,,,,left_only
714,714.0,4732722.0,0.84,970.0,089WJ,089WJ,WJ,WOODWARD ELEM (BHAVN,44.0,DEKALB,89.0,,91628.9954277,WOODWARD ELEM HAVN,,,,,,,,left_only
715,715.0,4732788.0,0.56,821.0,089CO,089CO,CO,CROSS KEYS HIGH (BHA,44.0,DEKALB,89.0,,103435.932886,CROSS KEYS HIGH HA,,,,,,,,left_only
719,719.0,4733030.0,0.59,798.0,089BE,089BE,BE,BRIARWOOD (BHAVN),44.0,DEKALB,89.0,hispanic,83551.484499,BRIARWOOD HAVN),,,,,,,,left_only
720,720.0,4733080.0,0.75,802.0,089BI,089BI,BI,BROOKHAVEN (BHAVN),44.0,DEKALB,89.0,white,123167.521961,BROOKHAVEN HAVN),,,,,,,,left_only
721,721.0,4733144.0,1.34,940.0,089SE,089SE,SE,SILVER LAKE (BHAVN),44.0,DEKALB,89.0,white,120886.597542,SILVER LAKE HAVN),,,,,,,,left_only
722,722.0,4733206.0,0.74,941.0,089SF,089SF,SF,SKYLAND (BHAVN),44.0,DEKALB,89.0,,101731.994626,SKYLAND HAVN),,,,,,,,left_only
735,735.0,4617526.0,1.13,837.0,089EA,089EA,EA,EAST LAKE (ATL),44.0,DEKALB,89.0,black,79382.0158026,EAST LAKE TL),,,,,,,,left_only
737,737.0,4631418.0,0.68,911.0,089OK,089OK,OK,OAKHURST (DEC),44.0,DEKALB,89.0,white,106164.804212,OAKHURST EC),,,,,,,,left_only
738,738.0,4631496.0,0.43,935.0,089RN,089RN,RN,RENFROE MIDDLE (DEC),44.0,DEKALB,89.0,white,106721.992146,RENFROE MIDDLE EC),,,,,,,,left_only
739,739.0,4631548.0,0.53,918.0,089PG,089PG,PG,PONCE DE LEON (DEC),44.0,DEKALB,89.0,white,91336.453884,PONCE DE LEON EC),,,,,,,,left_only
740,740.0,4631608.0,0.68,827.0,089CV,089CV,CV,CLAIREMONT EAST (DEC,44.0,DEKALB,89.0,white,94575.0664381,CLAIREMONT EAST EC,,,,,,,,left_only
742,742.0,4631725.0,0.6,852.0,089GA,089GA,GA,GLENNWOOD (DEC),44.0,DEKALB,89.0,white,109095.808889,GLENNWOOD EC),,,,,,,,left_only
