AREA,COUNTY,COUNTY_NAM,CTYSOSID,DATA,DISTRICT,FIPS2,ID,PRECINCT_I,PRECINCT_N,income_r_1,income_rac
3.58,33,COBB,067BF03,511,067BF03,067,4189336,BF03,BELLS FERRY 03,77375.5927994,white
0.37,60,FULTON,12103E,1237,12103E,121,4088718,03E,03E,19653.4983947,black
0.22,60,FULTON,12104J,1256,12104J,121,4088790,04J,04J,25242.292842,black
0.27,60,FULTON,12103L,1242,12103L,121,4088850,03L,03L,60667.9997259,black
0.71,60,FULTON,12103M,1243,12103M,121,4088903,03M,03M,57334.3119909,white
0.69,60,FULTON,12103N,1244,12103N,121,4088960,03N,03N,29787.4994217,black
0.57,60,FULTON,12109G1,1320,12109G1,121,4089035,09G1,09G1,67895.0182723,white
1.26,60,FULTON,12109G2,1321,12109G2,121,4089071,09G2,09G2,67895.0000883,white
0.44,60,FULTON,12109H,1322,12109H,121,4089133,09H,09H,67895.0,white
1.06,60,FULTON,12108M,1310,12108M,121,4709230,08M,08M,135365.035419,white
0.58,60,FULTON,12107J,1295,12107J,121,4709303,07J,07J,125829.486437,white
0.45,60,FULTON,12107H,1294,12107H,121,4709350,07H,07H,129059.000016,white
0.57,60,FULTON,12108G,1305,12108G,121,4709398,08G,08G,118764.009889,white
2.09,60,FULTON,12108C,1300,12108C,121,4709445,08C,08C,256389.389374,white
2.0,60,FULTON,12108B,1299,12108B,121,4709523,08B,08B,245507.920083,white
0.53,60,FULTON,12106I,1280,12106I,121,4709617,06I,06I,69900.5230237,
3.24,33,COBB,067MT01,595,067MT01,067,4756800,MT01,MT BETHEL 01,157721.753009,white
0.25,60,FULTON,121SS18B,1565,121SS18B,121,4756865,SS18B,SS18B,90477.0004194,white
1.22,33,COBB,067TR01,642,067TR01,067,4756891,TR01,TIMBER RIDGE 01,157506.254459,white
0.51,60,FULTON,121SS02A,1537,121SS02A,121,4756935,SS02A,SS02A,90477.0,white
1.08,60,FULTON,121SS19B,1567,121SS19B,121,4756981,SS19B,SS19B,77423.006892,white
1.02,60,FULTON,121SS19A,1566,121SS19A,121,4757024,SS19A,SS19A,66247.9391108,
0.0,60,FULTON,121SS29B,1573,121SS29B,121,4757069,SS29B,SS29B,103129.0,
0.76,60,FULTON,121SS26,1571,121SS26,121,4757085,SS26,SS26,57995.7841135,
0.94,60,FULTON,121SS20,1568,121SS20,121,4757134,SS20,SS20,68393.6845785,
2.37,60,FULTON,121SS22,1569,121SS22,121,4757210,SS22,SS22,52899.405147,
1.34,60,FULTON,121RW11A,1481,121RW11A,121,4757297,RW11A,RW11A,92566.1771281,white
1.11,60,FULTON,121RW19,1489,121RW19,121,5102293,RW19,RW19,187821.165651,white
1.35,60,FULTON,121ML012,1450,121ML012,121,5102342,ML012,ML012,177525.000024,white
1.22,60,FULTON,121ML01B,1451,121ML01B,121,5102394,ML01B,ML01B,178143.432728,white
0.89,60,FULTON,121AP04A,1381,121AP04A,121,5102464,AP04A,AP04A,138431.719885,white
3.24,60,FULTON,121ML011,1449,121ML011,121,5102527,ML011,ML011,177524.999989,white
0.34,60,FULTON,121AP04B,1382,121AP04B,121,5102671,AP04B,AP04B,177524.999495,white
0.61,60,FULTON,12105A2,1267,12105A2,121,4587698,05A2,05A2,74509.8315883,white
0.17,60,FULTON,12103G,1239,12103G,121,4587787,03G,03G,15389.0001477,black
0.5,60,FULTON,12103T,1248,12103T,121,4587836,03T,03T,44311.8871663,black
0.16,60,FULTON,12103P2,1246,12103P2,121,4587898,03P2,03P2,21209.0,black
0.36,60,FULTON,12104F,1253,12104F,121,4587937,04F,04F,49896.5106383,white
0.62,60,FULTON,12103P1A,1245,12103P1A,121,4587984,03P1A,03P1A,53680.0186107,white
0.83,60,FULTON,12103I,1241,12103I,121,4588058,03I,03I,66113.854176,
0.92,60,FULTON,121AP06,1384,121AP06,121,5109990,AP06,AP06,111870.317795,white
1.46,60,FULTON,121AP07B,1386,121AP07B,121,5110054,AP07B,AP07B,138287.349975,white
2.68,60,FULTON,121ML023,1454,121ML023,121,5110147,ML023,ML023,177681.167199,white
0.52,60,FULTON,121ML022,1453,121ML022,121,5110196,ML022,ML022,190427.0,white
0.49,60,FULTON,121AP10,1389,121AP10,121,5110217,AP10,AP10,169333.999407,white
2.57,60,FULTON,121ML04A,1457,121ML04A,121,5110267,ML04A,ML04A,163189.779537,white
1.99,60,FULTON,121AP07A,1385,121AP07A,121,5110337,AP07A,AP07A,90764.2214155,white
0.38,60,FULTON,121ML024,1455,121ML024,121,5110420,ML024,ML024,190426.999955,white
2.47,60,FULTON,121ML04B,1458,121ML04B,121,5110447,ML04B,ML04B,177112.076944,white
6.61,60,FULTON,121ML021,1452,121ML021,121,5123124,ML021,ML021,187591.470592,white
7.55,60,FULTON,121ML03,1456,121ML03,121,5123250,ML03,ML03,190427.0,white
2.07,60,FULTON,121ML07A,1467,121ML07A,121,5123328,ML07A,ML07A,190427.0,white
0.73,60,FULTON,121ML05B,1461,121ML05B,121,5123375,ML05B,ML05B,190427.0,white
0.89,60,FULTON,12112B,1356,12112B,121,4572674,12B,12B,48162.9999502,black
0.4,60,FULTON,12112S,1370,12112S,121,4572745,12S,12S,37724.9999756,black
0.91,60,FULTON,12101J,1214,12101J,121,4572780,01J,01J,30444.8270649,black
0.89,60,FULTON,12101C1,1206,12101C1,121,4572853,01C1,01C1,38173.0765435,black
0.38,60,FULTON,12112A,1355,12112A,121,4572959,12A,12A,48162.9996438,black
0.97,60,FULTON,12112K,1366,12112K,121,4573012,12K,12K,29682.5130538,black
0.3,60,FULTON,12112N,1369,12112N,121,4573078,12N,12N,28004.0125754,black
0.3,60,FULTON,12104B,1250,12104B,121,4573125,04B,04B,43957.3952996,black
7.22,67,GWINNETT,13555,1712,13555,135,5212434,55,SUGAR HILL D,64396.6603751,white
2.46,67,GWINNETT,135102,1759,135102,135,5212593,102,PUCKETTS B,79498.6926708,white
7.72,67,GWINNETT,13524,1681,13524,135,5207290,24,SUGAR HILL A,73604.6428598,
0.86,60,FULTON,12110K,1337,12110K,121,4070117,10K,10K,40334.9878689,black
0.96,60,FULTON,12110G,1333,12110G,121,4070173,10G,10G,38163.730312,black
0.72,60,FULTON,12111H,1348,12111H,121,4070229,11H,11H,44749.0923361,black
1.18,60,FULTON,12110J,1336,12110J,121,4070283,10J,10J,27505.4212903,black
0.96,60,FULTON,12112L,1367,12112L,121,4070328,12L,12L,24448.6012747,black
0.2,60,FULTON,12112G,1362,12112G,121,4070388,12G,12G,23800.0000513,black
0.61,60,FULTON,12112D,1358,12112D,121,4070426,12D,12D,23984.7763757,black
1.68,67,GWINNETT,135141,1798,135141,135,5189844,141,SUGAR HILL G,111178.852139,white
5.86,67,GWINNETT,13525,1682,13525,135,5189918,25,SUGAR HILL B,80193.2937559,white
2.68,67,GWINNETT,13589,1746,13589,135,5190056,89,SUGAR HILL E,88062.5945048,white
6.69,67,GWINNETT,13554,1711,13554,135,5190127,54,SUGAR HILL C,83876.5297412,white
0.49,60,FULTON,121MP01,1468,121MP01,121,4466510,MP01,MP01,175478.0,white
4.02,67,GWINNETT,135130,1787,135130,135,5176207,130,SUWANEE D,111176.408953,white
1.64,33,COBB,067DC01,528,067DC01,067,4309882,DC01,DICKERSON 01,132366.422976,white
1.45,33,COBB,067SA01,623,067SA01,067,4309943,SA01,SANDY PLAINS 01,126620.496246,white
1.5,33,COBB,067PP01,613,067PP01,067,4310004,PP01,POPE 01,133844.556198,white
0.81,33,COBB,067MB01,575,067MB01,067,4310058,MB01,MABRY 01,151583.999728,white
1.07,33,COBB,067DV01,533,067DV01,067,4310099,DV01,DAVIS 01,107699.0,white
1.44,33,COBB,067GM01,549,067GM01,067,4310135,GM01,GARRISON MILL 01,106741.00026,white
2.77,33,COBB,067PO01,612,067PO01,067,4310182,PO01,POST OAK 01,138681.999949,white
2.12,33,COBB,067HT01,553,067HT01,067,4310243,HT01,HIGHTOWER 01,145838.999948,white
1.73,33,COBB,067SF01,624,067SF01,067,4310313,SF01,SHALLOWFORD FALLS 01,137689.69657,white
0.02,60,FULTON,121ML05A,1460,121ML05A,121,5133692,ML05A,ML05A,169334.0,white
0.97,60,FULTON,121ML06A,1463,121ML06A,121,5133717,ML06A,ML06A,89105.4961093,white
2.54,60,FULTON,121AP12B,1391,121AP12B,121,5133795,AP12B,AP12B,163711.151849,white
2.47,60,FULTON,121ML05C,1462,121ML05C,121,5133844,ML05C,ML05C,131507.554028,white
0.22,60,FULTON,121ML04C,1459,121ML04C,121,5133912,ML04C,ML04C,184433.58675,white
0.12,60,FULTON,121ML071,1465,121ML071,121,5133935,ML071,ML071,190427.0,white
0.88,60,FULTON,121ML06B,1464,121ML06B,121,5133960,ML06B,ML06B,87754.0786291,white
2.94,60,FULTON,121SS09B,1551,121SS09B,121,4721384,SS09B,SS09B,107793.915474,white
0.39,60,FULTON,121SS13B,1558,121SS13B,121,4721461,SS13B,SS13B,170781.917706,white
0.12,60,FULTON,121SS11D,1555,121SS11D,121,4721504,SS11D,SS11D,92761.0000254,
0.47,60,FULTON,121SS11B,1553,121SS11B,121,4721528,SS11B,SS11B,92760.9877163,
1.13,60,FULTON,121SS06,1542,121SS06,121,4721564,SS06,SS06,69192.9977567,white
1.06,60,FULTON,121SS05,1541,121SS05,121,4721614,SS05,SS05,58602.0054561,
0.5,60,FULTON,121SS18A,1564,121SS18A,121,4721657,SS18A,SS18A,71783.7353125,
0.62,60,FULTON,121SS31,1574,121SS31,121,4721692,SS31,SS31,69229.1196899,white
0.68,60,FULTON,121SS03,1539,121SS03,121,4721728,SS03,SS03,69193.0003403,white
0.53,60,FULTON,121SS13A,1557,121SS13A,121,4721768,SS13A,SS13A,94140.0,white
0.91,60,FULTON,121SS11A,1552,121SS11A,121,4721812,SS11A,SS11A,98018.5278361,white
0.09,60,FULTON,121SS11C,1554,121SS11C,121,4721860,SS11C,SS11C,101716.448226,
0.75,60,FULTON,121SS14,1559,121SS14,121,4721892,SS14,SS14,162671.225707,white
0.85,60,FULTON,12108J,1307,12108J,121,4090002,08J,08J,138801.245249,white
1.41,31,CLAYTON,063FP4,446,063FP4,063,4549249,FP4,FOREST PARK 4,48873.5560823,
4.55,31,CLAYTON,063FP1,443,063FP1,063,4549326,FP1,FOREST PARK 1,37380.0730443,black
2.41,60,FULTON,121HP01,1425,121HP01,121,4549411,HP01,HP01,52696.9730183,
1.04,60,FULTON,12112E1,1359,12112E1,121,4549506,12E1,12E1,22402.7118397,black
2.81,60,FULTON,121AP05,1383,121AP05,121,5144364,AP05,AP05,158709.308464,white
3.1,60,FULTON,121ML072,1466,121ML072,121,5144483,ML072,ML072,190427.0,white
0.27,60,FULTON,121AP09B,1388,121AP09B,121,5144618,AP09B,AP09B,115719.401279,white
3.86,44,DEKALB,089CE,811,089CE,089,4749370,CE,CHAMBLEE (CHA),73394.4072516,
0.99,44,DEKALB,089HF,860,089HF,089,4749471,HF,HUNTLEY HILLS ELEM (,65928.9603339,
0.85,44,DEKALB,089PB,914,089PB,089,4749522,PB,PEACHTREE MIDDLE (DU,59632.0001897,
1.18,44,DEKALB,089DG,834,089DG,089,4749572,DG,DUNWOODY ELEM (DUN),145869.000002,white
0.67,44,DEKALB,089CH,814,089CH,089,4749626,CH,CHESNUT ELEM (DUN),72004.6906385,white
0.74,44,DEKALB,089TG,961,089TG,089,4749683,TG,TILLY MILL ROAD (DUN,102101.255157,white
1.54,33,COBB,067MT03,596,067MT03,067,4749740,MT03,MT BETHEL 03,168311.623111,white
3.6,33,COBB,067PE01,608,067PE01,067,4003178,PE01,PEBBLEBROOK 01,54717.0484505,black
2.97,33,COBB,067MA02,572,067MA02,067,4003261,MA02,MABLETON 02,59046.8462027,
5.63,33,COBB,067BT02,518,067BT02,067,4003418,BT02,BRYANT 02,40853.856121,black
1.5,33,COBB,067RS01,620,067RS01,067,4003495,RS01,RIVERSIDE 01,46848.0001011,black
5.82,33,COBB,067AU1A,509,067AU1A,067,4095535,AU1A,AUSTELL 1A,59962.8220394,black
4.35,60,FULTON,121SC05D,1500,121SC05D,121,3991842,SC05D,SC05D,87960.7627183,black
0.95,60,FULTON,121UC02B,1581,121UC02B,121,3991934,UC02B,UC02B,99633.9108888,black
2.61,60,FULTON,121SC05B,1499,121SC05B,121,3991990,SC05B,SC05B,101950.239027,black
0.02,60,FULTON,121SC08C,1505,121SC08C,121,3992064,SC08C,SC08C,48657.023764,black
7.09,60,FULTON,121SC18B,1523,121SC18B,121,3992084,SC18B,SC18B,101953.999923,black
2.27,33,COBB,067CL01,524,067CL01,067,4101823,CL01,CLARKDALE 01,60280.8508902,black
1.91,33,COBB,067PS2A,616,067PS2A,067,4101935,PS2A,POWDER SPRINGS 2A,66352.2386892,black
4.78,33,COBB,067CO01,526,067CO01,067,4102050,CO01,COOPER 01,64283.2503091,black
2.9,33,COBB,067OR02,604,067OR02,067,4102159,OR02,OREGON 02,89559.9998885,
7.41,60,FULTON,121SC13B,1516,121SC13B,121,3978694,SC13B,SC13B,56422.003735,white
0.44,60,FULTON,121SC05A,1498,121SC05A,121,3978805,SC05A,SC05A,58258.2233014,white
7.58,60,FULTON,121SC13A,1515,121SC13A,121,3978839,SC13A,SC13A,56422.0002889,white
1.68,60,FULTON,12109K,1324,12109K,121,4084183,09K,09K,31091.9225552,black
1.67,60,FULTON,12109M,1326,12109M,121,4084259,09M,09M,118699.999949,white
2.16,60,FULTON,12109E,1318,12109E,121,4084293,09E,09E,42531.6628892,black
2.57,60,FULTON,12109A,1314,12109A,121,4084366,09A,09A,100512.153848,
0.13,60,FULTON,12104C,1251,12104C,121,4084426,04C,04C,35651.9998104,black
0.49,60,FULTON,12103A,1233,12103A,121,4084464,03A,03A,27740.6627099,black
0.32,60,FULTON,12103D,1236,12103D,121,4084507,03D,03D,27340.0000291,black
0.23,60,FULTON,12103B,1234,12103B,121,4084562,03B,03B,27406.0000852,black
0.77,60,FULTON,12109I,1323,12109I,121,4084596,09I,09I,40775.9999983,black
2.97,33,COBB,067AC1B,506,067AC1B,067,3966274,AC1B,ACWORTH 1B,56038.6551555,white
3.16,33,COBB,067MC01,576,067MC01,067,4108549,MC01,MACLAND 01,70161.0019773,
3.17,33,COBB,067OR05,607,067OR05,067,4108618,OR05,OREGON 05,115053.218289,white
3.55,33,COBB,067KP02,562,067KP02,067,4108657,KP02,KEMP 02,99899.129528,white
2.94,33,COBB,067OR04,606,067OR04,067,4108708,OR04,OREGON 04,67348.9999932,
2.01,33,COBB,067DL01,530,067DL01,067,4108766,DL01,DOWELL 01,116142.006679,white
4.74,33,COBB,067CH03,522,067CH03,067,4108814,CH03,CHEATHAM HILL 03,101431.856003,white
3.6,33,COBB,067MA01,571,067MA01,067,4108873,MA01,MABLETON 01,76526.1134595,
1.81,33,COBB,067SW02,640,067SW02,067,4113705,SW02,SWEETWATER 02,48164.3079317,black
2.29,33,COBB,067BR02,516,067BR02,067,4113758,BR02,BIRNEY 02,88901.4144031,white
1.65,33,COBB,067BR01,515,067BR01,067,4113820,BR01,BIRNEY 01,81757.9999983,
2.58,33,COBB,067MA03,573,067MA03,067,4113874,MA03,MABLETON 03,90712.6836194,white
1.37,33,COBB,067MA04,574,067MA04,067,4113965,MA04,MABLETON 04,85874.5923571,white
4.3,33,COBB,067AC1A,505,067AC1A,067,3963027,AC1A,ACWORTH 1A,86606.9200046,white
4.37,33,COBB,067ME01,578,067ME01,067,3950623,ME01,MCEACHERN 01,80636.2928891,
3.75,33,COBB,067LM01,566,067LM01,067,3950747,LM01,LOST MOUNTAIN 01,115676.017844,white
1.75,33,COBB,067OR01,603,067OR01,067,3950803,OR01,OREGON 01,113406.000007,white
1.6,33,COBB,067VA01,643,067VA01,067,3950938,VA01,VAUGHAN 01,133633.008538,white
2.95,33,COBB,067PS1A,615,067PS1A,067,3942237,PS1A,POWDER SPRINGS 1A,72507.5992392,
2.36,33,COBB,067PS3A,617,067PS3A,067,3942396,PS3A,POWDER SPRINGS 3A,69734.9063381,
5.62,33,COBB,067LM03,568,067LM03,067,3942492,LM03,LOST MOUNTAIN 03,127437.776917,white
3.61,33,COBB,067SW01,639,067SW01,067,3935449,SW01,SWEETWATER 01,71456.3040366,
7.03,33,COBB,067CL02,525,067CL02,067,3935549,CL02,CLARKDALE 02,67228.7038238,black
2.47,33,COBB,067MR3A,584,067MR3A,067,4136554,MR3A,MARIETTA 3A,59452.946863,
2.82,33,COBB,067HR01,552,067HR01,067,4136743,HR01,HARRISON 01,129495.146669,white
1.19,33,COBB,067KP01,561,067KP01,067,4136802,KP01,KEMP 01,115967.16253,white
1.24,33,COBB,067ML01,580,067ML01,067,4136843,ML01,MCCLURE 01,98471.0045237,white
2.08,33,COBB,067NC01,598,067NC01,067,4154967,NC01,NORTH COBB 01,74359.4702,white
3.28,33,COBB,067SN7B,635,067SN7B,067,4193708,SN7B,SMYRNA 7B,114849.058097,
5.72,60,FULTON,121SC14,1517,121SC14,121,4060669,SC14,SC14,42668.9250389,black
4.58,33,COBB,067HL01,551,067HL01,067,4060753,HL01,HARMONY-LELAND 01,80364.0067912,
4.56,33,COBB,067LI01,565,067LI01,067,4060829,LI01,LINDLEY 01,133845.983744,
0.54,60,FULTON,121CP04,1406,121CP04,121,4040235,CP04,CP04,36599.8336446,black
0.86,60,FULTON,121CP012,1403,121CP012,121,4040285,CP012,CP012,39986.8709058,
2.94,60,FULTON,121EP03,1421,121EP03,121,4040357,EP03,EP03,40753.9595325,black
0.42,60,FULTON,121CP011,1402,121CP011,121,4040447,CP011,CP011,40399.8685842,
2.41,60,FULTON,121EP01,1419,121EP01,121,4040501,EP01,EP01,42070.8213304,black
1.13,60,FULTON,121SC19B,1525,121SC19B,121,4024572,SC19B,SC19B,47644.2055908,black
5.35,60,FULTON,121EP04,1422,121EP04,121,4024666,EP04,EP04,44235.3064161,black
0.94,60,FULTON,121CP051,1407,121CP051,121,4024863,CP051,CP051,51275.8443223,black
0.22,60,FULTON,121CP07A,1411,121CP07A,121,4024913,CP07A,CP07A,35016.0003381,black
0.98,60,FULTON,12111P,1353,12111P,121,4024949,11P,11P,45767.3397957,black
0.77,60,FULTON,121SC10,1512,121SC10,121,4019590,SC10,SC10,41164.0363432,black
0.2,60,FULTON,121CP081,1414,121CP081,121,4019681,CP081,CP081,41166.0001052,black
0.77,60,FULTON,121UC01E,1579,121UC01E,121,4019733,UC01E,UC01E,48657.1903879,black
0.07,60,FULTON,121SC17A,1519,121SC17A,121,4019773,SC17A,SC17A,48657.006409,black
1.47,60,FULTON,121SC17C,1521,121SC17C,121,4019795,SC17C,SC17C,40697.9825237,black
0.28,60,FULTON,121SC19A,1524,121SC19A,121,4019845,SC19A,SC19A,39780.2115605,black
1.24,60,FULTON,121SC18A,1522,121SC18A,121,4019893,SC18A,SC18A,53108.6451605,black
1.29,60,FULTON,12111E3,1346,12111E3,121,4019936,11E3,11E3,50016.1480866,black
1.84,60,FULTON,12111E1,1344,12111E1,121,4019988,11E1,11E1,51445.000011,black
0.42,60,FULTON,12111E2,1345,12111E2,121,4020043,11E2,11E2,51445.0,black
10.36,60,FULTON,121UC02A,1580,121UC02A,121,3985193,UC02A,UC02A,58366.7049726,black
0.82,60,FULTON,121SC08F,1508,121SC08F,121,3985484,SC08F,SC08F,48657.0,black
9.82,60,FULTON,121SC01B,1495,121SC01B,121,3997751,SC01B,SC01B,87927.9411808,black
0.91,60,FULTON,121SC02,1496,121SC02,121,3997836,SC02,SC02,71485.7392749,black
5.53,60,FULTON,121SC16,1518,121SC16,121,3997883,SC16,SC16,81562.9999511,black
0.86,33,COBB,067BT01,517,067BT01,067,3997943,BT01,BRYANT 01,48001.3799581,black
2.37,60,FULTON,12111C,1343,12111C,121,4054803,11C,11C,71432.8537365,black
0.25,60,FULTON,121SC30A,1534,121SC30A,121,4054874,SC30A,SC30A,71467.0,black
1.9,60,FULTON,12110A,1327,12110A,121,4054898,10A,10A,37740.3164043,black
0.62,60,FULTON,12110C,1329,12110C,121,4054945,10C,10C,29262.0318226,black
1.27,60,FULTON,12111N,1352,12111N,121,4054976,11N,11N,50322.0366046,black
2.16,60,FULTON,12111M,1351,12111M,121,4055034,11M,11M,52641.9999697,black
1.12,60,FULTON,121SC30B,1535,121SC30B,121,4055093,SC30B,SC30B,61707.4505136,black
1.85,60,FULTON,12110L,1338,12110L,121,4055149,10L,10L,72578.9996085,black
0.23,60,FULTON,12110R,1341,12110R,121,4055221,10R,10R,27503.9998312,black
0.46,60,FULTON,12110B,1328,12110B,121,4055250,10B,10B,72579.0,black
0.21,60,FULTON,12110I,1335,12110I,121,4055289,10I,10I,71919.2251782,black
0.99,60,FULTON,12110H,1334,12110H,121,4055314,10H,10H,31296.7654716,black
3.96,60,FULTON,121EP02,1420,121EP02,121,4048967,EP02,EP02,43866.7971891,black
3.16,60,FULTON,12111B,1342,12111B,121,4049172,11B,11B,65759.240361,black
1.86,60,FULTON,12110D,1330,12110D,121,4065602,10D,10D,26177.6079698,black
0.58,60,FULTON,12110E,1331,12110E,121,4065666,10E,10E,33518.5280698,black
0.77,60,FULTON,12110P,1340,12110P,121,4065711,10P,10P,32046.999984,black
1.14,60,FULTON,12109C,1316,12109C,121,4065744,09C,09C,40447.9996988,black
1.81,60,FULTON,12109B,1315,12109B,121,4065791,09B,09B,35970.8214809,black
1.78,60,FULTON,12109L,1325,12109L,121,4065829,09L,09L,40094.0606534,black
0.48,60,FULTON,12111R,1354,12111R,121,4065901,11R,11R,21537.9448448,black
1.29,60,FULTON,12111K,1350,12111K,121,4065949,11K,11K,42006.4885368,black
0.34,60,FULTON,12111G,1347,12111G,121,4066002,11G,11G,25664.1565825,black
0.2,60,FULTON,12112I,1364,12112I,121,4066041,12I,12I,28534.9013759,black
0.75,60,FULTON,12112C,1357,12112C,121,4074331,12C,12C,41225.9998394,black
0.62,60,FULTON,12104S,1260,12104S,121,4074413,04S,04S,46545.999876,black
