,DISTRICT,income,race,Precinct Description,Precinct,prec,County,MITT ROMNEY (R),BARACK OBAMA (I)(D)
0,063RD02,48828.1436927,black,RIVERDALE 2,RIVERDALE 2,RIVERDALE 2,Clayton,64,1691
1,063JB12,52807.9999916,black,JONESBORO 12,JONESBORO 12,JONESBORO 12,Clayton,116,1359
2,063RD12,56430.6573469,black,RIVERDALE 12,RIVERDALE 12,RIVERDALE 12,Clayton,108,1686
3,121SC212,49669.0,black,SC212,SC212,SC212,Fulton,94,1407
4,121FA01B,49669.0,black,FA01B,FA01B,FA01B,Fulton,20,337
5,121FA01A,60801.4212202,black,FA01A,FA01A,FA01A,Fulton,583,3852
6,1352,66640.9990353,black,ROCKBRIDGE A,ROCKBRIDGE A,ROCKBRIDGE A,Gwinnett,652,1330
7,13575,68494.6886219,black,ROCKBRIDGE C,ROCKBRIDGE C,ROCKBRIDGE C,Gwinnett,700,2019
8,121PA01,45172.5612156,white,PA01,PA01,PA01,Fulton,366,1067
9,063JB17,43596.1683036,black,JONESBORO 17,JONESBORO 17,JONESBORO 17,Clayton,176,2259
10,063JB02,49034.3307719,black,JONESBORO 2,JONESBORO 2,JONESBORO 2,Clayton,92,2179
11,063RD09,50495.8311885,black,RIVERDALE 9,RIVERDALE 9,RIVERDALE 9,Clayton,152,1362
12,063JB16,40743.0448871,black,JONESBORO 16,JONESBORO 16,JONESBORO 16,Clayton,144,978
13,063RD05,50020.9999236,black,RIVERDALE 5,RIVERDALE 5,RIVERDALE 5,Clayton,95,1557
14,063JB03,56598.5908975,black,JONESBORO 3,JONESBORO 3,JONESBORO 3,Clayton,394,1738
15,063JB10,44499.2552632,black,JONESBORO 10,JONESBORO 10,JONESBORO 10,Clayton,177,1381
16,063JB09,35822.5347114,black,JONESBORO 9,JONESBORO 9,JONESBORO 9,Clayton,144,489
17,089FG,64793.0,black,FLAT ROCK ELEM,FLAT ROCK ELEM,FLAT ROCK ELEM,DeKalb,54,1853
18,089CF,64793.0000217,black,CANDLER-MURPHEY CANDLER ELEM,CANDLER-MURPHEY CANDLER ELEM,CANDLER-MURPHEY CANDLER ELEM,DeKalb,137,1630
19,121JC08,126335.99752,white,JC08,JC08,JC08,Fulton,1078,648
20,121JC05,98246.0388369,,JC05,JC05,JC05,Fulton,784,535
21,121JC04B,113558.0,white,JC04B,JC04B,JC04B,Fulton,85,65
22,121JC03A,98246.0004352,,JC03A,JC03A,JC03A,Fulton,191,103
23,121JC04A,163061.374152,white,JC04A,JC04A,JC04A,Fulton,1727,926
24,121JC03B,98246.0002512,,JC03B,JC03B,JC03B,Fulton,446,399
25,121JC06,126336.000022,white,JC06,JC06,JC06,Fulton,1129,442
26,135111,76509.2838063,,DULUTH H,DULUTH H,DULUTH H,Gwinnett,896,555
27,121JC02,119965.050347,,JC02,JC02,JC02,Fulton,448,310
28,089FE,65591.1473802,black,FLAT SHOALS PARKWAY,FLAT SHOALS PARKWAY,FLAT SHOALS PARKWAY,DeKalb,51,2210
29,089CG,72421.3486141,black,CHAPEL HILL ELEM,CHAPEL HILL ELEM,CHAPEL HILL ELEM,DeKalb,41,2104
30,089KD,75793.7897241,black,KING-ML KING JR HIGH,KING-ML KING JR HIGH,KING-ML KING JR HIGH,DeKalb,41,2702
31,089BJ,69589.6873835,black,BROWNS MILL ELEM,BROWNS MILL ELEM,BROWNS MILL ELEM,DeKalb,82,2437
32,089OV,51142.8983879,black,OAK VIEW ELEM,OAK VIEW ELEM,OAK VIEW ELEM,DeKalb,41,2796
33,089FK,74727.9999779,black,FLAKES MILL FIRE STATION,FLAKES MILL FIRE STATION,FLAKES MILL FIRE STATION,DeKalb,34,1176
34,089SB,70105.1177822,white,SCOTT,SCOTT,SCOTT,DeKalb,442,1084
35,063JB08,44427.2567272,black,JONESBORO 8,JONESBORO 8,JONESBORO 8,Clayton,138,1634
36,063MO8,54253.9085824,black,MORROW 8,MORROW 8,MORROW 8,Clayton,112,1561
37,063MO5,64404.8017229,black,MORROW 5,MORROW 5,MORROW 5,Clayton,442,2427
38,063RD07,39854.7245755,black,RIVERDALE 7,RIVERDALE 7,RIVERDALE 7,Clayton,143,962
39,063FP3,35993.1132663,,FOREST PARK 3,FOREST PARK 3,FOREST PARK 3,Clayton,250,850
40,063RD06,36949.3305338,black,RIVERDALE 6,RIVERDALE 6,RIVERDALE 6,Clayton,242,1338
41,063JB15,35178.5895145,black,JONESBORO 15,JONESBORO 15,JONESBORO 15,Clayton,148,1125
42,063FP5,37037.8752304,,FOREST PARK 5,FOREST PARK 5,FOREST PARK 5,Clayton,316,1286
43,063FP6,46613.8230662,,FOREST PARK 6,FOREST PARK 6,FOREST PARK 6,Clayton,220,497
44,063RD04,49299.9556957,black,RIVERDALE 4,RIVERDALE 4,RIVERDALE 4,Clayton,224,2047
45,12111J,41628.0000181,black,11J,11J,11J,Fulton,14,1078
46,121SC23A,56054.9410052,black,SC23A,SC23A,SC23A,Fulton,76,2980
47,063RD11,65591.2016586,black,RIVERDALE 11,RIVERDALE 11,RIVERDALE 11,Clayton,70,1119
48,121SC27,43809.1670036,black,SC27,SC27,SC27,Fulton,32,1391
49,121CP083,41166.0,black,CP083,CP083,CP083,Fulton,0,327
50,063RD08,62179.274513,black,RIVERDALE 8,RIVERDALE 8,RIVERDALE 8,Clayton,173,1553
51,121SC08B,43010.1486789,black,SC08B,SC08B,SC08B,Fulton,73,2023
52,121SC29A,49669.0001547,black,SC29A,SC29A,SC29A,Fulton,24,1739
53,121SC23B,54597.9959849,black,SC23B,SC23B,SC23B,Fulton,14,300
54,121SC09B,46959.0854889,black,SC09B,SC09B,SC09B,Fulton,19,1029
55,121SC11B,56759.9999777,black,SC11B,SC11B,SC11B,Fulton,11,941
56,121SC11A,56759.9999747,black,SC11A,SC11A,SC11A,Fulton,18,1009
57,121SC08D,39694.0,black,SC08D,SC08D,SC08D,Fulton,5,301
58,121UC01B,39848.998953,black,UC01B,UC01B,UC01B,Fulton,4,149
59,121SC09A,44086.6969134,black,SC09A,SC09A,SC09A,Fulton,57,1868
60,121UC01A,49338.6179548,black,UC01A,UC01A,UC01A,Fulton,58,1995
61,121UC031,51926.3173636,black,UC031,UC031,UC031,Fulton,116,740
62,121SC08E,49346.9978534,black,SC08E,SC08E,SC08E,Fulton,1,187
63,121SC07A,64043.8404756,black,SC07A,SC07A,SC07A,Fulton,359,2566
64,121CH03,41282.0,white,CH03,CH03,CH03,Fulton,173,60
65,121CH02,41282.0000023,white,CH02,CH02,CH02,Fulton,94,120
66,121CH01,41282.0,white,CH01,CH01,CH01,Fulton,39,95
67,121SC04,51949.8440986,white,SC04,SC04,SC04,Fulton,316,330
68,121CH05,41282.0,white,CH05,CH05,CH05,Fulton,235,43
69,121CH04A,41282.0,white,CH04A,CH04A,CH04A,Fulton,195,100
70,063JB18,52205.8454371,black,JONESBORO 18,JONESBORO 18,JONESBORO 18,Clayton,244,1401
71,063JB11,71803.0289449,black,JONESBORO 11,JONESBORO 11,JONESBORO 11,Clayton,614,1670
72,063JB07,61414.1036329,black,JONESBORO 7,JONESBORO 7,JONESBORO 7,Clayton,402,1465
73,063JB06,98786.0904393,white,JONESBORO 6,JONESBORO 6,JONESBORO 6,Clayton,973,696
74,121UC032,49669.0000862,black,UC032,UC032,UC032,Fulton,205,222
75,121SC211,54300.2067363,black,SC211,SC211,SC211,Fulton,20,546
76,063JB01,39933.0779979,black,JONESBORO 1,JONESBORO 1,JONESBORO 1,Clayton,217,2371
77,063PH1,71320.0,black,PANHANDLE 1,PANHANDLE 1,PANHANDLE 1,Clayton,246,1569
78,063JB13,61686.8245944,black,JONESBORO 13,JONESBORO 13,JONESBORO 13,Clayton,195,840
79,063LJ4,62823.9968421,black,LOVEJOY 4,LOVEJOY 4,LOVEJOY 4,Clayton,237,2100
80,063LJ5,48898.9998072,black,LOVEJOY 5,LOVEJOY 5,LOVEJOY 5,Clayton,151,1449
81,063PH2,71320.0,black,PANHANDLE 2,PANHANDLE 2,PANHANDLE 2,Clayton,545,1106
82,063JB04,37524.6059607,black,JONESBORO 4,JONESBORO 4,JONESBORO 4,Clayton,187,882
83,063LJ3,66907.0979587,black,LOVEJOY 3,LOVEJOY 3,LOVEJOY 3,Clayton,640,2535
84,063LJ1,50463.5165331,black,LOVEJOY 1,LOVEJOY 1,LOVEJOY 1,Clayton,360,1722
85,063LJ2,59069.9955964,black,LOVEJOY 2,LOVEJOY 2,LOVEJOY 2,Clayton,198,1482
86,063JB05,62825.0,black,JONESBORO 5,JONESBORO 5,JONESBORO 5,Clayton,329,839
87,063JB14,66969.206291,black,JONESBORO 14,JONESBORO 14,JONESBORO 14,Clayton,987,1786
88,135147,90842.5664644,,BAYCREEK I,BAYCREEK I,BAYCREEK I,Gwinnett,1391,1418
89,13580,84393.7784348,,BAYCREEK C,BAYCREEK C,BAYCREEK C,Gwinnett,1658,1616
90,13590,57021.6103245,,LAWRENCEVILLE I,LAWRENCEVILLE I,LAWRENCEVILLE I,Gwinnett,928,898
91,13585,88378.1611122,white,LAWRENCEVILLE H,LAWRENCEVILLE H,LAWRENCEVILLE H,Gwinnett,1529,815
92,135132,87845.014055,white,LAWRENCEVILLE K,LAWRENCEVILLE K,LAWRENCEVILLE K,Gwinnett,1166,729
93,13560,62617.0986675,,LAWRENCEVILLE D,LAWRENCEVILLE D,LAWRENCEVILLE D,Gwinnett,535,1619
94,13542,86150.1992045,white,LAWRENCEVILLE C,LAWRENCEVILLE C,LAWRENCEVILLE C,Gwinnett,1176,446
95,1359,80975.999975,white,PUCKETTS A,PUCKETTS A,PUCKETTS A,Gwinnett,2016,636
96,135135,90506.7657347,white,PUCKETTS C,PUCKETTS C,PUCKETTS C,Gwinnett,1212,463
97,1353,88376.2428555,white,DACULA,DACULA,DACULA,Gwinnett,1323,1161
98,135152,92688.0017271,white,ROCKYCREEK C,ROCKYCREEK C,ROCKYCREEK C,Gwinnett,1744,848
99,135137,80511.0777688,white,ROCKYCREEK B,ROCKYCREEK B,ROCKYCREEK B,Gwinnett,1888,911
100,135154,80791.9673805,white,PUCKETTS D,PUCKETTS D,PUCKETTS D,Gwinnett,1360,433
101,1358,110889.981861,white,DUNCANS A,DUNCANS A,DUNCANS A,Gwinnett,2109,560
102,13513,111087.0,white,DUNCANS C,DUNCANS C,DUNCANS C,Gwinnett,1546,386
103,121RW09,176443.563528,white,RW09,RW09,RW09,Fulton,1422,388
104,135108,80886.0366707,,BAYCREEK E,BAYCREEK E,BAYCREEK E,Gwinnett,972,733
105,135145,76761.3788658,white,BAYCREEK G,BAYCREEK G,BAYCREEK G,Gwinnett,1391,985
106,135146,82443.0556252,white,BAYCREEK H,BAYCREEK H,BAYCREEK H,Gwinnett,2258,904
107,13591,94098.1579451,white,BAYCREEK D,BAYCREEK D,BAYCREEK D,Gwinnett,1702,977
108,135133,82440.026504,white,HARBINS B,HARBINS B,HARBINS B,Gwinnett,1657,468
109,13528,103858.05682,white,ROCKYCREEK A,ROCKYCREEK A,ROCKYCREEK A,Gwinnett,1966,1016
110,135129,111273.950701,white,DUNCANS B,DUNCANS B,DUNCANS B,Gwinnett,1930,527
111,13539,111722.999983,white,DUNCANS D,DUNCANS D,DUNCANS D,Gwinnett,2488,619
112,135104,74483.9951314,black,ROCKBRIDGE F,ROCKBRIDGE F,ROCKBRIDGE F,Gwinnett,890,2352
113,13576,74483.9999396,black,ROCKBRIDGE D,ROCKBRIDGE D,ROCKBRIDGE D,Gwinnett,774,1389
114,13552,86326.5441964,white,BERKSHIRE G,BERKSHIRE G,BERKSHIRE G,Gwinnett,933,434
115,1351,77447.9999908,white,HARBINS A,HARBINS A,HARBINS A,Gwinnett,1863,1108
116,135151,77448.0000003,white,HARBINS C,HARBINS C,HARBINS C,Gwinnett,1027,306
117,067WL01,136873.844336,white,WILLEO 01,WILLEO 01,WILLEO 01,Cobb,1509,552
118,121AP03,57454.0000093,,AP03,AP03,AP03,Fulton,87,248
119,121RW05,58003.9855617,,RW05,RW05,RW05,Fulton,492,655
120,121AP021,110781.941078,white,AP021,AP021,AP021,Fulton,1073,569
121,121RW06,93606.2385029,white,RW06,RW06,RW06,Fulton,1095,696
122,121RW13,103843.601204,white,RW13,RW13,RW13,Fulton,1514,756
123,121AP01D,81158.1907624,white,AP01D,AP01D,AP01D,Fulton,369,198
124,121AP02B,61654.999889,,AP02B,AP02B,AP02B,Fulton,198,91
125,121AP022,61655.0002753,,AP022,AP022,AP022,Fulton,698,470
126,121AP01B,84909.9999854,,AP01B,AP01B,AP01B,Fulton,190,194
127,063RD01,59697.5995614,black,RIVERDALE 1,RIVERDALE 1,RIVERDALE 1,Clayton,108,1408
128,063RD03,48284.7791155,black,RIVERDALE 3,RIVERDALE 3,RIVERDALE 3,Clayton,91,1849
129,063OAK4,50172.3189563,black,OAK 4,OAK 4,OAK 4,Clayton,54,1659
130,063OAK2,46756.5878746,black,OAK 2,OAK 2,OAK 2,Clayton,39,628
131,063RD10,31847.5402106,black,RIVERDALE 10,RIVERDALE 10,RIVERDALE 10,Clayton,27,1263
132,063OAK3,34426.8627647,black,OAK 3,OAK 3,OAK 3,Clayton,52,1935
133,121CP06,57248.9999336,white,CP06,CP06,CP06,Fulton,3,213
134,121CP05B,35056.3167721,black,CP05B,CP05B,CP05B,Fulton,2,59
135,121RW08,104907.832885,white,RW08,RW08,RW08,Fulton,1056,384
136,121RW18,152029.727253,white,RW18,RW18,RW18,Fulton,1128,418
137,121RW16,110849.313211,white,RW16,RW16,RW16,Fulton,846,374
138,089DI,159717.823872,white,DUNWOODY LIBRARY (DUN),DUNWOODY LIBRARY,DUNWOODY LIBRARY (DUN),DeKalb,1383,506
139,089AD,157989.300633,white,AUSTIN (DUN),AUSTIN,AUSTIN (DUN),DeKalb,1403,489
140,121SS15B,72017.9998374,,SS15B,SS15B,SS15B,Fulton,354,595
141,121SS17,46878.6732202,white,SS17,SS17,SS17,Fulton,1373,820
142,063OAK1,40769.3914333,black,OAK 1,OAK 1,OAK 1,Clayton,25,1119
143,121CP02,79794.9668548,,CP02,CP02,CP02,Fulton,96,463
144,121CP01B,79794.9992581,,CP01B,CP01B,CP01B,Fulton,82,193
145,067VG01,88765.7888437,white,VININGS 01,VININGS 01,VININGS 01,Cobb,603,500
146,12109F,92955.4619794,white,09F,09F,09F,Fulton,1211,917
147,12108N2,221381.421359,white,08N2,08N2,08N2,Fulton,423,263
148,12108N1,221299.000193,white,08N1,08N1,08N1,Fulton,450,131
149,12108F1,226070.090638,white,08F1,08F1,08F1,Fulton,1249,346
150,12108A,263565.203108,white,08A,08A,08A,Fulton,1162,532
151,12108D,255725.654679,white,08D,08D,08D,Fulton,655,302
152,067CA01,67115.7864348,,CHATTAHOOCHEE 01,CHATTAHOOCHEE 01,CHATTAHOOCHEE 01,Cobb,881,1995
153,067TM01,62734.6678864,,TERRELL MILL 01,TERRELL MILL 01,TERRELL MILL 01,Cobb,1011,1849
154,067SO02,109556.046759,white,SOPE CREEK 02,SOPE CREEK 02,SOPE CREEK 02,Cobb,1847,1015
155,067SO03,166386.08086,white,SOPE CREEK 03,SOPE CREEK 03,SOPE CREEK 03,Cobb,1397,469
156,121SS16,58034.0000791,,SS16,SS16,SS16,Fulton,1165,391
157,121AP09A,105645.403973,white,AP09A,AP09A,AP09A,Fulton,1652,978
158,135121,112622.830828,white,PINCKNEYVILLE X,PINCKNEYVILLE X,PINCKNEYVILLE X,Gwinnett,1155,790
159,13540,88833.7062525,,PINCKNEYVILLE H,PINCKNEYVILLE H,PINCKNEYVILLE H,Gwinnett,1306,1004
160,121JC12,170409.619398,white,JC12,JC12,JC12,Fulton,1248,402
161,13599,63661.8072709,,PINCKNEYVILLE T,PINCKNEYVILLE T,PINCKNEYVILLE T,Gwinnett,748,734
162,121SS15A,44353.0003431,black,SS15A,SS15A,SS15A,Fulton,188,821
163,067RW01,135308.349366,white,ROSWELL 01,ROSWELL 01,ROSWELL 01,Cobb,1473,622
164,121RW02,142982.961069,white,RW02,RW02,RW02,Fulton,1655,842
165,121RW10,121373.989042,white,RW10,RW10,RW10,Fulton,1598,633
166,121RW15,166033.558256,white,RW15,RW15,RW15,Fulton,1599,540
167,121RW01,108603.189828,white,RW01,RW01,RW01,Fulton,2228,877
168,121RW03,71633.4028417,,RW03,RW03,RW03,Fulton,1171,1091
169,135155,120739.198901,white,SUWANEE G,SUWANEE G,SUWANEE G,Gwinnett,1246,724
170,135140,145658.999772,white,SUWANEE H,SUWANEE H,SUWANEE H,Gwinnett,1713,489
171,13517,59083.7728671,,MARTINS A,MARTINS A,MARTINS A,Gwinnett,358,1085
172,13577,67035.1992435,,GOODWINS C,GOODWINS C,GOODWINS C,Gwinnett,1188,1295
173,13597,83664.9144076,,GOODWINS E,GOODWINS E,GOODWINS E,Gwinnett,1700,1127
174,067LM02,132393.217757,white,LOST MOUNTAIN 02,LOST MOUNTAIN 02,LOST MOUNTAIN 02,Cobb,2322,501
175,067FR01,140268.115179,white,FORD 01,FORD 01,FORD 01,Cobb,1640,400
176,067DU01,122343.99999,white,DURHAM 01,DURHAM 01,DURHAM 01,Cobb,2187,534
177,067KP03,123383.605978,white,KEMP 03,KEMP 03,KEMP 03,Cobb,1128,248
178,067FY01,121066.425676,white,FREY 01,FREY 01,FREY 01,Cobb,1139,388
179,067LM04,130492.169301,white,LOST MOUNTAIN 04,LOST MOUNTAIN 04,LOST MOUNTAIN 04,Cobb,1308,392
180,067MS01,105760.970971,white,MARS HILL 01,MARS HILL 01,MARS HILL 01,Cobb,1567,363
181,067LW01,99747.7968572,white,LEWIS 01,LEWIS 01,LEWIS 01,Cobb,735,293
182,135131,145658.999952,white,SUWANEE E,SUWANEE E,SUWANEE E,Gwinnett,1745,631
183,1354,100037.072778,white,SUWANEE A,SUWANEE A,SUWANEE A,Gwinnett,529,356
184,13598,86616.2120716,white,GOODWINS F,GOODWINS F,GOODWINS F,Gwinnett,981,707
185,135142,108954.871969,,SUWANEE F,SUWANEE F,SUWANEE F,Gwinnett,1291,811
186,135100,108992.821252,,SUWANEE B,SUWANEE B,SUWANEE B,Gwinnett,1523,759
187,13530,70953.6404458,,CATES C,CATES C,CATES C,Gwinnett,752,839
188,13570,102252.99995,white,GOODWINS B,GOODWINS B,GOODWINS B,Gwinnett,1628,713
189,13526,82901.170437,,HOG MOUNTAIN A,HOG MOUNTAIN A,HOG MOUNTAIN A,Gwinnett,1116,1003
190,13531,89986.5605277,white,HOG MOUNTAIN D,HOG MOUNTAIN D,HOG MOUNTAIN D,Gwinnett,1076,444
191,135136,80519.2148583,white,HOG MOUNTAIN C,HOG MOUNTAIN C,HOG MOUNTAIN C,Gwinnett,1493,716
192,13567,80968.0378222,white,PUCKETTS E,PUCKETTS E,PUCKETTS E,Gwinnett,1400,963
193,13571,80776.9390566,,LAWRENCEVILLE F,LAWRENCEVILLE F,LAWRENCEVILLE F,Gwinnett,657,1472
194,135144,70796.5579162,,LAWRENCEVILLE M,LAWRENCEVILLE M,LAWRENCEVILLE M,Gwinnett,720,1837
195,13527,86588.316059,white,HOG MOUNTAIN B,HOG MOUNTAIN B,HOG MOUNTAIN B,Gwinnett,1779,846
196,067FP01,130850.90241,white,FULLERS PARK 01,FULLERS PARK 01,FULLERS PARK 01,Cobb,1588,733
197,067SM01,125454.990659,white,SEWELL MILL 01,SEWELL MILL 01,SEWELL MILL 01,Cobb,1537,671
198,067MD01,126857.326326,white,MURDOCK 01,MURDOCK 01,MURDOCK 01,Cobb,1928,789
199,067MT04,209538.999635,white,MT BETHEL 04,MT BETHEL 04,MT BETHEL 04,Cobb,1573,564
200,067EA01,122972.150886,white,EASTSIDE 01,EASTSIDE 01,EASTSIDE 01,Cobb,1504,556
201,067DO01,135135.423006,white,DODGEN 01,DODGEN 01,DODGEN 01,Cobb,1083,379
202,067CR01,126045.486549,white,CHESTNUT RIDGE 01,CHESTNUT RIDGE 01,CHESTNUT RIDGE 01,Cobb,1715,540
203,067RW02,153556.991168,white,ROSWELL 02,ROSWELL 02,ROSWELL 02,Cobb,1812,756
204,067WG02,84696.1926927,white,WADE GREEN 02,WADE GREEN 02,WADE GREEN 02,Cobb,735,615
205,067BG02,101215.728602,white,BIG SHANTY 02,BIG SHANTY 02,BIG SHANTY 02,Cobb,1307,642
206,067PT01,111668.999885,white,PITNER 01,PITNER 01,PITNER 01,Cobb,823,365
207,067CK01,57427.9083144,white,CHALKER 01,CHALKER 01,CHALKER 01,Cobb,1160,976
208,067PR01,87389.9386063,white,PALMER 01,PALMER 01,PALMER 01,Cobb,1149,524
209,067BF03,77375.5927994,white,BELLS FERRY 03,BELLS FERRY 03,BELLS FERRY 03,Cobb,2326,1123
210,12103E,19653.4983947,black,03E,03E,03E,Fulton,21,1004
211,12103L,60667.9997259,black,03L,03L,03L,Fulton,6,275
212,12103M,57334.3119909,white,03M,03M,03M,Fulton,114,300
213,12103N,29787.4994217,black,03N,03N,03N,Fulton,29,1004
214,12109G2,67895.0000883,white,09G2,09G2,09G2,Fulton,533,919
215,12108M,135365.035419,white,08M,08M,08M,Fulton,810,249
216,12107J,125829.486437,white,07J,07J,07J,Fulton,846,854
217,12107H,129059.000016,white,07H,07H,07H,Fulton,766,572
218,12108G,118764.009889,white,08G,08G,08G,Fulton,815,701
219,12108C,256389.389374,white,08C,08C,08C,Fulton,822,193
220,12108B,245507.920083,white,08B,08B,08B,Fulton,1595,643
221,067MT01,157721.753009,white,MT BETHEL 01,MT BETHEL 01,MT BETHEL 01,Cobb,2163,748
222,121SS18B,90477.0004194,white,SS18B,SS18B,SS18B,Fulton,115,60
223,067TR01,157506.254459,white,TIMBER RIDGE 01,TIMBER RIDGE 01,TIMBER RIDGE 01,Cobb,1309,516
224,121SS02A,90477.0,white,SS02A,SS02A,SS02A,Fulton,431,356
225,121SS19B,77423.006892,white,SS19B,SS19B,SS19B,Fulton,480,724
226,121SS19A,66247.9391108,,SS19A,SS19A,SS19A,Fulton,489,1093
227,121SS29B,103129.0,,SS29B,SS29B,SS29B,Fulton,3,2
228,121SS26,57995.7841135,,SS26,SS26,SS26,Fulton,371,1396
229,121SS20,68393.6845785,,SS20,SS20,SS20,Fulton,462,626
230,121SS22,52899.405147,,SS22,SS22,SS22,Fulton,804,794
231,121RW11A,92566.1771281,white,RW11A,RW11A,RW11A,Fulton,979,662
232,121RW19,187821.165651,white,RW19,RW19,RW19,Fulton,982,378
233,121ML012,177525.000024,white,ML012,ML012,ML012,Fulton,195,38
234,121ML01B,178143.432728,white,ML01B,ML01B,ML01B,Fulton,68,19
235,121AP04A,138431.719885,white,AP04A,AP04A,AP04A,Fulton,815,252
236,121ML011,177524.999989,white,ML011,ML011,ML011,Fulton,865,312
237,121AP04B,177524.999495,white,AP04B,AP04B,AP04B,Fulton,164,54
238,12105A2,74509.8315883,white,05A2,05A2,05A2,Fulton,209,1361
239,12103G,15389.0001477,black,03G,03G,03G,Fulton,4,217
240,12103T,44311.8871663,black,03T,03T,03T,Fulton,37,843
241,12103P2,21209.0,black,03P2,03P2,03P2,Fulton,3,95
242,121AP06,111870.317795,white,AP06,AP06,AP06,Fulton,859,275
243,121AP07B,138287.349975,white,AP07B,AP07B,AP07B,Fulton,672,245
244,121AP10,169333.999407,white,AP10,AP10,AP10,Fulton,495,163
245,121AP07A,90764.2214155,white,AP07A,AP07A,AP07A,Fulton,1137,762
246,121ML03,190427.0,white,ML03,ML03,ML03,Fulton,1916,434
247,121ML07A,190427.0,white,ML07A,ML07A,ML07A,Fulton,310,86
248,12112B,48162.9999502,black,12B,12B,12B,Fulton,60,1231
249,12112S,37724.9999756,black,12S,12S,12S,Fulton,19,951
250,12101J,30444.8270649,black,01J,01J,01J,Fulton,29,1224
251,12101C1,38173.0765435,black,01C1,01C1,01C1,Fulton,17,561
252,12112A,48162.9996438,black,12A,12A,12A,Fulton,12,450
253,12104B,43957.3952996,black,04B,04B,04B,Fulton,16,838
254,13555,64396.6603751,white,SUGAR HILL D,SUGAR HILL D,SUGAR HILL D,Gwinnett,1201,707
255,135102,79498.6926708,white,PUCKETTS B,PUCKETTS B,PUCKETTS B,Gwinnett,1277,526
256,13524,73604.6428598,,SUGAR HILL A,SUGAR HILL A,SUGAR HILL A,Gwinnett,1148,574
257,12110G,38163.730312,black,10G,10G,10G,Fulton,11,878
258,12111H,44749.0923361,black,11H,11H,11H,Fulton,22,1375
259,12110J,27505.4212903,black,10J,10J,10J,Fulton,2,442
260,12112L,24448.6012747,black,12L,12L,12L,Fulton,5,284
261,12112G,23800.0000513,black,12G,12G,12G,Fulton,19,479
262,12112D,23984.7763757,black,12D,12D,12D,Fulton,10,599
263,135141,111178.852139,white,SUGAR HILL G,SUGAR HILL G,SUGAR HILL G,Gwinnett,1176,428
264,13525,80193.2937559,white,SUGAR HILL B,SUGAR HILL B,SUGAR HILL B,Gwinnett,1615,849
265,13589,88062.5945048,white,SUGAR HILL E,SUGAR HILL E,SUGAR HILL E,Gwinnett,1146,460
266,13554,83876.5297412,white,SUGAR HILL C,SUGAR HILL C,SUGAR HILL C,Gwinnett,1731,663
267,121MP01,175478.0,white,MP01,MP01,MP01,Fulton,164,136
268,135130,111176.408953,white,SUWANEE D,SUWANEE D,SUWANEE D,Gwinnett,1985,658
269,067DC01,132366.422976,white,DICKERSON 01,DICKERSON 01,DICKERSON 01,Cobb,1403,601
270,067SA01,126620.496246,white,SANDY PLAINS 01,SANDY PLAINS 01,SANDY PLAINS 01,Cobb,1117,629
271,067PP01,133844.556198,white,POPE 01,POPE 01,POPE 01,Cobb,1444,632
272,067MB01,151583.999728,white,MABRY 01,MABRY 01,MABRY 01,Cobb,966,287
273,067DV01,107699.0,white,DAVIS 01,DAVIS 01,DAVIS 01,Cobb,941,423
