,DISTRICT,income,race,Precinct Description,Precinct,prec,County,MITT ROMNEY (R),BARACK OBAMA (I)(D)
548,12106H,59582.2674532,white,06H,06H,06H,Fulton,453,736
549,12106D,71373.3689554,white,06D,06D,06D,Fulton,497,1174
550,089MB,66331.6333265,black,MCNAIR HIGH,MCNAIR HIGH,MCNAIR HIGH,DeKalb,156,1947
551,089LH,55563.9999656,black,LITHONIA HIGH,LITHONIA HIGH,LITHONIA HIGH,DeKalb,22,1779
552,089RH,49647.55742,black,REDAN-TROTTI LIBRARY,REDAN-TROTTI LIBRARY,REDAN-TROTTI LIBRARY,DeKalb,41,2206
553,089LD,48247.0,black,LITHONIA (LIT),LITHONIA,LITHONIA (LIT),DeKalb,48,679
554,089SL,43697.5894288,black,STONEVIEW ELEM,STONEVIEW ELEM,STONEVIEW ELEM,DeKalb,61,863
555,089PC,72649.0000008,black,PRINCETON ELEM,PRINCETON ELEM,PRINCETON ELEM,DeKalb,61,1315
556,089RC,72655.0937844,black,REDAN ELEM,REDAN ELEM,REDAN ELEM,DeKalb,45,1768
557,089SV,72877.0000043,black,STEPHENSON HIGH,STEPHENSON HIGH,STEPHENSON HIGH,DeKalb,123,2043
558,12108L,87289.0007578,white,08L,08L,08L,Fulton,989,1227
559,12102W,87766.0,white,02W,02W,02W,Fulton,227,709
560,12102A,46303.0001382,white,02A,02A,02A,Fulton,90,894
561,12106R,37734.6990054,hispanic,06R,06R,06R,Fulton,318,666
562,12106L2,87766.0000903,white,06L2,06L2,06L2,Fulton,205,274
563,12102S,57249.8912256,,02S,02S,02S,Fulton,117,1380
564,12102B,57686.6943556,,02B,02B,02B,Fulton,189,966
565,12105C,34376.6748439,black,05C,05C,05C,Fulton,2,66
566,12102L2,100864.999874,white,02L2,02L2,02L2,Fulton,150,264
567,12102C,29512.0016958,white,02C,02C,02C,Fulton,152,879
568,12102L1,45188.9725985,hispanic,02L1,02L1,02L1,Fulton,752,1971
569,12108P,67895.2872147,white,08P,08P,08P,Fulton,331,809
570,12108K,138803.068553,white,08K,08K,08K,Fulton,273,158
571,089FA,48858.0000259,black,FAIRINGTON ELEM,FAIRINGTON ELEM,FAIRINGTON ELEM,DeKalb,39,2552
572,089PI,65558.0327844,black,PANOLA WAY ELEM,PANOLA WAY ELEM,PANOLA WAY ELEM,DeKalb,27,1069
573,089RM,50272.9792647,black,REDAN MIDDLE,REDAN MIDDLE,REDAN MIDDLE,DeKalb,75,1463
574,089MC,55545.1416782,black,MARBUT ELEM,MARBUT ELEM,MARBUT ELEM,DeKalb,26,2452
575,089WG,51184.0000336,black,WOODRIDGE ELEM,WOODRIDGE ELEM,WOODRIDGE ELEM,DeKalb,109,1891
576,089WK,47216.0000308,black,WHITE OAK,WHITE OAK,WHITE OAK,DeKalb,30,1556
577,089FM,56095.4040655,black,FREEDOM MIDDLE,FREEDOM MIDDLE,FREEDOM MIDDLE,DeKalb,172,1560
578,089PE,42070.0496019,black,PINE LAKE (PIN),PINE LAKE,PINE LAKE (PIN),DeKalb,63,323
579,089HA,50233.8643098,black,HAMBRICK ELEM,HAMBRICK ELEM,HAMBRICK ELEM,DeKalb,234,1610
580,089SJ,36927.3545,black,STONE MILL ELEM,STONE MILL ELEM,STONE MILL ELEM,DeKalb,92,1491
581,13545,73877.0920981,black,GARNERS B,GARNERS B,GARNERS B,Gwinnett,857,1076
582,13532,97661.8156498,white,BERKSHIRE D,BERKSHIRE D,BERKSHIRE D,Gwinnett,1141,589
583,13511,48747.0001917,,BERKSHIRE A,BERKSHIRE A,BERKSHIRE A,Gwinnett,424,668
584,135120,60881.664558,,BERKSHIRE P,BERKSHIRE P,BERKSHIRE P,Gwinnett,382,374
585,135109,98089.3071449,white,BERKSHIRE M,BERKSHIRE M,BERKSHIRE M,Gwinnett,717,344
586,13574,45760.9254793,,PINCKNEYVILLE Q,PINCKNEYVILLE Q,PINCKNEYVILLE Q,Gwinnett,109,709
587,135103,51231.4140089,,BERKSHIRE L,BERKSHIRE L,BERKSHIRE L,Gwinnett,458,1009
588,135118,82412.7626273,white,GARNERS F,GARNERS F,GARNERS F,Gwinnett,664,350
589,135112,77794.2471374,white,BERKSHIRE N,BERKSHIRE N,BERKSHIRE N,Gwinnett,1417,611
590,13533,91737.9999169,white,BERKSHIRE E,BERKSHIRE E,BERKSHIRE E,Gwinnett,905,423
591,13592,101415.695334,white,BERKSHIRE J,BERKSHIRE J,BERKSHIRE J,Gwinnett,1228,567
592,13549,80846.954552,white,GARNERS C,GARNERS C,GARNERS C,Gwinnett,605,502
593,13514,106134.001048,white,GARNERS A,GARNERS A,GARNERS A,Gwinnett,1620,687
594,089FB,198544.827023,white,FERNBANK ELEM,FERNBANK ELEM,FERNBANK ELEM,DeKalb,505,1164
595,089EG,119116.973185,white,EMORY SOUTH,EMORY SOUTH,EMORY SOUTH,DeKalb,737,1357
596,089JA,36435.5899204,white,JOHNSON ESTATES (ATL),JOHNSON ESTATES,JOHNSON ESTATES (ATL),DeKalb,302,512
597,089BC,88264.1679836,white,BRIAR VISTA ELEM,BRIAR VISTA ELEM,BRIAR VISTA ELEM,DeKalb,517,1053
598,089DH,134869.307608,white,DRUID HILLS HIGH,DRUID HILLS HIGH,DRUID HILLS HIGH,DeKalb,394,991
599,089TF,96314.9255889,white,TUCKER,TUCKER,TUCKER,DeKalb,1099,862
600,089HG,86195.7687577,,HUGH HOWELL,HUGH HOWELL,HUGH HOWELL,DeKalb,690,594
601,13512,60552.4691547,,BERKSHIRE B,BERKSHIRE B,BERKSHIRE B,Gwinnett,760,1636
602,135148,73174.953133,,BERKSHIRE Q,BERKSHIRE Q,BERKSHIRE Q,Gwinnett,671,364
603,089SU,60509.8194421,black,SOUTH HAIRSTON,SOUTH HAIRSTON,SOUTH HAIRSTON,DeKalb,68,1961
604,089PH,63450.9241653,black,PANOLA,PANOLA,PANOLA,DeKalb,43,869
605,089SK,72872.6533676,black,SHADOW ROCK ELEM,SHADOW ROCK ELEM,SHADOW ROCK ELEM,DeKalb,107,2511
606,12108H,226996.999074,white,08H,08H,08H,Fulton,1199,508
607,13557,68527.5590905,,DULUTH D,DULUTH D,DULUTH D,Gwinnett,1042,1175
608,13582,68022.5747984,,DULUTH E,DULUTH E,DULUTH E,Gwinnett,823,1432
609,13556,60812.2880176,,DULUTH C,DULUTH C,DULUTH C,Gwinnett,775,592
610,121JC11,122981.463271,white,JC11,JC11,JC11,Fulton,1440,580
611,121JC09,120359.978589,white,JC09,JC09,JC09,Fulton,979,766
612,121JC07,126839.488816,white,JC07,JC07,JC07,Fulton,1396,920
613,089SN,75154.0001454,white,SHAMROCK,SHAMROCK,SHAMROCK,DeKalb,426,605
614,089ND,110455.999955,white,NORTHLAKE,NORTHLAKE,NORTHLAKE,DeKalb,472,524
615,089BD,155996.999767,white,BRIARLAKE ELEM,BRIARLAKE ELEM,BRIARLAKE ELEM,DeKalb,674,546
616,089RD,97723.8880976,white,REHOBOTH,REHOBOTH,REHOBOTH,DeKalb,505,793
617,089WI,56205.1077989,,WARREN TECH,WARREN TECH,WARREN TECH,DeKalb,327,435
618,13565,58383.6657037,,BERKSHIRE H,BERKSHIRE H,BERKSHIRE H,Gwinnett,367,498
619,135123,43085.6810829,hispanic,PINCKNEYVILLE Y,PINCKNEYVILLE Y,PINCKNEYVILLE Y,Gwinnett,284,1114
620,13523,44776.1697722,,PINCKNEYVILLE D,PINCKNEYVILLE D,PINCKNEYVILLE D,Gwinnett,192,716
621,13558,49756.4892071,,PINCKNEYVILLE K,PINCKNEYVILLE K,PINCKNEYVILLE K,Gwinnett,375,1196
622,13550,61858.2203188,,PINCKNEYVILLE I,PINCKNEYVILLE I,PINCKNEYVILLE I,Gwinnett,354,912
623,089WL,126049.575239,white,WINTERS CHAPEL (DUN),WINTERS CHAPEL,WINTERS CHAPEL (DUN),DeKalb,622,380
624,135101,62044.1526814,,PINCKNEYVILLE U,PINCKNEYVILLE U,PINCKNEYVILLE U,Gwinnett,574,652
625,089HC,86202.9956996,white,HENDERSON MILL ELEM,HENDERSON MILL ELEM,HENDERSON MILL ELEM,DeKalb,871,1018
626,089MK,82430.2820955,white,MONTREAL,MONTREAL,MONTREAL,DeKalb,400,638
627,089JB,43895.1366532,black,JOLLY ELEM,JOLLY ELEM,JOLLY ELEM,DeKalb,113,1225
628,089IA,62406.8975829,black,IDLEWOOD ELEM (TUC),IDLEWOOD ELEM,IDLEWOOD ELEM (TUC),DeKalb,301,997
629,089BH,70612.1762036,,BROCKETT (TUC),BROCKETT,BROCKETT (TUC),DeKalb,826,1097
630,089CO,103435.932886,,CROSS KEYS HIGH (BHAVN),CROSS KEYS HIGH,CROSS KEYS HIGH (BHAVN),DeKalb,589,604
631,089HI,84529.649367,white,HARRIS-MARGARET HARRIS ED,HARRIS-MARGARET HARRIS ED,HARRIS-MARGARET HARRIS ED,DeKalb,396,926
632,089BG,82487.2273616,white,BRIARCLIFF,BRIARCLIFF,BRIARCLIFF,DeKalb,665,679
633,089MJ,53960.4135568,hispanic,MONTCLAIR ELEM,MONTCLAIR ELEM,MONTCLAIR ELEM,DeKalb,302,903
634,089BE,83551.484499,hispanic,BRIARWOOD (BHAVN),BRIARWOOD,BRIARWOOD (BHAVN),DeKalb,641,661
635,089BI,123167.521961,white,BROOKHAVEN (BHAVN),BROOKHAVEN,BROOKHAVEN (BHAVN),DeKalb,1089,729
636,089SE,120886.597542,white,SILVER LAKE (BHAVN),SILVER LAKE,SILVER LAKE (BHAVN),DeKalb,1497,988
637,089AB,121469.258963,white,ASHFORD PARK ELEM (BHAVN),ASHFORD PARK ELEM,ASHFORD PARK ELEM (BHAVN),DeKalb,1016,538
638,089OA,102700.673396,white,OAK GROVE ELEM,OAK GROVE ELEM,OAK GROVE ELEM,DeKalb,732,760
639,089CW,88732.4900975,white,CORALWOOD,CORALWOOD,CORALWOOD,DeKalb,923,1243
640,089SA,152270.048599,white,SAGAMORE HILLS ELEM,SAGAMORE HILLS ELEM,SAGAMORE HILLS ELEM,DeKalb,1037,1033
641,089LA,127376.406513,white,LAKESIDE HIGH,LAKESIDE HIGH,LAKESIDE HIGH,DeKalb,1121,1100
642,089DC,54242.2244947,hispanic,DRESDEN ELEM (CHA),DRESDEN ELEM,DRESDEN ELEM (CHA),DeKalb,585,1047
643,089HB,89142.956877,white,HAWTHORNE ELEM,HAWTHORNE ELEM,HAWTHORNE ELEM,DeKalb,739,1514
644,089CR,60412.9860109,black,CEDAR GROVE MIDDLE,CEDAR GROVE MIDDLE,CEDAR GROVE MIDDLE,DeKalb,17,973
645,089FJ,49299.9421385,black,FLAT SHOALS,FLAT SHOALS,FLAT SHOALS,DeKalb,16,1175
646,089FC,40205.6109299,black,FLAT SHOALS ELEM,FLAT SHOALS ELEM,FLAT SHOALS ELEM,DeKalb,17,1338
647,089MP,63298.9618907,black,MCNAIR ACADEMY,MCNAIR ACADEMY,MCNAIR ACADEMY,DeKalb,53,1049
648,089OK,106164.804212,white,OAKHURST (DEC),OAKHURST,OAKHURST (DEC),DeKalb,282,1664
649,089RN,106721.992146,white,RENFROE MIDDLE (DEC),RENFROE MIDDLE,RENFROE MIDDLE (DEC),DeKalb,160,902
650,089PG,91336.453884,white,PONCE DE LEON (DEC),PONCE DE LEON,PONCE DE LEON (DEC),DeKalb,279,1159
651,089CV,94575.0664381,white,CLAIREMONT EAST (DEC),CLAIREMONT EAST,CLAIREMONT EAST (DEC),DeKalb,549,1371
652,089WF,107682.555416,white,WINNONA PARK ELEM (DEC),WINNONA PARK ELEM,WINNONA PARK ELEM (DEC),DeKalb,243,1111
653,089GA,109095.808889,white,GLENNWOOD (DEC),GLENNWOOD,GLENNWOOD (DEC),DeKalb,265,952
654,089CI,109860.295873,white,CLAIREMONT WEST (DEC),CLAIREMONT WEST,CLAIREMONT WEST (DEC),DeKalb,627,1510
655,12112M,32997.0398197,black,12M,12M,12M,Fulton,3,170
656,12112J,32930.0000227,black,12J,12J,12J,Fulton,16,1318
657,12112H,32339.3658542,black,12H,12H,12H,Fulton,39,1733
658,063FP2,36140.1578396,black,FOREST PARK 2,FOREST PARK 2,FOREST PARK 2,Clayton,234,1000
659,12112T,32949.4699222,black,12T,12T,12T,Fulton,17,1178
660,063MO2,47053.9136763,black,MORROW 2,MORROW 2,MORROW 2,Clayton,443,631
661,063MO7,46943.0012069,black,MORROW 7,MORROW 7,MORROW 7,Clayton,211,848
662,089GB,51183.999986,black,GLENHAVEN,GLENHAVEN,GLENHAVEN,DeKalb,96,918
663,089AI,86539.3731549,white,AVONDALE HIGH,AVONDALE HIGH,AVONDALE HIGH,DeKalb,333,1624
664,089AE,74514.5410651,white,AVONDALE (AVO),AVONDALE,AVONDALE (AVO),DeKalb,713,1102
665,089CU,45725.1472133,black,COVINGTON,COVINGTON,COVINGTON,DeKalb,153,1015
666,089NB,57972.1051015,,NORTH DECATUR,NORTH DECATUR,NORTH DECATUR,DeKalb,211,690
667,089ME,47316.0000925,,MCLENDON,MCLENDON,MCLENDON,DeKalb,295,967
668,063LC1,50361.1557331,,LAKE CITY,LAKE CITY,LAKE CITY,Clayton,181,1175
669,063MO4,47832.7742799,black,MORROW 4,MORROW 4,MORROW 4,Clayton,242,790
670,063MO9,44338.0001804,black,MORROW 9,MORROW 9,MORROW 9,Clayton,133,650
671,063MO6,58798.2297341,black,MORROW 6,MORROW 6,MORROW 6,Clayton,270,1287
672,063MO3,50130.6568649,,MORROW 3,MORROW 3,MORROW 3,Clayton,365,1948
673,089MR,59521.993967,black,MATHIS-BOB MATHIS ELEM,MATHIS-BOB MATHIS ELEM,MATHIS-BOB MATHIS ELEM,DeKalb,83,1893
674,089RA,56147.2972574,black,RAINBOW ELEM,RAINBOW ELEM,RAINBOW ELEM,DeKalb,77,2321
675,089CA,49146.9999949,black,COLUMBIA DRIVE,COLUMBIA DRIVE,COLUMBIA DRIVE,DeKalb,22,1337
676,089AF,42576.6152659,black,AUSTIN DRIVE,AUSTIN DRIVE,AUSTIN DRIVE,DeKalb,54,1221
677,089CB,44949.8348805,black,CANBY LANE ELEM,CANBY LANE ELEM,CANBY LANE ELEM,DeKalb,27,1214
678,063MO1,40974.4173442,,MORROW 1,MORROW 1,MORROW 1,Clayton,153,1364
679,089BL,67348.9990567,black,BOULDERCREST ROAD,BOULDERCREST RD,BOULDERCREST RD,DeKalb,44,1185
680,063EW1,56862.2945303,black,ELLENWOOD,ELLENWOOD,ELLENWOOD,Clayton,239,3313
681,089CS,65998.398768,black,CEDAR GROVE SOUTH,CEDAR GROVE SOUTH,CEDAR GROVE SOUTH,DeKalb,73,2525
682,089CD,67577.9549057,black,CEDAR GROVE ELEM,CEDAR GROVE ELEM,CEDAR GROVE ELEM,DeKalb,60,2364
683,12112F,38291.6535249,black,12F,12F,12F,Fulton,10,439
684,12104V,24285.8435641,black,04V,04V,04V,Fulton,14,1193
685,12101F,25282.0000225,black,01F,01F,01F,Fulton,7,467
686,12101G,44017.9664044,black,01G,01G,01G,Fulton,51,945
687,12101D,52036.5347394,black,01D,01D,01D,Fulton,54,535
688,12105B,37228.5098978,black,05B,05B,05B,Fulton,54,1150
689,12101S,36673.1016468,black,01S,01S,01S,Fulton,18,897
690,12101C2,35120.0000431,black,01C2,01C2,01C2,Fulton,0,4
691,12101T,55133.2093864,,01T,01T,01T,Fulton,74,617
692,12101P,39242.6726698,black,01P,01P,01P,Fulton,10,649
693,12101R,20891.6639949,black,01R,01R,01R,Fulton,2,671
694,12101E,90784.1397842,white,01E,01E,01E,Fulton,324,1329
695,12101A,92952.9622934,white,01A,01A,01A,Fulton,270,1497
696,12105A1,39463.2967499,black,05A1,05A1,05A1,Fulton,135,869
697,12101B,80095.1839086,,01B,01B,01B,Fulton,380,1862
698,089KA,41734.4224844,black,KELLEY LAKE ELEM,KELLEY LAKE ELEM,KELLEY LAKE ELEM,DeKalb,29,1699
699,089CQ,48441.992136,black,CANDLER,CANDLER,CANDLER,DeKalb,80,1654
700,089CN,56069.8578966,white,COAN MIDDLE (ATL),COAN MIDDLE,COAN MIDDLE (ATL),DeKalb,203,1739
701,089EE,64047.6932682,white,EPWORTH (ATL),EPWORTH,EPWORTH (ATL),DeKalb,501,2106
702,089LE,59997.6991367,white,LIN-MARY LIN ELEM (ATL),LIN-MARY LIN ELEM,LIN-MARY LIN ELEM (ATL),DeKalb,493,1321
703,089BB,52449.3895367,white,BOULEVARD (ATL),BOULEVARD,BOULEVARD (ATL),DeKalb,326,2216
704,089BR,56858.983108,white,BURGESS ELEM (ATL),BURGESS ELEM,BURGESS ELEM (ATL),DeKalb,179,1504
705,089MT,55994.556887,white,METROPOLITAN (ATL),METROPOLITAN,METROPOLITAN (ATL),DeKalb,157,1417
706,089PN,49885.9618547,black,PINEY GROVE,PINEY GROVE,PINEY GROVE,DeKalb,40,850
707,12102G,59375.0279533,black,02G,02G,02G,Fulton,316,1243
708,12102D,51385.098194,black,02D,02D,02D,Fulton,247,1809
709,12102F2,27533.0,hispanic,02F2,02F2,02F2,Fulton,46,282
710,12102J,27533.0003873,hispanic,02J,02J,02J,Fulton,91,622
711,12106G,27533.0,hispanic,06G,06G,06G,Fulton,322,1237
712,12106B,75487.0,white,06B,06B,06B,Fulton,343,738
713,12102E,25350.6313556,black,02E,02E,02E,Fulton,196,926
714,12102F1,42909.2731933,white,02F1,02F1,02F1,Fulton,317,1219
715,12106F,58946.758234,white,06F,06F,06F,Fulton,487,1114
716,12106L1,87765.9992351,white,06L1,06L1,06L1,Fulton,241,372
717,121RW17,100437.99017,white,RW17,RW17,RW17,Fulton,854,797
718,121RW04,100437.999959,white,RW04,RW04,RW04,Fulton,825,454
719,089KB,131053.188751,white,KINGSLEY ELEM (DUN),KINGSLEY ELEM,KINGSLEY ELEM (DUN),DeKalb,1298,501
720,121SS01,136488.870001,white,SS01,SS01,SS01,Fulton,1553,571
721,121RW20,141846.704718,white,RW20,RW20,RW20,Fulton,1172,574
722,121RW21A,163434.327627,white,RW21A,RW21A,RW21A,Fulton,1525,611
723,121RW22A,96248.0087598,white,RW22A,RW22A,RW22A,Fulton,994,1095
724,089DA,51380.957949,,DORAVILLE NORTH (DOR),DORAVILLE NORTH,DORAVILLE NORTH (DOR),DeKalb,423,884
725,089OB,48825.9669156,hispanic,OAKCLIFF ELEM,OAKCLIFF ELEM,OAKCLIFF ELEM,DeKalb,278,516
726,089NF,68242.5858185,,NORTH PEACHTREE (DUN),NORTH PEACHTREE,NORTH PEACHTREE (DUN),DeKalb,433,582
727,13537,49915.3815158,,PINCKNEYVILLE E,PINCKNEYVILLE E,PINCKNEYVILLE E,Gwinnett,216,715
728,089EC,72769.8156416,,EMBRY HILLS,EMBRY HILLS,EMBRY HILLS,DeKalb,623,669
729,121SS25,240757.812902,white,SS25,SS25,SS25,Fulton,687,294
730,13573,89159.9742188,white,PINCKNEYVILLE P,PINCKNEYVILLE P,PINCKNEYVILLE P,Gwinnett,706,584
731,135126,157289.26475,white,PINCKNEYVILLE A1,PINCKNEYVILLE A1,PINCKNEYVILLE A1,Gwinnett,1402,510
732,121RW21B,215870.515805,white,RW21B,RW21B,RW21B,Fulton,12,3
733,121JC19,116523.586226,white,JC19,JC19,JC19,Fulton,1467,868
734,121JC13A,215884.83114,white,JC13A,JC13A,JC13A,Fulton,1210,296
735,13522,112593.361519,white,PINCKNEYVILLE C,PINCKNEYVILLE C,PINCKNEYVILLE C,Gwinnett,725,443
736,135125,157519.000127,white,PINCKNEYVILLE Z,PINCKNEYVILLE Z,PINCKNEYVILLE Z,Gwinnett,1061,291
737,13562,158449.136342,white,PINCKNEYVILLE L,PINCKNEYVILLE L,PINCKNEYVILLE L,Gwinnett,1255,436
738,121JC13B,215885.0,white,JC13B,JC13B,JC13B,Fulton,203,19
739,13563,174588.43018,white,PINCKNEYVILLE M,PINCKNEYVILLE M,PINCKNEYVILLE M,Gwinnett,1335,427
740,13521,48705.2491376,hispanic,PINCKNEYVILLE B,PINCKNEYVILLE B,PINCKNEYVILLE B,Gwinnett,407,877
741,13551,41192.3195348,hispanic,PINCKNEYVILLE J,PINCKNEYVILLE J,PINCKNEYVILLE J,Gwinnett,193,745
742,135113,58325.9909451,,PINCKNEYVILLE V,PINCKNEYVILLE V,PINCKNEYVILLE V,Gwinnett,333,508
743,135114,68796.7918856,,PINCKNEYVILLE W,PINCKNEYVILLE W,PINCKNEYVILLE W,Gwinnett,886,1029
744,13587,73037.8726623,,PINCKNEYVILLE S,PINCKNEYVILLE S,PINCKNEYVILLE S,Gwinnett,721,780
745,089EF,77401.9394479,white,EVANSDALE ELEM,EVANSDALE ELEM,EVANSDALE ELEM,DeKalb,777,1016
746,089MH,99403.6207026,white,MIDVALE ELEM,MIDVALE ELEM,MIDVALE ELEM,DeKalb,908,570
747,089TH,86583.1318894,white,TUCKER LIBRARY,TUCKER LIBRARY,TUCKER LIBRARY,DeKalb,752,902
748,089LV,96227.6770666,white,LIVSEY ELEM,LIVSEY ELEM,LIVSEY ELEM,DeKalb,590,431
749,089DB,50535.0285842,,DORAVILLE SOUTH (DOR),DORAVILLE SOUTH,DORAVILLE SOUTH (DOR),DeKalb,254,441
750,121JC18A,98820.6053867,white,JC18A,JC18A,JC18A,Fulton,1323,537
751,121JC18B,117149.0,white,JC18B,JC18B,JC18B,Fulton,73,56
752,121JC17,117142.980528,white,JC17,JC17,JC17,Fulton,125,91
753,121AP01C,111815.650764,white,AP01C,AP01C,AP01C,Fulton,793,393
754,121JC16,117148.995231,white,JC16,JC16,JC16,Fulton,814,443
755,121AP01A,116185.023555,white,AP01A,AP01A,AP01A,Fulton,920,391
756,121AP13,140031.290537,white,AP13,AP13,AP13,Fulton,1041,506
757,121AP12A,97284.0001583,,AP12A,AP12A,AP12A,Fulton,728,663
758,121JC14,215884.999136,white,JC14,JC14,JC14,Fulton,1147,450
759,121AP14,118228.333247,white,AP14,AP14,AP14,Fulton,1331,676
760,121JC15,127036.418003,white,JC15,JC15,JC15,Fulton,210,240
761,121JC10,111750.530237,white,JC10,JC10,JC10,Fulton,748,629
762,089AG,138754.283642,white,ASHFORD DUNWOODY RD (BHAVN),ASHFORD DUNWOODY RD,ASHFORD DUNWOODY RD (BHAVN),DeKalb,1183,757
763,089AH,94373.329923,white,ASHFORD PARKSIDE (BHAVN),ASHFORD PARKSIDE,ASHFORD PARKSIDE (BHAVN),DeKalb,1053,788
764,089DF,103704.870622,,DUNWOODY (DUN),DUNWOODY,DUNWOODY (DUN),DeKalb,958,838
765,12107F,120758.606402,white,07F,07F,07F,Fulton,969,674
766,12107D,131764.348369,white,07D,07D,07D,Fulton,1167,864
767,12107N,52523.0003284,,07N,07N,07N,Fulton,300,613
768,12107M,77244.3317819,,07M,07M,07M,Fulton,567,580
769,12107E,126115.024592,white,07E,07E,07E,Fulton,885,1740
770,12107A,157276.007275,white,07A,07A,07A,Fulton,1849,1216
771,12107C,176043.722072,white,07C,07C,07C,Fulton,1285,829
772,12107B,199294.36658,white,07B,07B,07B,Fulton,1508,524
773,089MZ,39873.7680554,black,MILLER GROVE HIGH,MILLER GROVE HIGH,MILLER GROVE HIGH,DeKalb,18,1577
774,089RF,69754.00005,black,ROCK CHAPEL ELEM,ROCK CHAPEL ELEM,ROCK CHAPEL ELEM,DeKalb,37,1580
775,135122,66881.53564,black,ROCKBRIDGE G,ROCKBRIDGE G,ROCKBRIDGE G,Gwinnett,738,2152
776,13529,105833.146071,white,CATES B,CATES B,CATES B,Gwinnett,826,294
777,13579,105832.992696,white,CATES K,CATES K,CATES K,Gwinnett,1161,449
778,135139,60154.2597737,,MARTINS K,MARTINS K,MARTINS K,Gwinnett,643,1755
779,135115,62549.6379779,,MARTINS H,MARTINS H,MARTINS H,Gwinnett,960,1357
780,13568,104667.072613,white,CATES I,CATES I,CATES I,Gwinnett,1344,762
781,13593,115555.99355,white,CATES M,CATES M,CATES M,Gwinnett,1920,752
782,135127,60407.0102112,,LAWRENCEVILLE J,LAWRENCEVILLE J,LAWRENCEVILLE J,Gwinnett,468,627
783,13518,59237.7297579,,MARTINS B,MARTINS B,MARTINS B,Gwinnett,597,957
784,13569,103561.424641,white,CATES J,CATES J,CATES J,Gwinnett,1078,844
785,13536,101285.282677,white,CATES E,CATES E,CATES E,Gwinnett,1227,558
786,135107,105700.685053,white,CATES O,CATES O,CATES O,Gwinnett,557,289
787,13535,95189.7064185,white,CATES D,CATES D,CATES D,Gwinnett,1233,672
788,13544,69315.1544263,black,ROCKBRIDGE B,ROCKBRIDGE B,ROCKBRIDGE B,Gwinnett,723,1439
789,13553,55325.4170542,black,CATES H,CATES H,CATES H,Gwinnett,745,1148
790,13546,112113.957655,white,CATES F,CATES F,CATES F,Gwinnett,910,311
791,13547,112113.999945,white,CATES G,CATES G,CATES G,Gwinnett,1482,405
792,135143,79124.9828859,,LAWRENCEVILLE L,LAWRENCEVILLE L,LAWRENCEVILLE L,Gwinnett,1419,1259
793,13561,53880.4268808,,LAWRENCEVILLE E,LAWRENCEVILLE E,LAWRENCEVILLE E,Gwinnett,895,504
794,135153,65770.3293267,,LAWRENCEVILLE N,LAWRENCEVILLE N,LAWRENCEVILLE N,Gwinnett,654,564
795,13516,84147.2609054,,LAWRENCEVILLE B,LAWRENCEVILLE B,LAWRENCEVILLE B,Gwinnett,1011,1444
796,13578,80066.6393881,white,BAYCREEK K,BAYCREEK K,BAYCREEK K,Gwinnett,1221,766
797,13515,54894.2737124,,LAWRENCEVILLE A,LAWRENCEVILLE A,LAWRENCEVILLE A,Gwinnett,935,885
798,135110,62952.278405,,MARTINS G,MARTINS G,MARTINS G,Gwinnett,411,702
799,135124,70959.3286338,,GOODWINS G,GOODWINS G,GOODWINS G,Gwinnett,476,793
800,135149,93855.9999817,white,GOODWINS I,GOODWINS I,GOODWINS I,Gwinnett,1056,537
801,1356,82916.7351706,white,GOODWINS A,GOODWINS A,GOODWINS A,Gwinnett,1130,1001
802,135128,72928.3511667,white,GOODWINS H,GOODWINS H,GOODWINS H,Gwinnett,878,628
803,13583,83704.7140178,white,GOODWINS D,GOODWINS D,GOODWINS D,Gwinnett,1379,969
804,135106,104351.906772,,SUWANEE C,SUWANEE C,SUWANEE C,Gwinnett,1648,790
805,135105,111801.874104,white,SUGAR HILL F,SUGAR HILL F,SUGAR HILL F,Gwinnett,1481,658
